No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.8,192.168.11.13,TCP,74,0,,,51146  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1728182267 TSecr=0 WS=128
2,0.007066,192.168.11.13,192.168.11.8,TCP,74,0.007066,,,"6000  >  51146 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=918855957 TSecr=1728182267 WS=128"
3,0.007167,192.168.11.8,192.168.11.13,TCP,66,0.000101,,,51146  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1728182278 TSecr=918855957
4,0.007386,192.168.11.8,192.168.11.13,TCP,93,0.000219,,,"51146  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1728182278 TSecr=918855957 [TCP segment of a reassembled PDU]"
5,0.007506,192.168.11.8,192.168.11.13,TCP,66,0.00012,,,"51146  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1728182278 TSecr=918855957"
6,0.022246,192.168.11.13,192.168.11.8,TCP,66,0.01474,,,6000  >  51146 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=918855972 TSecr=1728182278
7,0.02269,192.168.11.13,192.168.11.8,TCP,66,0.000444,,,"6000  >  51146 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=918855974 TSecr=1728182278"
8,0.022735,192.168.11.8,192.168.11.13,TCP,66,0.000045,,,51146  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1728182293 TSecr=918855974
9,0.049935,192.168.11.8,255.255.255.255,UDP,209,0.0272,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022646464222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,53690  >  7000 Len=167
10,0.058111,192.168.11.23,192.168.11.8,TCP,74,0.008176,œ,,59358  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2801384558 TSecr=0 WS=128
11,0.058223,192.168.11.8,192.168.11.23,TCP,74,0.000112,,,"6000  >  59358 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3797638933 TSecr=2801384558 WS=128"
12,0.064879,192.168.11.23,192.168.11.8,TCP,66,0.006656,,,59358  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2801384567 TSecr=3797638933
