"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.27","192.168.11.42","TCP","74","","0.000000000","Jan  8, 2024 10:29:12.647856000 JST","","57842  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=526973465 TSecr=0 WS=128"
"2","0.008377","192.168.11.42","192.168.11.27","TCP","74","0.008377000","0.008377000","Jan  8, 2024 10:29:12.656233000 JST","","6000  >  57842 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1741943154 TSecr=526973465 WS=128"
"3","0.008494","192.168.11.27","192.168.11.42","TCP","66","0.000117000","0.000117000","Jan  8, 2024 10:29:12.656350000 JST","","57842  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=526973474 TSecr=1741943154"
"4","0.008782","192.168.11.27","192.168.11.42","TCP","93","","0.000288000","Jan  8, 2024 10:29:12.656638000 JST","","57842  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=526973474 TSecr=1741943154 [TCP segment of a reassembled PDU]"
"5","0.008920","192.168.11.27","192.168.11.42","TCP","66","","0.000138000","Jan  8, 2024 10:29:12.656776000 JST","","57842  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=526973474 TSecr=1741943154"
"6","0.015011","192.168.11.42","192.168.11.27","TCP","66","0.006229000","0.006091000","Jan  8, 2024 10:29:12.662867000 JST","","6000  >  57842 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1741943162 TSecr=526973474"
"7","0.043382","192.168.11.27","255.255.255.255","UDP","209","","0.028371000","Jan  8, 2024 10:29:12.691238000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022626262222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","45597  >  7000 Len=167"
"8","0.050403","192.168.11.13","192.168.11.27","TCP","74","","0.007021000","Jan  8, 2024 10:29:12.698259000 JST","","44466  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=663835276 TSecr=0 WS=128"
"9","0.050545","192.168.11.27","192.168.11.13","TCP","74","0.000142000","0.000142000","Jan  8, 2024 10:29:12.698401000 JST","","6000  >  44466 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=499393998 TSecr=663835276 WS=128"
"10","0.057817","192.168.11.42","192.168.11.27","TCP","66","0.048897000","0.007272000","Jan  8, 2024 10:29:12.705673000 JST","","6000  >  57842 [ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1741943205 TSecr=526973474"
"11","0.058433","192.168.11.13","192.168.11.27","TCP","66","0.007888000","0.000616000","Jan  8, 2024 10:29:12.706289000 JST","","44466  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=663835285 TSecr=499393998"
"12","0.058635","192.168.11.13","192.168.11.27","TCP","93","","0.000202000","Jan  8, 2024 10:29:12.706491000 JST","","44466  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=663835286 TSecr=499393998 [TCP segment of a reassembled PDU]"
"13","0.058702","192.168.11.27","192.168.11.13","TCP","66","0.000067000","0.000067000","Jan  8, 2024 10:29:12.706558000 JST","","6000  >  44466 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=499394006 TSecr=663835286"
"14","0.058780","192.168.11.13","192.168.11.27","TCP","66","","0.000078000","Jan  8, 2024 10:29:12.706636000 JST","","44466  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=663835286 TSecr=499393998"
"15","0.061565","192.168.11.27","192.168.11.13","TCP","66","0.002785000","0.002785000","Jan  8, 2024 10:29:12.709421000 JST","","6000  >  44466 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=499394009 TSecr=663835286"
"16","0.068711","192.168.11.13","192.168.11.27","TCP","66","0.007146000","0.007146000","Jan  8, 2024 10:29:12.716567000 JST","","44466  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=663835295 TSecr=499394009"
"17","6.176526","192.168.11.27","192.168.11.42","TCP","74","","6.107815000","Jan  8, 2024 10:29:18.824382000 JST","","57858  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=526979642 TSecr=0 WS=128"
