"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.42","255.255.255.255","UDP","212","","0.000000000","Jan  8, 2024 10:29:12.639906000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944303031222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022616161222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","36325  >  7000 Len=170"
"2","0.007136","192.168.11.27","192.168.11.42","TCP","74","","0.007136000","Jan  8, 2024 10:29:12.647042000 JST","","57842  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=526973465 TSecr=0 WS=128"
"3","0.007246","192.168.11.42","192.168.11.27","TCP","74","0.000110000","0.000110000","Jan  8, 2024 10:29:12.647152000 JST","","6000  >  57842 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1741943154 TSecr=526973465 WS=128"
"4","0.014541","192.168.11.27","192.168.11.42","TCP","66","0.007295000","0.007295000","Jan  8, 2024 10:29:12.654447000 JST","","57842  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=526973474 TSecr=1741943154"
"5","0.014871","192.168.11.27","192.168.11.42","TCP","93","","0.000330000","Jan  8, 2024 10:29:12.654777000 JST","","57842  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=526973474 TSecr=1741943154 [TCP segment of a reassembled PDU]"
"6","0.014916","192.168.11.42","192.168.11.27","TCP","66","0.000045000","0.000045000","Jan  8, 2024 10:29:12.654822000 JST","","6000  >  57842 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1741943162 TSecr=526973474"
"7","0.014956","192.168.11.27","192.168.11.42","TCP","66","","0.000040000","Jan  8, 2024 10:29:12.654862000 JST","","57842  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=526973474 TSecr=1741943154"
"8","0.057610","192.168.11.42","192.168.11.27","TCP","66","0.042654000","0.042654000","Jan  8, 2024 10:29:12.697516000 JST","","6000  >  57842 [ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1741943205 TSecr=526973474"
"9","6.176679","192.168.11.42","255.255.255.255","UDP","212","","6.119069000","Jan  8, 2024 10:29:18.816585000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944303031222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022616161222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","57375  >  7000 Len=170"
"10","6.182816","192.168.11.27","192.168.11.42","TCP","74","","0.006137000","Jan  8, 2024 10:29:18.822722000 JST","","57858  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=526979642 TSecr=0 WS=128"
"11","6.182954","192.168.11.42","192.168.11.27","TCP","74","0.000138000","0.000138000","Jan  8, 2024 10:29:18.822860000 JST","","6000  >  57858 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1741949330 TSecr=526979642 WS=128"
"12","6.189911","192.168.11.27","192.168.11.42","TCP","66","0.006957000","0.006957000","Jan  8, 2024 10:29:18.829817000 JST","","57858  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=526979649 TSecr=1741949330"
"13","6.190469","192.168.11.27","192.168.11.42","TCP","93","","0.000558000","Jan  8, 2024 10:29:18.830375000 JST","","57858  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=526979649 TSecr=1741949330 [TCP segment of a reassembled PDU]"
"14","6.190550","192.168.11.42","192.168.11.27","TCP","66","0.000081000","0.000081000","Jan  8, 2024 10:29:18.830456000 JST","","6000  >  57858 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1741949337 TSecr=526979649"
"15","6.190647","192.168.11.27","192.168.11.42","TCP","66","","0.000097000","Jan  8, 2024 10:29:18.830553000 JST","","57858  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=526979649 TSecr=1741949330"
"16","6.191941","192.168.11.42","192.168.11.27","TCP","66","","0.001294000","Jan  8, 2024 10:29:18.831847000 JST","","6000  >  57842 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1741949339 TSecr=526973474"
"17","6.196662","192.168.11.27","192.168.11.42","TCP","66","0.004721000","0.004721000","Jan  8, 2024 10:29:18.836568000 JST","","57842  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=526979656 TSecr=1741949339"
"18","6.237626","192.168.11.42","192.168.11.27","TCP","66","0.046979000","0.040964000","Jan  8, 2024 10:29:18.877532000 JST","","6000  >  57858 [ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1741949385 TSecr=526979649"
"19","12.276728","192.168.11.42","255.255.255.255","UDP","212","","6.039102000","Jan  8, 2024 10:29:24.916634000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944303031222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022616161222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","47623  >  7000 Len=170"
"20","12.283903","192.168.11.27","192.168.11.42","TCP","74","","0.007175000","Jan  8, 2024 10:29:24.923809000 JST","","60646  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=526985742 TSecr=0 WS=128"
