No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.13,192.168.11.27,TCP,74,,,0,"Jan  8, 2024 10:29:12.690821000 JST",,44466  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=663835276 TSecr=0 WS=128
2,0.008622,192.168.11.27,192.168.11.13,TCP,74,0.008622,,0.008622,"Jan  8, 2024 10:29:12.699443000 JST",,"6000  >  44466 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=499393998 TSecr=663835276 WS=128"
3,0.008761,192.168.11.13,192.168.11.27,TCP,66,0.000139,,0.000139,"Jan  8, 2024 10:29:12.699582000 JST",,44466  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=663835285 TSecr=499393998
4,0.009058,192.168.11.13,192.168.11.27,TCP,93,,,0.000297,"Jan  8, 2024 10:29:12.699879000 JST",,"44466  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=663835286 TSecr=499393998 [TCP segment of a reassembled PDU]"
5,0.0092,192.168.11.13,192.168.11.27,TCP,66,,,0.000142,"Jan  8, 2024 10:29:12.700021000 JST",,"44466  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=663835286 TSecr=499393998"
6,0.015951,192.168.11.27,192.168.11.13,TCP,66,0.006893,,0.006751,"Jan  8, 2024 10:29:12.706772000 JST",,6000  >  44466 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=499394006 TSecr=663835286
7,0.018657,192.168.11.27,192.168.11.13,TCP,66,0.009457,,0.002706,"Jan  8, 2024 10:29:12.709478000 JST",,"6000  >  44466 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=499394009 TSecr=663835286"
8,0.018705,192.168.11.13,192.168.11.27,TCP,66,0.000048,,0.000048,"Jan  8, 2024 10:29:12.709526000 JST",,44466  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=663835295 TSecr=499394009
9,0.047649,192.168.11.13,255.255.255.255,UDP,209,,Ÿ,0.028944,"Jan  8, 2024 10:29:12.738470000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022636363222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,41616  >  7000 Len=167
10,0.053782,192.168.11.8,192.168.11.13,TCP,74,,œ,0.006133,"Jan  8, 2024 10:29:12.744603000 JST",,48038  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1448754876 TSecr=0 WS=128
11,0.053921,192.168.11.13,192.168.11.8,TCP,74,0.000139,,0.000139,"Jan  8, 2024 10:29:12.744742000 JST",,"6000  >  48038 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=639428326 TSecr=1448754876 WS=128"
12,0.061758,192.168.11.8,192.168.11.13,TCP,66,0.007837,,0.007837,"Jan  8, 2024 10:29:12.752579000 JST",,48038  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1448754884 TSecr=639428326
13,0.062423,192.168.11.8,192.168.11.13,TCP,93,,,0.000665,"Jan  8, 2024 10:29:12.753244000 JST",,"48038  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1448754884 TSecr=639428326 [TCP segment of a reassembled PDU]"
14,0.062518,192.168.11.13,192.168.11.8,TCP,66,0.000095,,0.000095,"Jan  8, 2024 10:29:12.753339000 JST",,6000  >  48038 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=639428335 TSecr=1448754884
15,0.062586,192.168.11.8,192.168.11.13,TCP,66,,,0.000068,"Jan  8, 2024 10:29:12.753407000 JST",,"48038  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1448754884 TSecr=639428326"
16,0.063813,192.168.11.13,192.168.11.8,TCP,66,0.001227,,0.001227,"Jan  8, 2024 10:29:12.754634000 JST",,"6000  >  48038 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=639428336 TSecr=1448754884"
17,0.069515,192.168.11.8,192.168.11.13,TCP,66,0.005702,,0.005702,"Jan  8, 2024 10:29:12.760336000 JST",,48038  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1448754891 TSecr=639428336
18,6.177078,192.168.11.13,192.168.11.27,TCP,74,,,6.107563,"Jan  8, 2024 10:29:18.867899000 JST",,48050  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=663841454 TSecr=0 WS=128
19,6.184688,192.168.11.27,192.168.11.13,TCP,74,0.00761,,0.00761,"Jan  8, 2024 10:29:18.875509000 JST",,"6000  >  48050 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=499400174 TSecr=663841454 WS=128"
20,6.1848,192.168.11.13,192.168.11.27,TCP,66,0.000112,,0.000112,"Jan  8, 2024 10:29:18.875621000 JST",,48050  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=663841461 TSecr=499400174
21,6.185007,192.168.11.13,192.168.11.27,TCP,93,,,0.000207,"Jan  8, 2024 10:29:18.875828000 JST",,"48050  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=663841461 TSecr=499400174 [TCP segment of a reassembled PDU]"
22,6.185136,192.168.11.13,192.168.11.27,TCP,66,,,0.000129,"Jan  8, 2024 10:29:18.875957000 JST",,"48050  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=663841462 TSecr=499400174"
23,6.192014,192.168.11.27,192.168.11.13,TCP,66,0.007007,,0.006878,"Jan  8, 2024 10:29:18.882835000 JST",,6000  >  48050 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=499400182 TSecr=663841461
24,6.192249,192.168.11.27,192.168.11.13,TCP,66,0.007113,,0.000235,"Jan  8, 2024 10:29:18.883070000 JST",,"6000  >  48050 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=499400184 TSecr=663841462"
25,6.192294,192.168.11.13,192.168.11.27,TCP,66,0.000045,,0.000045,"Jan  8, 2024 10:29:18.883115000 JST",,48050  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=663841469 TSecr=499400184
26,6.226615,192.168.11.13,255.255.255.255,UDP,209,,Ÿ,0.034321,"Jan  8, 2024 10:29:18.917436000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022636363222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,54003  >  7000 Len=167
27,6.232142,192.168.11.8,192.168.11.13,TCP,74,,œ,0.005527,"Jan  8, 2024 10:29:18.922963000 JST",,48054  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1448761054 TSecr=0 WS=128
