No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.8,192.168.11.13,TCP,74,,,0,"Jan  8, 2024 10:29:12.746965000 JST",,48038  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1448754876 TSecr=0 WS=128
2,0.007735,192.168.11.13,192.168.11.8,TCP,74,0.007735,,0.007735,"Jan  8, 2024 10:29:12.754700000 JST",,"6000  >  48038 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=639428326 TSecr=1448754876 WS=128"
3,0.007862,192.168.11.8,192.168.11.13,TCP,66,0.000127,,0.000127,"Jan  8, 2024 10:29:12.754827000 JST",,48038  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1448754884 TSecr=639428326
4,0.008139,192.168.11.8,192.168.11.13,TCP,93,,,0.000277,"Jan  8, 2024 10:29:12.755104000 JST",,"48038  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1448754884 TSecr=639428326 [TCP segment of a reassembled PDU]"
5,0.008299,192.168.11.8,192.168.11.13,TCP,66,,,0.00016,"Jan  8, 2024 10:29:12.755264000 JST",,"48038  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1448754884 TSecr=639428326"
6,0.015253,192.168.11.13,192.168.11.8,TCP,66,0.007114,,0.006954,"Jan  8, 2024 10:29:12.762218000 JST",,6000  >  48038 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=639428335 TSecr=1448754884
7,0.015472,192.168.11.13,192.168.11.8,TCP,66,0.007173,,0.000219,"Jan  8, 2024 10:29:12.762437000 JST",,"6000  >  48038 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=639428336 TSecr=1448754884"
8,0.015548,192.168.11.8,192.168.11.13,TCP,66,0.000076,,0.000076,"Jan  8, 2024 10:29:12.762513000 JST",,48038  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1448754891 TSecr=639428336
9,0.048184,192.168.11.8,255.255.255.255,UDP,209,,Ÿ,0.032636,"Jan  8, 2024 10:29:12.795149000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022646464222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,36353  >  7000 Len=167
10,0.055309,192.168.11.23,192.168.11.8,TCP,74,,œ,0.007125,"Jan  8, 2024 10:29:12.802274000 JST",,38424  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2521955372 TSecr=0 WS=128
11,0.055489,192.168.11.8,192.168.11.23,TCP,74,0.00018,,0.00018,"Jan  8, 2024 10:29:12.802454000 JST",,"6000  >  38424 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3518211535 TSecr=2521955372 WS=128"
12,0.063257,192.168.11.23,192.168.11.8,TCP,66,0.007768,,0.007768,"Jan  8, 2024 10:29:12.810222000 JST",,38424  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2521955381 TSecr=3518211535
13,0.063982,192.168.11.23,192.168.11.8,TCP,93,,,0.000725,"Jan  8, 2024 10:29:12.810947000 JST",,"38424  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2521955381 TSecr=3518211535 [TCP segment of a reassembled PDU]"
14,0.064114,192.168.11.8,192.168.11.23,TCP,66,0.000132,,0.000132,"Jan  8, 2024 10:29:12.811079000 JST",,6000  >  38424 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3518211544 TSecr=2521955381
15,0.0642,192.168.11.23,192.168.11.8,TCP,66,,,0.000086,"Jan  8, 2024 10:29:12.811165000 JST",,"38424  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2521955381 TSecr=3518211535"
16,0.065838,192.168.11.8,192.168.11.23,TCP,66,0.001638,,0.001638,"Jan  8, 2024 10:29:12.812803000 JST",,"6000  >  38424 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3518211546 TSecr=2521955381"
17,0.070406,192.168.11.23,192.168.11.8,TCP,66,0.004568,,0.004568,"Jan  8, 2024 10:29:12.817371000 JST",,38424  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2521955388 TSecr=3518211546
18,6.178514,192.168.11.8,192.168.11.13,TCP,74,,,6.108108,"Jan  8, 2024 10:29:18.925479000 JST",,48054  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1448761054 TSecr=0 WS=128
19,6.18495,192.168.11.13,192.168.11.8,TCP,74,0.006436,,0.006436,"Jan  8, 2024 10:29:18.931915000 JST",,"6000  >  48054 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=639434505 TSecr=1448761054 WS=128"
20,6.185054,192.168.11.8,192.168.11.13,TCP,66,0.000104,,0.000104,"Jan  8, 2024 10:29:18.932019000 JST",,48054  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1448761061 TSecr=639434505
21,6.185261,192.168.11.8,192.168.11.13,TCP,93,,,0.000207,"Jan  8, 2024 10:29:18.932226000 JST",,"48054  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1448761061 TSecr=639434505 [TCP segment of a reassembled PDU]"
22,6.185386,192.168.11.8,192.168.11.13,TCP,66,,,0.000125,"Jan  8, 2024 10:29:18.932351000 JST",,"48054  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1448761061 TSecr=639434505"
23,6.192357,192.168.11.13,192.168.11.8,TCP,66,0.007096,,0.006971,"Jan  8, 2024 10:29:18.939322000 JST",,6000  >  48054 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=639434512 TSecr=1448761061
24,6.192724,192.168.11.13,192.168.11.8,TCP,66,0.007338,,0.000367,"Jan  8, 2024 10:29:18.939689000 JST",,"6000  >  48054 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=639434513 TSecr=1448761061"
25,6.192775,192.168.11.8,192.168.11.13,TCP,66,0.000051,,0.000051,"Jan  8, 2024 10:29:18.939740000 JST",,48054  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1448761069 TSecr=639434513
