No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.23,192.168.11.8,TCP,74,,,0,"Jan  8, 2024 10:29:12.820475000 JST",,38424  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2521955372 TSecr=0 WS=128
2,0.008855,192.168.11.8,192.168.11.23,TCP,74,0.008855,,0.008855,"Jan  8, 2024 10:29:12.829330000 JST",,"6000  >  38424 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3518211535 TSecr=2521955372 WS=128"
3,0.008976,192.168.11.23,192.168.11.8,TCP,66,0.000121,,0.000121,"Jan  8, 2024 10:29:12.829451000 JST",,38424  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2521955381 TSecr=3518211535
4,0.009287,192.168.11.23,192.168.11.8,TCP,93,,,0.000311,"Jan  8, 2024 10:29:12.829762000 JST",,"38424  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2521955381 TSecr=3518211535 [TCP segment of a reassembled PDU]"
5,0.009421,192.168.11.23,192.168.11.8,TCP,66,,,0.000134,"Jan  8, 2024 10:29:12.829896000 JST",,"38424  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2521955381 TSecr=3518211535"
6,0.016513,192.168.11.8,192.168.11.23,TCP,66,0.007226,,0.007092,"Jan  8, 2024 10:29:12.836988000 JST",,6000  >  38424 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3518211544 TSecr=2521955381
7,0.016746,192.168.11.8,192.168.11.23,TCP,66,0.007325,,0.000233,"Jan  8, 2024 10:29:12.837221000 JST",,"6000  >  38424 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3518211546 TSecr=2521955381"
8,0.016795,192.168.11.23,192.168.11.8,TCP,66,0.000049,,0.000049,"Jan  8, 2024 10:29:12.837270000 JST",,38424  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2521955388 TSecr=3518211546
9,0.048468,192.168.11.23,255.255.255.255,UDP,209,,Ÿ,0.031673,"Jan  8, 2024 10:29:12.868943000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022656565222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,33388  >  7000 Len=167
10,0.054553,192.168.11.9,192.168.11.23,TCP,74,,œ,0.006085,"Jan  8, 2024 10:29:12.875028000 JST",,39884  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2545608430 TSecr=0 WS=128
11,0.054692,192.168.11.23,192.168.11.9,TCP,74,0.000139,,0.000139,"Jan  8, 2024 10:29:12.875167000 JST",,"6000  >  39884 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4283003039 TSecr=2545608430 WS=128"
12,0.062431,192.168.11.9,192.168.11.23,TCP,66,0.007739,,0.007739,"Jan  8, 2024 10:29:12.882906000 JST",,39884  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2545608438 TSecr=4283003039
13,0.062979,192.168.11.9,192.168.11.23,TCP,93,,,0.000548,"Jan  8, 2024 10:29:12.883454000 JST",,"39884  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2545608438 TSecr=4283003039 [TCP segment of a reassembled PDU]"
14,0.063059,192.168.11.23,192.168.11.9,TCP,66,0.00008,,0.00008,"Jan  8, 2024 10:29:12.883534000 JST",,6000  >  39884 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4283003048 TSecr=2545608438
