No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.21,192.168.11.30,TCP,74,,,0,"Jan  8, 2024 10:29:12.985881000 JST",,54352  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2365389064 TSecr=0 WS=128
2,0.007719,192.168.11.30,192.168.11.21,TCP,74,0.007719,,0.007719,"Jan  8, 2024 10:29:12.993600000 JST",,"6000  >  54352 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1525501257 TSecr=2365389064 WS=128"
3,0.007831,192.168.11.21,192.168.11.30,TCP,66,0.000112,,0.000112,"Jan  8, 2024 10:29:12.993712000 JST",,54352  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2365389072 TSecr=1525501257
4,0.008009,192.168.11.21,192.168.11.30,TCP,93,,,0.000178,"Jan  8, 2024 10:29:12.993890000 JST",,"54352  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2365389072 TSecr=1525501257 [TCP segment of a reassembled PDU]"
5,0.008158,192.168.11.21,192.168.11.30,TCP,66,,,0.000149,"Jan  8, 2024 10:29:12.994039000 JST",,"54352  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2365389072 TSecr=1525501257"
6,0.015559,192.168.11.30,192.168.11.21,TCP,66,0.00755,,0.007401,"Jan  8, 2024 10:29:13.001440000 JST",,6000  >  54352 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1525501265 TSecr=2365389072
7,0.015782,192.168.11.30,192.168.11.21,TCP,66,0.007624,,0.000223,"Jan  8, 2024 10:29:13.001663000 JST",,"6000  >  54352 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1525501266 TSecr=2365389072"
8,0.015836,192.168.11.21,192.168.11.30,TCP,66,0.000054,,0.000054,"Jan  8, 2024 10:29:13.001717000 JST",,54352  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2365389080 TSecr=1525501266
9,0.049107,192.168.11.21,255.255.255.255,UDP,209,,Ÿ,0.033271,"Jan  8, 2024 10:29:13.034988000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022696969222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,33556  >  7000 Len=167
10,0.055053,192.168.11.28,192.168.11.21,TCP,74,,œ,0.005946,"Jan  8, 2024 10:29:13.040934000 JST",,46076  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3502979154 TSecr=0 WS=128
11,0.055232,192.168.11.21,192.168.11.28,TCP,74,0.000179,,0.000179,"Jan  8, 2024 10:29:13.041113000 JST",,"6000  >  46076 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4202621995 TSecr=3502979154 WS=128"
12,0.063138,192.168.11.28,192.168.11.21,TCP,66,0.007906,,0.007906,"Jan  8, 2024 10:29:13.049019000 JST",,46076  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3502979162 TSecr=4202621995
13,0.063722,192.168.11.28,192.168.11.21,TCP,93,,,0.000584,"Jan  8, 2024 10:29:13.049603000 JST",,"46076  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3502979162 TSecr=4202621995 [TCP segment of a reassembled PDU]"
14,0.063827,192.168.11.21,192.168.11.28,TCP,66,0.000105,,0.000105,"Jan  8, 2024 10:29:13.049708000 JST",,6000  >  46076 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4202622003 TSecr=3502979162
15,0.063913,192.168.11.28,192.168.11.21,TCP,66,,,0.000086,"Jan  8, 2024 10:29:13.049794000 JST",,"46076  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3502979163 TSecr=4202621995"
16,0.065379,192.168.11.21,192.168.11.28,TCP,66,0.001466,,0.001466,"Jan  8, 2024 10:29:13.051260000 JST",,"6000  >  46076 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4202622005 TSecr=3502979163"
17,0.071467,192.168.11.28,192.168.11.21,TCP,66,0.006088,,0.006088,"Jan  8, 2024 10:29:13.057348000 JST",,46076  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3502979170 TSecr=4202622005
18,6.177304,192.168.11.21,192.168.11.30,TCP,74,,,6.105837,"Jan  8, 2024 10:29:19.163185000 JST",,45204  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2365395241 TSecr=0 WS=128
19,6.184096,192.168.11.30,192.168.11.21,TCP,74,0.006792,,0.006792,"Jan  8, 2024 10:29:19.169977000 JST",,"6000  >  45204 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1525507434 TSecr=2365395241 WS=128"
20,6.184213,192.168.11.21,192.168.11.30,TCP,66,0.000117,,0.000117,"Jan  8, 2024 10:29:19.170094000 JST",,45204  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2365395248 TSecr=1525507434
21,6.184357,192.168.11.21,192.168.11.30,TCP,93,,,0.000144,"Jan  8, 2024 10:29:19.170238000 JST",,"45204  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2365395248 TSecr=1525507434 [TCP segment of a reassembled PDU]"
22,6.184494,192.168.11.21,192.168.11.30,TCP,66,,,0.000137,"Jan  8, 2024 10:29:19.170375000 JST",,"45204  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2365395248 TSecr=1525507434"
23,6.192689,192.168.11.30,192.168.11.21,TCP,66,0.008332,,0.008195,"Jan  8, 2024 10:29:19.178570000 JST",,6000  >  45204 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1525507442 TSecr=2365395248
24,6.193082,192.168.11.30,192.168.11.21,TCP,66,0.008588,,0.000393,"Jan  8, 2024 10:29:19.178963000 JST",,"6000  >  45204 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1525507443 TSecr=2365395248"
25,6.193141,192.168.11.21,192.168.11.30,TCP,66,0.000059,,0.000059,"Jan  8, 2024 10:29:19.179022000 JST",,45204  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2365395257 TSecr=1525507443
26,6.223355,192.168.11.21,255.255.255.255,UDP,209,,Ÿ,0.030214,"Jan  8, 2024 10:29:19.209236000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022696969222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,37688  >  7000 Len=167
