No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.28,192.168.11.21,TCP,74,,,0,"Jan  8, 2024 10:29:13.038965000 JST",,46076  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3502979154 TSecr=0 WS=128
2,0.007808,192.168.11.21,192.168.11.28,TCP,74,0.007808,,0.007808,"Jan  8, 2024 10:29:13.046773000 JST",,"6000  >  46076 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4202621995 TSecr=3502979154 WS=128"
3,0.007927,192.168.11.28,192.168.11.21,TCP,66,0.000119,,0.000119,"Jan  8, 2024 10:29:13.046892000 JST",,46076  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3502979162 TSecr=4202621995
4,0.008104,192.168.11.28,192.168.11.21,TCP,93,,,0.000177,"Jan  8, 2024 10:29:13.047069000 JST",,"46076  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3502979162 TSecr=4202621995 [TCP segment of a reassembled PDU]"
5,0.008291,192.168.11.28,192.168.11.21,TCP,66,,,0.000187,"Jan  8, 2024 10:29:13.047256000 JST",,"46076  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3502979163 TSecr=4202621995"
6,0.015544,192.168.11.21,192.168.11.28,TCP,66,0.00744,,0.007253,"Jan  8, 2024 10:29:13.054509000 JST",,6000  >  46076 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4202622003 TSecr=3502979162
7,0.015965,192.168.11.21,192.168.11.28,TCP,66,0.007674,,0.000421,"Jan  8, 2024 10:29:13.054930000 JST",,"6000  >  46076 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4202622005 TSecr=3502979163"
8,0.016013,192.168.11.28,192.168.11.21,TCP,66,0.000048,,0.000048,"Jan  8, 2024 10:29:13.054978000 JST",,46076  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3502979170 TSecr=4202622005
9,0.045141,192.168.11.28,255.255.255.255,UDP,209,,Ÿ,0.029128,"Jan  8, 2024 10:29:13.084106000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226a6a6a222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,39314  >  7000 Len=167
10,0.05233,192.168.11.7,192.168.11.28,TCP,74,,œ,0.007189,"Jan  8, 2024 10:29:13.091295000 JST",,54870  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=612737166 TSecr=0 WS=128
11,0.052487,192.168.11.28,192.168.11.7,TCP,74,0.000157,,0.000157,"Jan  8, 2024 10:29:13.091452000 JST",,"6000  >  54870 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2659280946 TSecr=612737166 WS=128"
12,0.073019,192.168.11.7,192.168.11.28,TCP,66,0.020532,,0.020532,"Jan  8, 2024 10:29:13.111984000 JST",,54870  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=612737175 TSecr=2659280946
13,0.073581,192.168.11.7,192.168.11.28,TCP,93,,,0.000562,"Jan  8, 2024 10:29:13.112546000 JST",,"54870  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=612737175 TSecr=2659280946 [TCP segment of a reassembled PDU]"
14,0.073659,192.168.11.28,192.168.11.7,TCP,66,0.000078,,0.000078,"Jan  8, 2024 10:29:13.112624000 JST",,6000  >  54870 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2659280967 TSecr=612737175
15,0.073726,192.168.11.7,192.168.11.28,TCP,66,,,0.000067,"Jan  8, 2024 10:29:13.112691000 JST",,"54870  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=612737175 TSecr=2659280946"
16,0.074838,192.168.11.28,192.168.11.7,TCP,66,0.001112,,0.001112,"Jan  8, 2024 10:29:13.113803000 JST",,"6000  >  54870 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2659280968 TSecr=612737175"
17,0.080896,192.168.11.7,192.168.11.28,TCP,66,0.006058,,0.006058,"Jan  8, 2024 10:29:13.119861000 JST",,54870  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=612737195 TSecr=2659280968
18,6.174049,192.168.11.28,192.168.11.21,TCP,74,,,6.093153,"Jan  8, 2024 10:29:19.213014000 JST",,48128  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3502985328 TSecr=0 WS=128
19,6.181129,192.168.11.21,192.168.11.28,TCP,74,0.00708,,0.00708,"Jan  8, 2024 10:29:19.220094000 JST",,"6000  >  48128 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4202628169 TSecr=3502985328 WS=128"
20,6.18124,192.168.11.28,192.168.11.21,TCP,66,0.000111,,0.000111,"Jan  8, 2024 10:29:19.220205000 JST",,48128  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3502985336 TSecr=4202628169
21,6.181432,192.168.11.28,192.168.11.21,TCP,93,,,0.000192,"Jan  8, 2024 10:29:19.220397000 JST",,"48128  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3502985336 TSecr=4202628169 [TCP segment of a reassembled PDU]"
22,6.181556,192.168.11.28,192.168.11.21,TCP,66,,,0.000124,"Jan  8, 2024 10:29:19.220521000 JST",,"48128  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3502985336 TSecr=4202628169"
23,6.188759,192.168.11.21,192.168.11.28,TCP,66,0.007327,,0.007203,"Jan  8, 2024 10:29:19.227724000 JST",,6000  >  48128 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4202628177 TSecr=3502985336
24,6.189124,192.168.11.21,192.168.11.28,TCP,66,0.007568,,0.000365,"Jan  8, 2024 10:29:19.228089000 JST",,"6000  >  48128 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4202628178 TSecr=3502985336"
25,6.189177,192.168.11.28,192.168.11.21,TCP,66,0.000053,,0.000053,"Jan  8, 2024 10:29:19.228142000 JST",,48128  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3502985343 TSecr=4202628178
26,6.220045,192.168.11.28,255.255.255.255,UDP,209,,Ÿ,0.030868,"Jan  8, 2024 10:29:19.259010000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226a6a6a222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,38608  >  7000 Len=167
27,6.226423,192.168.11.7,192.168.11.28,TCP,74,,œ,0.006378,"Jan  8, 2024 10:29:19.265388000 JST",,41894  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=612743340 TSecr=0 WS=128
28,6.226586,192.168.11.28,192.168.11.7,TCP,74,0.000163,,0.000163,"Jan  8, 2024 10:29:19.265551000 JST",,"6000  >  41894 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2659287120 TSecr=612743340 WS=128"
29,6.233902,192.168.11.7,192.168.11.28,TCP,66,0.007316,,0.007316,"Jan  8, 2024 10:29:19.272867000 JST",,41894  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=612743348 TSecr=2659287120
30,6.234552,192.168.11.7,192.168.11.28,TCP,93,,,0.00065,"Jan  8, 2024 10:29:19.273517000 JST",,"41894  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=612743349 TSecr=2659287120 [TCP segment of a reassembled PDU]"
31,6.234653,192.168.11.28,192.168.11.7,TCP,66,0.000101,,0.000101,"Jan  8, 2024 10:29:19.273618000 JST",,6000  >  41894 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2659287128 TSecr=612743349
32,6.23473,192.168.11.7,192.168.11.28,TCP,66,,,0.000077,"Jan  8, 2024 10:29:19.273695000 JST",,"41894  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=612743349 TSecr=2659287120"
33,6.236929,192.168.11.28,192.168.11.7,TCP,66,0.002199,,0.002199,"Jan  8, 2024 10:29:19.275894000 JST",,"6000  >  41894 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2659287130 TSecr=612743349"
34,6.242953,192.168.11.7,192.168.11.28,TCP,66,0.006024,,0.006024,"Jan  8, 2024 10:29:19.281918000 JST",,41894  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=612743357 TSecr=2659287130
35,12.270212,192.168.11.28,192.168.11.21,TCP,74,,,6.027259,"Jan  8, 2024 10:29:25.309177000 JST",,48132  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3502991425 TSecr=0 WS=128
36,12.276957,192.168.11.21,192.168.11.28,TCP,74,0.006745,,0.006745,"Jan  8, 2024 10:29:25.315922000 JST",,"6000  >  48132 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4202634265 TSecr=3502991425 WS=128"
37,12.277064,192.168.11.28,192.168.11.21,TCP,66,0.000107,,0.000107,"Jan  8, 2024 10:29:25.316029000 JST",,48132  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3502991431 TSecr=4202634265
38,12.277244,192.168.11.28,192.168.11.21,TCP,93,,,0.00018,"Jan  8, 2024 10:29:25.316209000 JST",,"48132  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3502991432 TSecr=4202634265 [TCP segment of a reassembled PDU]"
39,12.27735,192.168.11.28,192.168.11.21,TCP,66,,,0.000106,"Jan  8, 2024 10:29:25.316315000 JST",,"48132  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3502991432 TSecr=4202634265"
40,12.284632,192.168.11.21,192.168.11.28,TCP,66,0.007388,,0.007282,"Jan  8, 2024 10:29:25.323597000 JST",,6000  >  48132 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4202634273 TSecr=3502991432
41,12.285027,192.168.11.21,192.168.11.28,TCP,66,0.007677,,0.000395,"Jan  8, 2024 10:29:25.323992000 JST",,"6000  >  48132 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4202634274 TSecr=3502991432"
42,12.285082,192.168.11.28,192.168.11.21,TCP,66,0.000055,,0.000055,"Jan  8, 2024 10:29:25.324047000 JST",,48132  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3502991439 TSecr=4202634274
43,12.313951,192.168.11.28,255.255.255.255,UDP,209,,Ÿ,0.028869,"Jan  8, 2024 10:29:25.352916000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226a6a6a222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,43009  >  7000 Len=167
