No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.7,192.168.11.28,TCP,74,,,0,"Jan  8, 2024 10:29:12.899630000 JST",,54870  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=612737166 TSecr=0 WS=128
2,0.008946,192.168.11.28,192.168.11.7,TCP,74,0.008946,,0.008946,"Jan  8, 2024 10:29:12.908576000 JST",,"6000  >  54870 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2659280946 TSecr=612737166 WS=128"
3,0.009075,192.168.11.7,192.168.11.28,TCP,66,0.000129,,0.000129,"Jan  8, 2024 10:29:12.908705000 JST",,54870  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=612737175 TSecr=2659280946
4,0.0094,192.168.11.7,192.168.11.28,TCP,93,,,0.000325,"Jan  8, 2024 10:29:12.909030000 JST",,"54870  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=612737175 TSecr=2659280946 [TCP segment of a reassembled PDU]"
5,0.009531,192.168.11.7,192.168.11.28,TCP,66,,,0.000131,"Jan  8, 2024 10:29:12.909161000 JST",,"54870  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=612737175 TSecr=2659280946"
6,0.029199,192.168.11.28,192.168.11.7,TCP,66,0.019799,,0.019668,"Jan  8, 2024 10:29:12.928829000 JST",,6000  >  54870 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2659280967 TSecr=612737175
7,0.029584,192.168.11.28,192.168.11.7,TCP,66,0.020053,,0.000385,"Jan  8, 2024 10:29:12.929214000 JST",,"6000  >  54870 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2659280968 TSecr=612737175"
8,0.029632,192.168.11.7,192.168.11.28,TCP,66,0.000048,,0.000048,"Jan  8, 2024 10:29:12.929262000 JST",,54870  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=612737195 TSecr=2659280968
9,0.06051,192.168.11.7,255.255.255.255,UDP,209,,Ÿ,0.030878,"Jan  8, 2024 10:29:12.960140000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226b6b6b222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,54536  >  7000 Len=167
10,0.070732,192.168.11.26,192.168.11.7,TCP,74,,œ,0.010222,"Jan  8, 2024 10:29:12.970362000 JST",,38390  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=129889507 TSecr=0 WS=128
11,0.070882,192.168.11.7,192.168.11.26,TCP,74,0.00015,,0.00015,"Jan  8, 2024 10:29:12.970512000 JST",,"6000  >  38390 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=976328527 TSecr=129889507 WS=128"
12,0.078912,192.168.11.26,192.168.11.7,TCP,66,0.00803,,0.00803,"Jan  8, 2024 10:29:12.978542000 JST",,38390  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=129889517 TSecr=976328527
13,0.07953,192.168.11.26,192.168.11.7,TCP,93,,,0.000618,"Jan  8, 2024 10:29:12.979160000 JST",,"38390  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=129889517 TSecr=976328527 [TCP segment of a reassembled PDU]"
14,0.079645,192.168.11.7,192.168.11.26,TCP,66,0.000115,,0.000115,"Jan  8, 2024 10:29:12.979275000 JST",,6000  >  38390 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=976328536 TSecr=129889517
15,0.079725,192.168.11.26,192.168.11.7,TCP,66,,,0.00008,"Jan  8, 2024 10:29:12.979355000 JST",,"38390  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=129889517 TSecr=976328527"
16,0.081197,192.168.11.7,192.168.11.26,TCP,66,0.001472,,0.001472,"Jan  8, 2024 10:29:12.980827000 JST",,"6000  >  38390 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=976328538 TSecr=129889517"
17,0.089356,192.168.11.26,192.168.11.7,TCP,66,0.008159,,0.008159,"Jan  8, 2024 10:29:12.988986000 JST",,38390  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=129889525 TSecr=976328538
18,6.174849,192.168.11.7,192.168.11.28,TCP,74,,,6.085493,"Jan  8, 2024 10:29:19.074479000 JST",,41894  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=612743340 TSecr=0 WS=128
19,6.182595,192.168.11.28,192.168.11.7,TCP,74,0.007746,,0.007746,"Jan  8, 2024 10:29:19.082225000 JST",,"6000  >  41894 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2659287120 TSecr=612743340 WS=128"
20,6.182706,192.168.11.7,192.168.11.28,TCP,66,0.000111,,0.000111,"Jan  8, 2024 10:29:19.082336000 JST",,41894  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=612743348 TSecr=2659287120
21,6.182882,192.168.11.7,192.168.11.28,TCP,93,,,0.000176,"Jan  8, 2024 10:29:19.082512000 JST",,"41894  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=612743349 TSecr=2659287120 [TCP segment of a reassembled PDU]"
22,6.183024,192.168.11.7,192.168.11.28,TCP,66,,,0.000142,"Jan  8, 2024 10:29:19.082654000 JST",,"41894  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=612743349 TSecr=2659287120"
23,6.19149,192.168.11.28,192.168.11.7,TCP,66,0.008608,,0.008466,"Jan  8, 2024 10:29:19.091120000 JST",,6000  >  41894 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2659287128 TSecr=612743349
24,6.191711,192.168.11.28,192.168.11.7,TCP,66,0.008687,,0.000221,"Jan  8, 2024 10:29:19.091341000 JST",,"6000  >  41894 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2659287130 TSecr=612743349"
25,6.191757,192.168.11.7,192.168.11.28,TCP,66,0.000046,,0.000046,"Jan  8, 2024 10:29:19.091387000 JST",,41894  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=612743357 TSecr=2659287130
26,6.219766,192.168.11.7,255.255.255.255,UDP,209,,Ÿ,0.028009,"Jan  8, 2024 10:29:19.119396000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226b6b6b222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,56353  >  7000 Len=167
27,6.228713,192.168.11.26,192.168.11.7,TCP,74,,œ,0.008947,"Jan  8, 2024 10:29:19.128343000 JST",,38392  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=129895666 TSecr=0 WS=128
28,6.22886,192.168.11.7,192.168.11.26,TCP,74,0.000147,,0.000147,"Jan  8, 2024 10:29:19.128490000 JST",,"6000  >  38392 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=976334685 TSecr=129895666 WS=128"
29,6.237031,192.168.11.26,192.168.11.7,TCP,66,0.008171,,0.008171,"Jan  8, 2024 10:29:19.136661000 JST",,38392  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=129895675 TSecr=976334685
30,6.237719,192.168.11.26,192.168.11.7,TCP,93,,,0.000688,"Jan  8, 2024 10:29:19.137349000 JST",,"38392  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=129895675 TSecr=976334685 [TCP segment of a reassembled PDU]"
31,6.23782,192.168.11.7,192.168.11.26,TCP,66,0.000101,,0.000101,"Jan  8, 2024 10:29:19.137450000 JST",,6000  >  38392 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=976334694 TSecr=129895675
32,6.238002,192.168.11.26,192.168.11.7,TCP,66,,,0.000182,"Jan  8, 2024 10:29:19.137632000 JST",,"38392  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=129895675 TSecr=976334685"
33,6.24019,192.168.11.7,192.168.11.26,TCP,66,0.002188,,0.002188,"Jan  8, 2024 10:29:19.139820000 JST",,"6000  >  38392 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=976334697 TSecr=129895675"
34,6.248864,192.168.11.26,192.168.11.7,TCP,66,0.008674,,0.008674,"Jan  8, 2024 10:29:19.148494000 JST",,38392  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=129895686 TSecr=976334697
35,12.268612,192.168.11.7,192.168.11.28,TCP,74,,,6.019748,"Jan  8, 2024 10:29:25.168242000 JST",,60484  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=612749434 TSecr=0 WS=128
36,12.275633,192.168.11.28,192.168.11.7,TCP,74,0.007021,,0.007021,"Jan  8, 2024 10:29:25.175263000 JST",,"6000  >  60484 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2659293213 TSecr=612749434 WS=128"
37,12.27574,192.168.11.7,192.168.11.28,TCP,66,0.000107,,0.000107,"Jan  8, 2024 10:29:25.175370000 JST",,60484  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=612749441 TSecr=2659293213
38,12.275922,192.168.11.7,192.168.11.28,TCP,93,,,0.000182,"Jan  8, 2024 10:29:25.175552000 JST",,"60484  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=612749442 TSecr=2659293213 [TCP segment of a reassembled PDU]"
39,12.276047,192.168.11.7,192.168.11.28,TCP,66,,,0.000125,"Jan  8, 2024 10:29:25.175677000 JST",,"60484  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=612749442 TSecr=2659293213"
40,12.285557,192.168.11.28,192.168.11.7,TCP,66,0.009635,,0.00951,"Jan  8, 2024 10:29:25.185187000 JST",,6000  >  60484 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2659293221 TSecr=612749442
