No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.26,192.168.11.7,TCP,74,,,0,"Jan  8, 2024 10:29:13.153199000 JST",,38390  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=129889507 TSecr=0 WS=128
2,0.009465,192.168.11.7,192.168.11.26,TCP,74,0.009465,,0.009465,"Jan  8, 2024 10:29:13.162664000 JST",,"6000  >  38390 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=976328527 TSecr=129889507 WS=128"
3,0.009604,192.168.11.26,192.168.11.7,TCP,66,0.000139,,0.000139,"Jan  8, 2024 10:29:13.162803000 JST",,38390  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=129889517 TSecr=976328527
4,0.009796,192.168.11.26,192.168.11.7,TCP,93,,,0.000192,"Jan  8, 2024 10:29:13.162995000 JST",,"38390  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=129889517 TSecr=976328527 [TCP segment of a reassembled PDU]"
5,0.00994,192.168.11.26,192.168.11.7,TCP,66,,,0.000144,"Jan  8, 2024 10:29:13.163139000 JST",,"38390  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=129889517 TSecr=976328527"
6,0.017757,192.168.11.7,192.168.11.26,TCP,66,0.007961,,0.007817,"Jan  8, 2024 10:29:13.170956000 JST",,6000  >  38390 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=976328536 TSecr=129889517
7,0.017995,192.168.11.7,192.168.11.26,TCP,66,0.008055,,0.000238,"Jan  8, 2024 10:29:13.171194000 JST",,"6000  >  38390 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=976328538 TSecr=129889517"
8,0.018055,192.168.11.26,192.168.11.7,TCP,66,0.00006,,0.00006,"Jan  8, 2024 10:29:13.171254000 JST",,38390  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=129889525 TSecr=976328538
9,0.050413,192.168.11.26,255.255.255.255,UDP,209,,Ÿ,0.032358,"Jan  8, 2024 10:29:13.203612000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226c6c6c222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,34496  >  7000 Len=167
10,0.063643,192.168.11.25,192.168.11.26,TCP,74,,œ,0.01323,"Jan  8, 2024 10:29:13.216842000 JST",,50400  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=461316181 TSecr=0 WS=128
11,0.06383,192.168.11.26,192.168.11.25,TCP,74,0.000187,,0.000187,"Jan  8, 2024 10:29:13.217029000 JST",,"6000  >  50400 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=656382659 TSecr=461316181 WS=128"
12,0.070671,192.168.11.25,192.168.11.26,TCP,66,0.006841,,0.006841,"Jan  8, 2024 10:29:13.223870000 JST",,50400  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=461316190 TSecr=656382659
13,0.071354,192.168.11.25,192.168.11.26,TCP,93,,,0.000683,"Jan  8, 2024 10:29:13.224553000 JST",,"50400  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=461316190 TSecr=656382659 [TCP segment of a reassembled PDU]"
14,0.071455,192.168.11.26,192.168.11.25,TCP,66,0.000101,,0.000101,"Jan  8, 2024 10:29:13.224654000 JST",,6000  >  50400 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=656382667 TSecr=461316190
15,0.071533,192.168.11.25,192.168.11.26,TCP,66,,,0.000078,"Jan  8, 2024 10:29:13.224732000 JST",,"50400  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=461316190 TSecr=656382659"
16,0.073453,192.168.11.26,192.168.11.25,TCP,66,0.00192,,0.00192,"Jan  8, 2024 10:29:13.226652000 JST",,"6000  >  50400 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=656382669 TSecr=461316190"
17,0.078597,192.168.11.25,192.168.11.26,TCP,66,0.005144,,0.005144,"Jan  8, 2024 10:29:13.231796000 JST",,50400  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=461316198 TSecr=656382669
18,6.158854,192.168.11.26,192.168.11.7,TCP,74,,,6.080257,"Jan  8, 2024 10:29:19.312053000 JST",,38392  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=129895666 TSecr=0 WS=128
19,6.167484,192.168.11.7,192.168.11.26,TCP,74,0.00863,,0.00863,"Jan  8, 2024 10:29:19.320683000 JST",,"6000  >  38392 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=976334685 TSecr=129895666 WS=128"
20,6.167599,192.168.11.26,192.168.11.7,TCP,66,0.000115,,0.000115,"Jan  8, 2024 10:29:19.320798000 JST",,38392  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=129895675 TSecr=976334685
21,6.16778,192.168.11.26,192.168.11.7,TCP,93,,,0.000181,"Jan  8, 2024 10:29:19.320979000 JST",,"38392  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=129895675 TSecr=976334685 [TCP segment of a reassembled PDU]"
22,6.167929,192.168.11.26,192.168.11.7,TCP,66,,,0.000149,"Jan  8, 2024 10:29:19.321128000 JST",,"38392  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=129895675 TSecr=976334685"
23,6.175796,192.168.11.7,192.168.11.26,TCP,66,0.008016,,0.007867,"Jan  8, 2024 10:29:19.328995000 JST",,6000  >  38392 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=976334694 TSecr=129895675
24,6.17835,192.168.11.7,192.168.11.26,TCP,66,0.010421,,0.002554,"Jan  8, 2024 10:29:19.331549000 JST",,"6000  >  38392 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=976334697 TSecr=129895675"
25,6.1784,192.168.11.26,192.168.11.7,TCP,66,0.00005,,0.00005,"Jan  8, 2024 10:29:19.331599000 JST",,38392  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=129895686 TSecr=976334697
26,6.21154,192.168.11.26,255.255.255.255,UDP,209,,Ÿ,0.03314,"Jan  8, 2024 10:29:19.364739000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226c6c6c222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,53556  >  7000 Len=167
27,6.219033,192.168.11.25,192.168.11.26,TCP,74,,œ,0.007493,"Jan  8, 2024 10:29:19.372232000 JST",,50412  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=461322338 TSecr=0 WS=128
28,6.219201,192.168.11.26,192.168.11.25,TCP,74,0.000168,,0.000168,"Jan  8, 2024 10:29:19.372400000 JST",,"6000  >  50412 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=656388814 TSecr=461322338 WS=128"
29,6.22589,192.168.11.25,192.168.11.26,TCP,66,0.006689,,0.006689,"Jan  8, 2024 10:29:19.379089000 JST",,50412  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=461322345 TSecr=656388814
30,6.226439,192.168.11.25,192.168.11.26,TCP,93,,,0.000549,"Jan  8, 2024 10:29:19.379638000 JST",,"50412  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=461322345 TSecr=656388814 [TCP segment of a reassembled PDU]"
31,6.226519,192.168.11.26,192.168.11.25,TCP,66,0.00008,,0.00008,"Jan  8, 2024 10:29:19.379718000 JST",,6000  >  50412 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=656388822 TSecr=461322345
32,6.226593,192.168.11.25,192.168.11.26,TCP,66,,,0.000074,"Jan  8, 2024 10:29:19.379792000 JST",,"50412  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=461322346 TSecr=656388814"
33,6.22779,192.168.11.26,192.168.11.25,TCP,66,0.001197,,0.001197,"Jan  8, 2024 10:29:19.380989000 JST",,"6000  >  50412 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=656388823 TSecr=461322346"
34,6.235771,192.168.11.25,192.168.11.26,TCP,66,0.007981,,0.007981,"Jan  8, 2024 10:29:19.388970000 JST",,50412  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=461322355 TSecr=656388823
35,12.258427,192.168.11.26,192.168.11.7,TCP,74,,,6.022656,"Jan  8, 2024 10:29:25.411626000 JST",,52044  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=129901766 TSecr=0 WS=128
36,12.267027,192.168.11.7,192.168.11.26,TCP,74,0.0086,,0.0086,"Jan  8, 2024 10:29:25.420226000 JST",,"6000  >  52044 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=976340785 TSecr=129901766 WS=128"
37,12.267141,192.168.11.26,192.168.11.7,TCP,66,0.000114,,0.000114,"Jan  8, 2024 10:29:25.420340000 JST",,52044  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=129901774 TSecr=976340785
38,12.267356,192.168.11.26,192.168.11.7,TCP,93,,,0.000215,"Jan  8, 2024 10:29:25.420555000 JST",,"52044  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=129901775 TSecr=976340785 [TCP segment of a reassembled PDU]"
39,12.267458,192.168.11.26,192.168.11.7,TCP,66,,,0.000102,"Jan  8, 2024 10:29:25.420657000 JST",,"52044  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=129901775 TSecr=976340785"
40,12.275363,192.168.11.7,192.168.11.26,TCP,66,0.008007,,0.007905,"Jan  8, 2024 10:29:25.428562000 JST",,6000  >  52044 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=976340794 TSecr=129901775
41,12.277819,192.168.11.7,192.168.11.26,TCP,66,0.010361,,0.002456,"Jan  8, 2024 10:29:25.431018000 JST",,"6000  >  52044 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=976340796 TSecr=129901775"
42,12.277869,192.168.11.26,192.168.11.7,TCP,66,0.00005,,0.00005,"Jan  8, 2024 10:29:25.431068000 JST",,52044  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=129901785 TSecr=976340796
43,12.308211,192.168.11.26,255.255.255.255,UDP,209,,Ÿ,0.030342,"Jan  8, 2024 10:29:25.461410000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226c6c6c222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,37338  >  7000 Len=167
44,12.315853,192.168.11.25,192.168.11.26,TCP,74,,œ,0.007642,"Jan  8, 2024 10:29:25.469052000 JST",,36548  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=461328435 TSecr=0 WS=128
