No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
9,0.045419,192.168.11.4,255.255.255.255,UDP,209,,Ÿ,0.031319,"Jan  8, 2024 10:29:13.305544000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,52106  >  7000 Len=167
10,0.061679,192.168.11.5,192.168.11.4,TCP,74,,œ,0.01626,"Jan  8, 2024 10:29:13.321804000 JST",,33730  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2029979840 TSecr=0 WS=128
26,6.204288,192.168.11.4,255.255.255.255,UDP,209,,Ÿ,0.033709,"Jan  8, 2024 10:29:19.464413000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,48328  >  7000 Len=167
27,6.211843,192.168.11.5,192.168.11.4,TCP,74,,œ,0.007555,"Jan  8, 2024 10:29:19.471968000 JST",,33736  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2029985997 TSecr=0 WS=128
43,12.307861,192.168.11.4,255.255.255.255,UDP,209,,Ÿ,0.028111,"Jan  8, 2024 10:29:25.567986000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,43629  >  7000 Len=167
44,12.31538,192.168.11.5,192.168.11.4,TCP,74,,œ,0.007519,"Jan  8, 2024 10:29:25.575505000 JST",,60610  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2029992101 TSecr=0 WS=128
60,18.418792,192.168.11.4,255.255.255.255,UDP,209,,Ÿ,0.027788,"Jan  8, 2024 10:29:31.678917000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,57269  >  7000 Len=167
61,18.426353,192.168.11.5,192.168.11.4,TCP,74,,œ,0.007561,"Jan  8, 2024 10:29:31.686478000 JST",,41112  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2029998212 TSecr=0 WS=128
77,25.529919,192.168.11.4,255.255.255.255,UDP,209,,Ÿ,0.029331,"Jan  8, 2024 10:29:38.790044000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,38375  >  7000 Len=167
78,25.539098,192.168.11.5,192.168.11.4,TCP,74,,œ,0.009179,"Jan  8, 2024 10:29:38.799223000 JST",,41128  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2030005323 TSecr=0 WS=128
94,31.637616,192.168.11.4,255.255.255.255,UDP,209,,Ÿ,0.030105,"Jan  8, 2024 10:29:44.897741000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,56241  >  7000 Len=167
95,31.645088,192.168.11.5,192.168.11.4,TCP,74,,œ,0.007472,"Jan  8, 2024 10:29:44.905213000 JST",,33104  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2030011431 TSecr=0 WS=128
111,37.748785,192.168.11.4,255.255.255.255,UDP,209,,Ÿ,0.031704,"Jan  8, 2024 10:29:51.008910000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,54259  >  7000 Len=167
112,37.756182,192.168.11.5,192.168.11.4,TCP,74,,œ,0.007397,"Jan  8, 2024 10:29:51.016307000 JST",,40662  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2030017542 TSecr=0 WS=128
128,43.874206,192.168.11.4,255.255.255.255,UDP,209,,Ÿ,0.030643,"Jan  8, 2024 10:29:57.134331000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,52380  >  7000 Len=167
129,43.88228,192.168.11.5,192.168.11.4,TCP,74,,œ,0.008074,"Jan  8, 2024 10:29:57.142405000 JST",,40678  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2030023667 TSecr=0 WS=128
145,49.972244,192.168.11.4,255.255.255.255,UDP,209,,Ÿ,0.029272,"Jan  8, 2024 10:30:03.232369000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,52510  >  7000 Len=167
146,49.979726,192.168.11.5,192.168.11.4,TCP,74,,œ,0.007482,"Jan  8, 2024 10:30:03.239851000 JST",,60222  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2030029765 TSecr=0 WS=128
