No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.17,192.168.11.16,TCP,74,,,0,"Jan  8, 2024 10:29:13.479853000 JST",,37612  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=194158077 TSecr=0 WS=128
2,0.006739,192.168.11.16,192.168.11.17,TCP,74,0.006739,,0.006739,"Jan  8, 2024 10:29:13.486592000 JST",,"6000  >  37612 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1090135806 TSecr=194158077 WS=128"
3,0.006837,192.168.11.17,192.168.11.16,TCP,66,0.000098,,0.000098,"Jan  8, 2024 10:29:13.486690000 JST",,37612  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=194158087 TSecr=1090135806
4,0.007053,192.168.11.17,192.168.11.16,TCP,93,,,0.000216,"Jan  8, 2024 10:29:13.486906000 JST",,"37612  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=194158087 TSecr=1090135806 [TCP segment of a reassembled PDU]"
5,0.007178,192.168.11.17,192.168.11.16,TCP,66,,,0.000125,"Jan  8, 2024 10:29:13.487031000 JST",,"37612  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=194158087 TSecr=1090135806"
6,0.014404,192.168.11.16,192.168.11.17,TCP,66,0.007351,,0.007226,"Jan  8, 2024 10:29:13.494257000 JST",,6000  >  37612 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1090135814 TSecr=194158087
7,0.016987,192.168.11.16,192.168.11.17,TCP,66,0.009809,,0.002583,"Jan  8, 2024 10:29:13.496840000 JST",,"6000  >  37612 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1090135816 TSecr=194158087"
8,0.017036,192.168.11.17,192.168.11.16,TCP,66,0.000049,,0.000049,"Jan  8, 2024 10:29:13.496889000 JST",,37612  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=194158097 TSecr=1090135816
9,0.049457,192.168.11.17,255.255.255.255,UDP,209,,Ÿ,0.032421,"Jan  8, 2024 10:29:13.529310000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022727272222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,54743  >  7000 Len=167
10,0.060466,192.168.11.19,192.168.11.17,TCP,74,,œ,0.011009,"Jan  8, 2024 10:29:13.540319000 JST",,47492  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2816141285 TSecr=0 WS=128
11,0.060638,192.168.11.17,192.168.11.19,TCP,74,0.000172,,0.000172,"Jan  8, 2024 10:29:13.540491000 JST",,"6000  >  47492 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2350600261 TSecr=2816141285 WS=128"
12,0.069289,192.168.11.19,192.168.11.17,TCP,66,0.008651,,0.008651,"Jan  8, 2024 10:29:13.549142000 JST",,47492  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2816141297 TSecr=2350600261
13,0.069942,192.168.11.19,192.168.11.17,TCP,93,,,0.000653,"Jan  8, 2024 10:29:13.549795000 JST",,"47492  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2816141298 TSecr=2350600261 [TCP segment of a reassembled PDU]"
14,0.070062,192.168.11.17,192.168.11.19,TCP,66,0.00012,,0.00012,"Jan  8, 2024 10:29:13.549915000 JST",,6000  >  47492 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2350600271 TSecr=2816141298
15,0.070159,192.168.11.19,192.168.11.17,TCP,66,,,0.000097,"Jan  8, 2024 10:29:13.550012000 JST",,"47492  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2816141298 TSecr=2350600261"
16,0.071833,192.168.11.17,192.168.11.19,TCP,66,0.001674,,0.001674,"Jan  8, 2024 10:29:13.551686000 JST",,"6000  >  47492 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2350600273 TSecr=2816141298"
