No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.20,192.168.11.19,TCP,74,,,0,"Jan  8, 2024 10:29:13.596156000 JST",,34428  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3824849509 TSecr=0 WS=128
2,0.006741,192.168.11.19,192.168.11.20,TCP,74,0.006741,,0.006741,"Jan  8, 2024 10:29:13.602897000 JST",,"6000  >  34428 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2476954486 TSecr=3824849509 WS=128"
3,0.006875,192.168.11.20,192.168.11.19,TCP,66,0.000134,,0.000134,"Jan  8, 2024 10:29:13.603031000 JST",,34428  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3824849520 TSecr=2476954486
4,0.007179,192.168.11.20,192.168.11.19,TCP,93,,,0.000304,"Jan  8, 2024 10:29:13.603335000 JST",,"34428  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3824849520 TSecr=2476954486 [TCP segment of a reassembled PDU]"
5,0.007333,192.168.11.20,192.168.11.19,TCP,66,,,0.000154,"Jan  8, 2024 10:29:13.603489000 JST",,"34428  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3824849520 TSecr=2476954486"
6,0.016794,192.168.11.19,192.168.11.20,TCP,66,0.009615,,0.009461,"Jan  8, 2024 10:29:13.612950000 JST",,6000  >  34428 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2476954496 TSecr=3824849520
7,0.01704,192.168.11.19,192.168.11.20,TCP,66,0.009707,,0.000246,"Jan  8, 2024 10:29:13.613196000 JST",,"6000  >  34428 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2476954498 TSecr=3824849520"
8,0.017088,192.168.11.20,192.168.11.19,TCP,66,0.000048,,0.000048,"Jan  8, 2024 10:29:13.613244000 JST",,34428  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3824849530 TSecr=2476954498
9,0.051117,192.168.11.20,255.255.255.255,UDP,209,,Ÿ,0.034029,"Jan  8, 2024 10:29:13.647273000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022747474222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,42094  >  7000 Len=167
10,0.065548,192.168.11.12,192.168.11.20,TCP,74,,œ,0.014431,"Jan  8, 2024 10:29:13.661704000 JST",,33788  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=915386832 TSecr=0 WS=128
11,0.065699,192.168.11.20,192.168.11.12,TCP,74,0.000151,,0.000151,"Jan  8, 2024 10:29:13.661855000 JST",,"6000  >  33788 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=920879508 TSecr=915386832 WS=128"
12,0.077901,192.168.11.12,192.168.11.20,TCP,66,0.012202,,0.012202,"Jan  8, 2024 10:29:13.674057000 JST",,33788  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=915386845 TSecr=920879508
13,0.078845,192.168.11.12,192.168.11.20,TCP,93,,,0.000944,"Jan  8, 2024 10:29:13.675001000 JST",,"33788  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=915386845 TSecr=920879508 [TCP segment of a reassembled PDU]"
14,0.079099,192.168.11.20,192.168.11.12,TCP,66,0.000254,,0.000254,"Jan  8, 2024 10:29:13.675255000 JST",,6000  >  33788 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=920879521 TSecr=915386845
15,0.079312,192.168.11.12,192.168.11.20,TCP,66,,,0.000213,"Jan  8, 2024 10:29:13.675468000 JST",,"33788  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=915386846 TSecr=920879508"
16,0.082948,192.168.11.20,192.168.11.12,TCP,66,0.003636,,0.003636,"Jan  8, 2024 10:29:13.679104000 JST",,"6000  >  33788 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=920879525 TSecr=915386846"
17,0.089204,192.168.11.12,192.168.11.20,TCP,66,0.006256,,0.006256,"Jan  8, 2024 10:29:13.685360000 JST",,33788  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=915386861 TSecr=920879525
18,6.128178,192.168.11.20,192.168.11.19,TCP,74,,,6.038974,"Jan  8, 2024 10:29:19.724334000 JST",,34438  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3824855641 TSecr=0 WS=128
19,6.137412,192.168.11.19,192.168.11.20,TCP,74,0.009234,,0.009234,"Jan  8, 2024 10:29:19.733568000 JST",,"6000  >  34438 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2476960617 TSecr=3824855641 WS=128"
20,6.137517,192.168.11.20,192.168.11.19,TCP,66,0.000105,,0.000105,"Jan  8, 2024 10:29:19.733673000 JST",,34438  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3824855650 TSecr=2476960617
21,6.137724,192.168.11.20,192.168.11.19,TCP,93,,,0.000207,"Jan  8, 2024 10:29:19.733880000 JST",,"34438  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3824855651 TSecr=2476960617 [TCP segment of a reassembled PDU]"
22,6.137855,192.168.11.20,192.168.11.19,TCP,66,,,0.000131,"Jan  8, 2024 10:29:19.734011000 JST",,"34438  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3824855651 TSecr=2476960617"
23,6.145357,192.168.11.19,192.168.11.20,TCP,66,0.007633,,0.007502,"Jan  8, 2024 10:29:19.741513000 JST",,6000  >  34438 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2476960625 TSecr=3824855651
24,6.145734,192.168.11.19,192.168.11.20,TCP,66,0.007879,,0.000377,"Jan  8, 2024 10:29:19.741890000 JST",,"6000  >  34438 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2476960626 TSecr=3824855651"
25,6.145779,192.168.11.20,192.168.11.19,TCP,66,0.000045,,0.000045,"Jan  8, 2024 10:29:19.741935000 JST",,34438  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3824855659 TSecr=2476960626
26,6.174078,192.168.11.20,255.255.255.255,UDP,209,,Ÿ,0.028299,"Jan  8, 2024 10:29:19.770234000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022747474222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,60211  >  7000 Len=167
27,6.181748,192.168.11.12,192.168.11.20,TCP,74,,œ,0.00767,"Jan  8, 2024 10:29:19.777904000 JST",,50238  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=915392954 TSecr=0 WS=128
28,6.181906,192.168.11.20,192.168.11.12,TCP,74,0.000158,,0.000158,"Jan  8, 2024 10:29:19.778062000 JST",,"6000  >  50238 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=920885624 TSecr=915392954 WS=128"
29,6.201362,192.168.11.12,192.168.11.20,TCP,66,0.019456,,0.019456,"Jan  8, 2024 10:29:19.797518000 JST",,50238  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=915392961 TSecr=920885624
30,6.201885,192.168.11.12,192.168.11.20,TCP,93,,,0.000523,"Jan  8, 2024 10:29:19.798041000 JST",,"50238  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=915392961 TSecr=920885624 [TCP segment of a reassembled PDU]"
31,6.201961,192.168.11.20,192.168.11.12,TCP,66,0.000076,,0.000076,"Jan  8, 2024 10:29:19.798117000 JST",,6000  >  50238 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=920885644 TSecr=915392961
32,6.202032,192.168.11.12,192.168.11.20,TCP,66,,,0.000071,"Jan  8, 2024 10:29:19.798188000 JST",,"50238  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=915392961 TSecr=920885624"
33,6.203088,192.168.11.20,192.168.11.12,TCP,66,0.001056,,0.001056,"Jan  8, 2024 10:29:19.799244000 JST",,"6000  >  50238 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=920885645 TSecr=915392961"
34,6.209662,192.168.11.12,192.168.11.20,TCP,66,0.006574,,0.006574,"Jan  8, 2024 10:29:19.805818000 JST",,50238  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=915392981 TSecr=920885645
