"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.9","192.168.11.23","TCP","74","","0.000000000","Jan  8, 2024 10:29:12.841599000 JST","","39884  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2545608430 TSecr=0 WS=128"
"2","0.007677","192.168.11.23","192.168.11.9","TCP","74","0.007677000","0.007677000","Jan  8, 2024 10:29:12.849276000 JST","","6000  >  39884 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4283003039 TSecr=2545608430 WS=128"
"3","0.007790","192.168.11.9","192.168.11.23","TCP","66","0.000113000","0.000113000","Jan  8, 2024 10:29:12.849389000 JST","","39884  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2545608438 TSecr=4283003039"
"4","0.008076","192.168.11.9","192.168.11.23","TCP","93","","0.000286000","Jan  8, 2024 10:29:12.849675000 JST","","39884  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2545608438 TSecr=4283003039 [TCP segment of a reassembled PDU]"
"5","0.008211","192.168.11.9","192.168.11.23","TCP","66","","0.000135000","Jan  8, 2024 10:29:12.849810000 JST","","39884  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2545608438 TSecr=4283003039"
"6","0.015246","192.168.11.23","192.168.11.9","TCP","66","0.007170000","0.007035000","Jan  8, 2024 10:29:12.856845000 JST","","6000  >  39884 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4283003048 TSecr=2545608438"
"7","0.015478","192.168.11.23","192.168.11.9","TCP","66","0.007267000","0.000232000","Jan  8, 2024 10:29:12.857077000 JST","","6000  >  39884 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4283003049 TSecr=2545608438"
"8","0.015522","192.168.11.9","192.168.11.23","TCP","66","0.000044000","0.000044000","Jan  8, 2024 10:29:12.857121000 JST","","39884  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2545608445 TSecr=4283003049"
"9","0.045456","192.168.11.9","255.255.255.255","UDP","209","","0.029934000","Jan  8, 2024 10:29:12.887055000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022666666222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","50436  >  7000 Len=167"
"10","0.052431","192.168.11.10","192.168.11.9","TCP","74","","0.006975000","Jan  8, 2024 10:29:12.894030000 JST","","55202  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1277634901 TSecr=0 WS=128"
"11","0.052585","192.168.11.9","192.168.11.10","TCP","74","0.000154000","0.000154000","Jan  8, 2024 10:29:12.894184000 JST","","6000  >  55202 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=769302129 TSecr=1277634901 WS=128"
"12","0.060303","192.168.11.10","192.168.11.9","TCP","66","0.007718000","0.007718000","Jan  8, 2024 10:29:12.901902000 JST","","55202  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1277634910 TSecr=769302129"
"13","0.060859","192.168.11.10","192.168.11.9","TCP","93","","0.000556000","Jan  8, 2024 10:29:12.902458000 JST","","55202  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1277634910 TSecr=769302129 [TCP segment of a reassembled PDU]"
