"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.10","192.168.11.9","TCP","74","","0.000000000","Jan  8, 2024 10:29:12.890175000 JST","","55202  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1277634901 TSecr=0 WS=128"
"2","0.008694","192.168.11.9","192.168.11.10","TCP","74","0.008694000","0.008694000","Jan  8, 2024 10:29:12.898869000 JST","","6000  >  55202 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=769302129 TSecr=1277634901 WS=128"
"3","0.008849","192.168.11.10","192.168.11.9","TCP","66","0.000155000","0.000155000","Jan  8, 2024 10:29:12.899024000 JST","","55202  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1277634910 TSecr=769302129"
"4","0.009142","192.168.11.10","192.168.11.9","TCP","93","","0.000293000","Jan  8, 2024 10:29:12.899317000 JST","","55202  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1277634910 TSecr=769302129 [TCP segment of a reassembled PDU]"
"5","0.009279","192.168.11.10","192.168.11.9","TCP","66","","0.000137000","Jan  8, 2024 10:29:12.899454000 JST","","55202  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1277634910 TSecr=769302129"
"6","0.016380","192.168.11.9","192.168.11.10","TCP","66","0.007238000","0.007101000","Jan  8, 2024 10:29:12.906555000 JST","","6000  >  55202 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=769302138 TSecr=1277634910"
"7","0.016843","192.168.11.9","192.168.11.10","TCP","66","0.007564000","0.000463000","Jan  8, 2024 10:29:12.907018000 JST","","6000  >  55202 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=769302139 TSecr=1277634910"
"8","0.016893","192.168.11.10","192.168.11.9","TCP","66","0.000050000","0.000050000","Jan  8, 2024 10:29:12.907068000 JST","","55202  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1277634918 TSecr=769302139"
"9","0.045667","192.168.11.10","255.255.255.255","UDP","209","","0.028774000","Jan  8, 2024 10:29:12.935842000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022676767222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","53032  >  7000 Len=167"
"10","0.051603","192.168.11.30","192.168.11.10","TCP","74","","0.005936000","Jan  8, 2024 10:29:12.941778000 JST","","36362  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3570416190 TSecr=0 WS=128"
"11","0.051752","192.168.11.10","192.168.11.30","TCP","74","0.000149000","0.000149000","Jan  8, 2024 10:29:12.941927000 JST","","6000  >  36362 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2277759430 TSecr=3570416190 WS=128"
"12","0.059075","192.168.11.30","192.168.11.10","TCP","66","0.007323000","0.007323000","Jan  8, 2024 10:29:12.949250000 JST","","36362  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3570416197 TSecr=2277759430"
