"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.30","192.168.11.10","TCP","74","","0.000000000","Jan  8, 2024 10:29:12.931623000 JST","","36362  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3570416190 TSecr=0 WS=128"
"2","0.007176","192.168.11.10","192.168.11.30","TCP","74","0.007176000","0.007176000","Jan  8, 2024 10:29:12.938799000 JST","","6000  >  36362 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2277759430 TSecr=3570416190 WS=128"
"3","0.007303","192.168.11.30","192.168.11.10","TCP","66","0.000127000","0.000127000","Jan  8, 2024 10:29:12.938926000 JST","","36362  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3570416197 TSecr=2277759430"
"4","0.007591","192.168.11.30","192.168.11.10","TCP","93","","0.000288000","Jan  8, 2024 10:29:12.939214000 JST","","36362  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3570416198 TSecr=2277759430 [TCP segment of a reassembled PDU]"
"5","0.007759","192.168.11.30","192.168.11.10","TCP","66","","0.000168000","Jan  8, 2024 10:29:12.939382000 JST","","36362  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3570416198 TSecr=2277759430"
"6","0.014785","192.168.11.10","192.168.11.30","TCP","66","0.007194000","0.007026000","Jan  8, 2024 10:29:12.946408000 JST","","6000  >  36362 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2277759438 TSecr=3570416198"
"7","0.015022","192.168.11.10","192.168.11.30","TCP","66","0.007263000","0.000237000","Jan  8, 2024 10:29:12.946645000 JST","","6000  >  36362 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2277759440 TSecr=3570416198"
"8","0.015072","192.168.11.30","192.168.11.10","TCP","66","0.000050000","0.000050000","Jan  8, 2024 10:29:12.946695000 JST","","36362  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3570416205 TSecr=2277759440"
"9","0.045807","192.168.11.30","255.255.255.255","UDP","209","","0.030735000","Jan  8, 2024 10:29:12.977430000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022686868222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","51854  >  7000 Len=167"
"10","0.052848","192.168.11.21","192.168.11.30","TCP","74","","0.007041000","Jan  8, 2024 10:29:12.984471000 JST","","54352  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2365389064 TSecr=0 WS=128"
"11","0.053014","192.168.11.30","192.168.11.21","TCP","74","0.000166000","0.000166000","Jan  8, 2024 10:29:12.984637000 JST","","6000  >  54352 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1525501257 TSecr=2365389064 WS=128"
"12","0.059734","192.168.11.21","192.168.11.30","TCP","66","0.006720000","0.006720000","Jan  8, 2024 10:29:12.991357000 JST","","54352  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2365389072 TSecr=1525501257"
"13","0.060353","192.168.11.21","192.168.11.30","TCP","93","","0.000619000","Jan  8, 2024 10:29:12.991976000 JST","","54352  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2365389072 TSecr=1525501257 [TCP segment of a reassembled PDU]"
"14","0.060455","192.168.11.30","192.168.11.21","TCP","66","0.000102000","0.000102000","Jan  8, 2024 10:29:12.992078000 JST","","6000  >  54352 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1525501265 TSecr=2365389072"
"15","0.060534","192.168.11.21","192.168.11.30","TCP","66","","0.000079000","Jan  8, 2024 10:29:12.992157000 JST","","54352  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2365389072 TSecr=1525501257"
"16","0.061913","192.168.11.30","192.168.11.21","TCP","66","0.001379000","0.001379000","Jan  8, 2024 10:29:12.993536000 JST","","6000  >  54352 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1525501266 TSecr=2365389072"
"17","0.067809","192.168.11.21","192.168.11.30","TCP","66","0.005896000","0.005896000","Jan  8, 2024 10:29:12.999432000 JST","","54352  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2365389080 TSecr=1525501266"
"18","6.175442","192.168.11.30","192.168.11.10","TCP","74","","6.107633000","Jan  8, 2024 10:29:19.107065000 JST","","36368  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3570422366 TSecr=0 WS=128"
"19","6.182047","192.168.11.10","192.168.11.30","TCP","74","0.006605000","0.006605000","Jan  8, 2024 10:29:19.113670000 JST","","6000  >  36368 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2277765606 TSecr=3570422366 WS=128"
"20","6.182157","192.168.11.30","192.168.11.10","TCP","66","0.000110000","0.000110000","Jan  8, 2024 10:29:19.113780000 JST","","36368  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3570422372 TSecr=2277765606"
"21","6.182363","192.168.11.30","192.168.11.10","TCP","93","","0.000206000","Jan  8, 2024 10:29:19.113986000 JST","","36368  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3570422373 TSecr=2277765606 [TCP segment of a reassembled PDU]"
"22","6.182502","192.168.11.30","192.168.11.10","TCP","66","","0.000139000","Jan  8, 2024 10:29:19.114125000 JST","","36368  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3570422373 TSecr=2277765606"
"23","6.189960","192.168.11.10","192.168.11.30","TCP","66","0.007597000","0.007458000","Jan  8, 2024 10:29:19.121583000 JST","","6000  >  36368 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2277765614 TSecr=3570422373"
"24","6.190351","192.168.11.10","192.168.11.30","TCP","66","0.007849000","0.000391000","Jan  8, 2024 10:29:19.121974000 JST","","6000  >  36368 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2277765615 TSecr=3570422373"
"25","6.190403","192.168.11.30","192.168.11.10","TCP","66","0.000052000","0.000052000","Jan  8, 2024 10:29:19.122026000 JST","","36368  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3570422381 TSecr=2277765615"
"26","6.223325","192.168.11.30","255.255.255.255","UDP","209","","0.032922000","Jan  8, 2024 10:29:19.154948000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022686868222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","35074  >  7000 Len=167"
"27","6.229205","192.168.11.21","192.168.11.30","TCP","74","","0.005880000","Jan  8, 2024 10:29:19.160828000 JST","","45204  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2365395241 TSecr=0 WS=128"
"28","6.229351","192.168.11.30","192.168.11.21","TCP","74","0.000146000","0.000146000","Jan  8, 2024 10:29:19.160974000 JST","","6000  >  45204 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1525507434 TSecr=2365395241 WS=128"
"29","6.237071","192.168.11.21","192.168.11.30","TCP","66","0.007720000","0.007720000","Jan  8, 2024 10:29:19.168694000 JST","","45204  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2365395248 TSecr=1525507434"
"30","6.237712","192.168.11.21","192.168.11.30","TCP","93","","0.000641000","Jan  8, 2024 10:29:19.169335000 JST","","45204  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2365395248 TSecr=1525507434 [TCP segment of a reassembled PDU]"
"31","6.237838","192.168.11.30","192.168.11.21","TCP","66","0.000126000","0.000126000","Jan  8, 2024 10:29:19.169461000 JST","","6000  >  45204 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1525507442 TSecr=2365395248"
"32","6.237925","192.168.11.21","192.168.11.30","TCP","66","","0.000087000","Jan  8, 2024 10:29:19.169548000 JST","","45204  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2365395248 TSecr=1525507434"
"33","6.239276","192.168.11.30","192.168.11.21","TCP","66","0.001351000","0.001351000","Jan  8, 2024 10:29:19.170899000 JST","","6000  >  45204 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1525507443 TSecr=2365395248"
"34","6.245366","192.168.11.21","192.168.11.30","TCP","66","0.006090000","0.006090000","Jan  8, 2024 10:29:19.176989000 JST","","45204  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2365395257 TSecr=1525507443"
"35","12.273190","192.168.11.30","192.168.11.10","TCP","74","","6.027824000","Jan  8, 2024 10:29:25.204813000 JST","","39484  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3570428463 TSecr=0 WS=128"
"36","12.279892","192.168.11.10","192.168.11.30","TCP","74","0.006702000","0.006702000","Jan  8, 2024 10:29:25.211515000 JST","","6000  >  39484 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2277771704 TSecr=3570428463 WS=128"
"37","12.280000","192.168.11.30","192.168.11.10","TCP","66","0.000108000","0.000108000","Jan  8, 2024 10:29:25.211623000 JST","","39484  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3570428470 TSecr=2277771704"
"38","12.280173","192.168.11.30","192.168.11.10","TCP","93","","0.000173000","Jan  8, 2024 10:29:25.211796000 JST","","39484  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3570428470 TSecr=2277771704 [TCP segment of a reassembled PDU]"
"39","12.280342","192.168.11.30","192.168.11.10","TCP","66","","0.000169000","Jan  8, 2024 10:29:25.211965000 JST","","39484  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3570428471 TSecr=2277771704"
"40","12.287746","192.168.11.10","192.168.11.30","TCP","66","0.007573000","0.007404000","Jan  8, 2024 10:29:25.219369000 JST","","6000  >  39484 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2277771711 TSecr=3570428470"
"41","12.288117","192.168.11.10","192.168.11.30","TCP","66","0.007775000","0.000371000","Jan  8, 2024 10:29:25.219740000 JST","","6000  >  39484 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2277771713 TSecr=3570428471"
"42","12.288170","192.168.11.30","192.168.11.10","TCP","66","0.000053000","0.000053000","Jan  8, 2024 10:29:25.219793000 JST","","39484  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3570428478 TSecr=2277771713"
"43","12.318421","192.168.11.30","255.255.255.255","UDP","209","","0.030251000","Jan  8, 2024 10:29:25.250044000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022686868222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","38181  >  7000 Len=167"
"44","12.324243","192.168.11.21","192.168.11.30","TCP","74","","0.005822000","Jan  8, 2024 10:29:25.255866000 JST","","45216  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2365401336 TSecr=0 WS=128"
