"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.26","192.168.11.7","TCP","74","","0.000000000","Jan  8, 2024 10:29:13.153199000 JST","","38390  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=129889507 TSecr=0 WS=128"
"2","0.009465","192.168.11.7","192.168.11.26","TCP","74","0.009465000","0.009465000","Jan  8, 2024 10:29:13.162664000 JST","","6000  >  38390 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=976328527 TSecr=129889507 WS=128"
"3","0.009604","192.168.11.26","192.168.11.7","TCP","66","0.000139000","0.000139000","Jan  8, 2024 10:29:13.162803000 JST","","38390  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=129889517 TSecr=976328527"
"4","0.009796","192.168.11.26","192.168.11.7","TCP","93","","0.000192000","Jan  8, 2024 10:29:13.162995000 JST","","38390  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=129889517 TSecr=976328527 [TCP segment of a reassembled PDU]"
"5","0.009940","192.168.11.26","192.168.11.7","TCP","66","","0.000144000","Jan  8, 2024 10:29:13.163139000 JST","","38390  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=129889517 TSecr=976328527"
"6","0.017757","192.168.11.7","192.168.11.26","TCP","66","0.007961000","0.007817000","Jan  8, 2024 10:29:13.170956000 JST","","6000  >  38390 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=976328536 TSecr=129889517"
"7","0.017995","192.168.11.7","192.168.11.26","TCP","66","0.008055000","0.000238000","Jan  8, 2024 10:29:13.171194000 JST","","6000  >  38390 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=976328538 TSecr=129889517"
"8","0.018055","192.168.11.26","192.168.11.7","TCP","66","0.000060000","0.000060000","Jan  8, 2024 10:29:13.171254000 JST","","38390  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=129889525 TSecr=976328538"
"9","0.050413","192.168.11.26","255.255.255.255","UDP","209","","0.032358000","Jan  8, 2024 10:29:13.203612000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226c6c6c222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","34496  >  7000 Len=167"
"10","0.063643","192.168.11.25","192.168.11.26","TCP","74","","0.013230000","Jan  8, 2024 10:29:13.216842000 JST","","50400  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=461316181 TSecr=0 WS=128"
"11","0.063830","192.168.11.26","192.168.11.25","TCP","74","0.000187000","0.000187000","Jan  8, 2024 10:29:13.217029000 JST","","6000  >  50400 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=656382659 TSecr=461316181 WS=128"
"12","0.070671","192.168.11.25","192.168.11.26","TCP","66","0.006841000","0.006841000","Jan  8, 2024 10:29:13.223870000 JST","","50400  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=461316190 TSecr=656382659"
"13","0.071354","192.168.11.25","192.168.11.26","TCP","93","","0.000683000","Jan  8, 2024 10:29:13.224553000 JST","","50400  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=461316190 TSecr=656382659 [TCP segment of a reassembled PDU]"
"14","0.071455","192.168.11.26","192.168.11.25","TCP","66","0.000101000","0.000101000","Jan  8, 2024 10:29:13.224654000 JST","","6000  >  50400 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=656382667 TSecr=461316190"
"15","0.071533","192.168.11.25","192.168.11.26","TCP","66","","0.000078000","Jan  8, 2024 10:29:13.224732000 JST","","50400  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=461316190 TSecr=656382659"
"16","0.073453","192.168.11.26","192.168.11.25","TCP","66","0.001920000","0.001920000","Jan  8, 2024 10:29:13.226652000 JST","","6000  >  50400 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=656382669 TSecr=461316190"
"17","0.078597","192.168.11.25","192.168.11.26","TCP","66","0.005144000","0.005144000","Jan  8, 2024 10:29:13.231796000 JST","","50400  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=461316198 TSecr=656382669"
"18","6.158854","192.168.11.26","192.168.11.7","TCP","74","","6.080257000","Jan  8, 2024 10:29:19.312053000 JST","","38392  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=129895666 TSecr=0 WS=128"
"19","6.167484","192.168.11.7","192.168.11.26","TCP","74","0.008630000","0.008630000","Jan  8, 2024 10:29:19.320683000 JST","","6000  >  38392 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=976334685 TSecr=129895666 WS=128"
"20","6.167599","192.168.11.26","192.168.11.7","TCP","66","0.000115000","0.000115000","Jan  8, 2024 10:29:19.320798000 JST","","38392  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=129895675 TSecr=976334685"
