"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.25","192.168.11.26","TCP","74","","0.000000000","Jan  8, 2024 10:29:13.211949000 JST","","50400  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=461316181 TSecr=0 WS=128"
"2","0.008805","192.168.11.26","192.168.11.25","TCP","74","0.008805000","0.008805000","Jan  8, 2024 10:29:13.220754000 JST","","6000  >  50400 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=656382659 TSecr=461316181 WS=128"
"3","0.008912","192.168.11.25","192.168.11.26","TCP","66","0.000107000","0.000107000","Jan  8, 2024 10:29:13.220861000 JST","","50400  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=461316190 TSecr=656382659"
"4","0.009213","192.168.11.25","192.168.11.26","TCP","93","","0.000301000","Jan  8, 2024 10:29:13.221162000 JST","","50400  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=461316190 TSecr=656382659 [TCP segment of a reassembled PDU]"
"5","0.009324","192.168.11.25","192.168.11.26","TCP","66","","0.000111000","Jan  8, 2024 10:29:13.221273000 JST","","50400  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=461316190 TSecr=656382659"
"6","0.016479","192.168.11.26","192.168.11.25","TCP","66","0.007266000","0.007155000","Jan  8, 2024 10:29:13.228428000 JST","","6000  >  50400 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=656382667 TSecr=461316190"
"7","0.016710","192.168.11.26","192.168.11.25","TCP","66","0.007386000","0.000231000","Jan  8, 2024 10:29:13.228659000 JST","","6000  >  50400 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=656382669 TSecr=461316190"
"8","0.016754","192.168.11.25","192.168.11.26","TCP","66","0.000044000","0.000044000","Jan  8, 2024 10:29:13.228703000 JST","","50400  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=461316198 TSecr=656382669"
"9","0.047299","192.168.11.25","255.255.255.255","UDP","209","","0.030545000","Jan  8, 2024 10:29:13.259248000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226d6d6d222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","43606  >  7000 Len=167"
"10","0.055035","192.168.11.4","192.168.11.25","TCP","74","","0.007736000","Jan  8, 2024 10:29:13.266984000 JST","","49232  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2884785053 TSecr=0 WS=128"
