"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.4","192.168.11.25","TCP","74","","0.000000000","Jan  8, 2024 10:29:13.260125000 JST","","49232  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2884785053 TSecr=0 WS=128"
"2","0.006582","192.168.11.25","192.168.11.4","TCP","74","0.006582000","0.006582000","Jan  8, 2024 10:29:13.266707000 JST","","6000  >  49232 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2767822287 TSecr=2884785053 WS=128"
"3","0.006699","192.168.11.4","192.168.11.25","TCP","66","0.000117000","0.000117000","Jan  8, 2024 10:29:13.266824000 JST","","49232  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2884785060 TSecr=2767822287"
"4","0.006992","192.168.11.4","192.168.11.25","TCP","93","","0.000293000","Jan  8, 2024 10:29:13.267117000 JST","","49232  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2884785060 TSecr=2767822287 [TCP segment of a reassembled PDU]"
"5","0.007132","192.168.11.4","192.168.11.25","TCP","66","","0.000140000","Jan  8, 2024 10:29:13.267257000 JST","","49232  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2884785060 TSecr=2767822287"
"6","0.013817","192.168.11.25","192.168.11.4","TCP","66","0.006825000","0.006685000","Jan  8, 2024 10:29:13.273942000 JST","","6000  >  49232 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2767822295 TSecr=2884785060"
"7","0.014054","192.168.11.25","192.168.11.4","TCP","66","0.006922000","0.000237000","Jan  8, 2024 10:29:13.274179000 JST","","6000  >  49232 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2767822296 TSecr=2884785060"
"8","0.014100","192.168.11.4","192.168.11.25","TCP","66","0.000046000","0.000046000","Jan  8, 2024 10:29:13.274225000 JST","","49232  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2884785067 TSecr=2767822296"
"9","0.045419","192.168.11.4","255.255.255.255","UDP","209","","0.031319000","Jan  8, 2024 10:29:13.305544000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","52106  >  7000 Len=167"
"10","0.061679","192.168.11.5","192.168.11.4","TCP","74","","0.016260000","Jan  8, 2024 10:29:13.321804000 JST","","33730  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2029979840 TSecr=0 WS=128"
"11","0.061852","192.168.11.4","192.168.11.5","TCP","74","0.000173000","0.000173000","Jan  8, 2024 10:29:13.321977000 JST","","6000  >  33730 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4073705197 TSecr=2029979840 WS=128"
"12","0.069942","192.168.11.5","192.168.11.4","TCP","66","0.008090000","0.008090000","Jan  8, 2024 10:29:13.330067000 JST","","33730  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2029979855 TSecr=4073705197"
"13","0.070535","192.168.11.5","192.168.11.4","TCP","93","","0.000593000","Jan  8, 2024 10:29:13.330660000 JST","","33730  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2029979855 TSecr=4073705197 [TCP segment of a reassembled PDU]"
"14","0.070640","192.168.11.4","192.168.11.5","TCP","66","0.000105000","0.000105000","Jan  8, 2024 10:29:13.330765000 JST","","6000  >  33730 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4073705206 TSecr=2029979855"
"15","0.070716","192.168.11.5","192.168.11.4","TCP","66","","0.000076000","Jan  8, 2024 10:29:13.330841000 JST","","33730  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2029979856 TSecr=4073705197"
"16","0.072160","192.168.11.4","192.168.11.5","TCP","66","0.001444000","0.001444000","Jan  8, 2024 10:29:13.332285000 JST","","6000  >  33730 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4073705207 TSecr=2029979856"
"17","0.079714","192.168.11.5","192.168.11.4","TCP","66","0.007554000","0.007554000","Jan  8, 2024 10:29:13.339839000 JST","","33730  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2029979863 TSecr=4073705207"
"18","6.156045","192.168.11.4","192.168.11.25","TCP","74","","6.076331000","Jan  8, 2024 10:29:19.416170000 JST","","49242  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2884791209 TSecr=0 WS=128"
"19","6.162702","192.168.11.25","192.168.11.4","TCP","74","0.006657000","0.006657000","Jan  8, 2024 10:29:19.422827000 JST","","6000  >  49242 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2767828443 TSecr=2884791209 WS=128"
"20","6.162817","192.168.11.4","192.168.11.25","TCP","66","0.000115000","0.000115000","Jan  8, 2024 10:29:19.422942000 JST","","49242  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2884791216 TSecr=2767828443"
"21","6.163003","192.168.11.4","192.168.11.25","TCP","93","","0.000186000","Jan  8, 2024 10:29:19.423128000 JST","","49242  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2884791216 TSecr=2767828443 [TCP segment of a reassembled PDU]"
"22","6.163130","192.168.11.4","192.168.11.25","TCP","66","","0.000127000","Jan  8, 2024 10:29:19.423255000 JST","","49242  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2884791216 TSecr=2767828443"
"23","6.170287","192.168.11.25","192.168.11.4","TCP","66","0.007284000","0.007157000","Jan  8, 2024 10:29:19.430412000 JST","","6000  >  49242 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2767828451 TSecr=2884791216"
"24","6.170525","192.168.11.25","192.168.11.4","TCP","66","0.007395000","0.000238000","Jan  8, 2024 10:29:19.430650000 JST","","6000  >  49242 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2767828453 TSecr=2884791216"
"25","6.170579","192.168.11.4","192.168.11.25","TCP","66","0.000054000","0.000054000","Jan  8, 2024 10:29:19.430704000 JST","","49242  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2884791224 TSecr=2767828453"
"26","6.204288","192.168.11.4","255.255.255.255","UDP","209","","0.033709000","Jan  8, 2024 10:29:19.464413000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","48328  >  7000 Len=167"
"27","6.211843","192.168.11.5","192.168.11.4","TCP","74","","0.007555000","Jan  8, 2024 10:29:19.471968000 JST","","33736  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2029985997 TSecr=0 WS=128"
"28","6.211980","192.168.11.4","192.168.11.5","TCP","74","0.000137000","0.000137000","Jan  8, 2024 10:29:19.472105000 JST","","6000  >  33736 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4073711347 TSecr=2029985997 WS=128"
"29","6.218640","192.168.11.5","192.168.11.4","TCP","66","0.006660000","0.006660000","Jan  8, 2024 10:29:19.478765000 JST","","33736  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2029986004 TSecr=4073711347"
"30","6.219308","192.168.11.5","192.168.11.4","TCP","93","","0.000668000","Jan  8, 2024 10:29:19.479433000 JST","","33736  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2029986004 TSecr=4073711347 [TCP segment of a reassembled PDU]"
"31","6.219431","192.168.11.4","192.168.11.5","TCP","66","0.000123000","0.000123000","Jan  8, 2024 10:29:19.479556000 JST","","6000  >  33736 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4073711354 TSecr=2029986004"
"32","6.219519","192.168.11.5","192.168.11.4","TCP","66","","0.000088000","Jan  8, 2024 10:29:19.479644000 JST","","33736  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2029986004 TSecr=4073711347"
"33","6.221104","192.168.11.4","192.168.11.5","TCP","66","0.001585000","0.001585000","Jan  8, 2024 10:29:19.481229000 JST","","6000  >  33736 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4073711356 TSecr=2029986004"
"34","6.226057","192.168.11.5","192.168.11.4","TCP","66","0.004953000","0.004953000","Jan  8, 2024 10:29:19.486182000 JST","","33736  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2029986012 TSecr=4073711356"
"35","12.254652","192.168.11.4","192.168.11.25","TCP","74","","6.028595000","Jan  8, 2024 10:29:25.514777000 JST","","57280  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2884797308 TSecr=0 WS=128"
"36","12.261249","192.168.11.25","192.168.11.4","TCP","74","0.006597000","0.006597000","Jan  8, 2024 10:29:25.521374000 JST","","6000  >  57280 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2767834542 TSecr=2884797308 WS=128"
"37","12.261356","192.168.11.4","192.168.11.25","TCP","66","0.000107000","0.000107000","Jan  8, 2024 10:29:25.521481000 JST","","57280  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2884797314 TSecr=2767834542"
"38","12.261523","192.168.11.4","192.168.11.25","TCP","93","","0.000167000","Jan  8, 2024 10:29:25.521648000 JST","","57280  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2884797315 TSecr=2767834542 [TCP segment of a reassembled PDU]"
"39","12.261627","192.168.11.4","192.168.11.25","TCP","66","","0.000104000","Jan  8, 2024 10:29:25.521752000 JST","","57280  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2884797315 TSecr=2767834542"
"40","12.279330","192.168.11.25","192.168.11.4","TCP","66","0.017807000","0.017703000","Jan  8, 2024 10:29:25.539455000 JST","","6000  >  57280 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2767834560 TSecr=2884797315"
"41","12.279691","192.168.11.25","192.168.11.4","TCP","66","0.018064000","0.000361000","Jan  8, 2024 10:29:25.539816000 JST","","6000  >  57280 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2767834561 TSecr=2884797315"
"42","12.279750","192.168.11.4","192.168.11.25","TCP","66","0.000059000","0.000059000","Jan  8, 2024 10:29:25.539875000 JST","","57280  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2884797333 TSecr=2767834561"
"43","12.307861","192.168.11.4","255.255.255.255","UDP","209","","0.028111000","Jan  8, 2024 10:29:25.567986000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","43629  >  7000 Len=167"
"44","12.315380","192.168.11.5","192.168.11.4","TCP","74","","0.007519000","Jan  8, 2024 10:29:25.575505000 JST","","60610  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2029992101 TSecr=0 WS=128"
