"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.5","192.168.11.4","TCP","74","","0.000000000","Jan  8, 2024 10:29:13.316137000 JST","","33730  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2029979840 TSecr=0 WS=128"
"2","0.010233","192.168.11.4","192.168.11.5","TCP","74","0.010233000","0.010233000","Jan  8, 2024 10:29:13.326370000 JST","","6000  >  33730 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4073705197 TSecr=2029979840 WS=128"
"3","0.010351","192.168.11.5","192.168.11.4","TCP","66","0.000118000","0.000118000","Jan  8, 2024 10:29:13.326488000 JST","","33730  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2029979855 TSecr=4073705197"
"4","0.010559","192.168.11.5","192.168.11.4","TCP","93","","0.000208000","Jan  8, 2024 10:29:13.326696000 JST","","33730  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2029979855 TSecr=4073705197 [TCP segment of a reassembled PDU]"
"5","0.010725","192.168.11.5","192.168.11.4","TCP","66","","0.000166000","Jan  8, 2024 10:29:13.326862000 JST","","33730  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2029979856 TSecr=4073705197"
"6","0.018341","192.168.11.4","192.168.11.5","TCP","66","0.007782000","0.007616000","Jan  8, 2024 10:29:13.334478000 JST","","6000  >  33730 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4073705206 TSecr=2029979855"
"7","0.018568","192.168.11.4","192.168.11.5","TCP","66","0.007843000","0.000227000","Jan  8, 2024 10:29:13.334705000 JST","","6000  >  33730 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4073705207 TSecr=2029979856"
"8","0.018622","192.168.11.5","192.168.11.4","TCP","66","0.000054000","0.000054000","Jan  8, 2024 10:29:13.334759000 JST","","33730  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2029979863 TSecr=4073705207"
"9","0.050435","192.168.11.5","255.255.255.255","UDP","209","","0.031813000","Jan  8, 2024 10:29:13.366572000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226f6f6f222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","57289  >  7000 Len=167"
"10","0.062942","192.168.11.11","192.168.11.5","TCP","74","","0.012507000","Jan  8, 2024 10:29:13.379079000 JST","","42584  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1917514397 TSecr=0 WS=128"
"11","0.063083","192.168.11.5","192.168.11.11","TCP","74","0.000141000","0.000141000","Jan  8, 2024 10:29:13.379220000 JST","","6000  >  42584 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2805655308 TSecr=1917514397 WS=128"
"12","0.071287","192.168.11.11","192.168.11.5","TCP","66","0.008204000","0.008204000","Jan  8, 2024 10:29:13.387424000 JST","","42584  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1917514410 TSecr=2805655308"
