"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.16","192.168.11.11","TCP","74","","0.000000000","Jan  8, 2024 10:29:13.443883000 JST","","47292  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1432902655 TSecr=0 WS=128"
"2","0.006764","192.168.11.11","192.168.11.16","TCP","74","0.006764000","0.006764000","Jan  8, 2024 10:29:13.450647000 JST","","6000  >  47292 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4225267629 TSecr=1432902655 WS=128"
"3","0.006914","192.168.11.16","192.168.11.11","TCP","66","0.000150000","0.000150000","Jan  8, 2024 10:29:13.450797000 JST","","47292  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1432902665 TSecr=4225267629"
"4","0.007183","192.168.11.16","192.168.11.11","TCP","93","","0.000269000","Jan  8, 2024 10:29:13.451066000 JST","","47292  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1432902666 TSecr=4225267629 [TCP segment of a reassembled PDU]"
"5","0.007341","192.168.11.16","192.168.11.11","TCP","66","","0.000158000","Jan  8, 2024 10:29:13.451224000 JST","","47292  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1432902666 TSecr=4225267629"
"6","0.014419","192.168.11.11","192.168.11.16","TCP","66","0.007236000","0.007078000","Jan  8, 2024 10:29:13.458302000 JST","","6000  >  47292 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4225267637 TSecr=1432902666"
"7","0.014813","192.168.11.11","192.168.11.16","TCP","66","0.007472000","0.000394000","Jan  8, 2024 10:29:13.458696000 JST","","6000  >  47292 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4225267638 TSecr=1432902666"
"8","0.014860","192.168.11.16","192.168.11.11","TCP","66","0.000047000","0.000047000","Jan  8, 2024 10:29:13.458743000 JST","","47292  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1432902673 TSecr=4225267638"
"9","0.043398","192.168.11.16","255.255.255.255","UDP","209","","0.028538000","Jan  8, 2024 10:29:13.487281000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022717171222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","44094  >  7000 Len=167"
"10","0.054686","192.168.11.17","192.168.11.16","TCP","74","","0.011288000","Jan  8, 2024 10:29:13.498569000 JST","","37612  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=194158077 TSecr=0 WS=128"
"11","0.054853","192.168.11.16","192.168.11.17","TCP","74","0.000167000","0.000167000","Jan  8, 2024 10:29:13.498736000 JST","","6000  >  37612 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1090135806 TSecr=194158077 WS=128"
"12","0.061592","192.168.11.17","192.168.11.16","TCP","66","0.006739000","0.006739000","Jan  8, 2024 10:29:13.505475000 JST","","37612  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=194158087 TSecr=1090135806"
"13","0.062322","192.168.11.17","192.168.11.16","TCP","93","","0.000730000","Jan  8, 2024 10:29:13.506205000 JST","","37612  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=194158087 TSecr=1090135806 [TCP segment of a reassembled PDU]"
"14","0.062442","192.168.11.16","192.168.11.17","TCP","66","0.000120000","0.000120000","Jan  8, 2024 10:29:13.506325000 JST","","6000  >  37612 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1090135814 TSecr=194158087"
"15","0.062517","192.168.11.17","192.168.11.16","TCP","66","","0.000075000","Jan  8, 2024 10:29:13.506400000 JST","","37612  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=194158087 TSecr=1090135806"
