"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.17","192.168.11.16","TCP","74","","0.000000000","Jan  8, 2024 10:29:13.479853000 JST","","37612  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=194158077 TSecr=0 WS=128"
"2","0.006739","192.168.11.16","192.168.11.17","TCP","74","0.006739000","0.006739000","Jan  8, 2024 10:29:13.486592000 JST","","6000  >  37612 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1090135806 TSecr=194158077 WS=128"
"3","0.006837","192.168.11.17","192.168.11.16","TCP","66","0.000098000","0.000098000","Jan  8, 2024 10:29:13.486690000 JST","","37612  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=194158087 TSecr=1090135806"
"4","0.007053","192.168.11.17","192.168.11.16","TCP","93","","0.000216000","Jan  8, 2024 10:29:13.486906000 JST","","37612  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=194158087 TSecr=1090135806 [TCP segment of a reassembled PDU]"
"5","0.007178","192.168.11.17","192.168.11.16","TCP","66","","0.000125000","Jan  8, 2024 10:29:13.487031000 JST","","37612  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=194158087 TSecr=1090135806"
"6","0.014404","192.168.11.16","192.168.11.17","TCP","66","0.007351000","0.007226000","Jan  8, 2024 10:29:13.494257000 JST","","6000  >  37612 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1090135814 TSecr=194158087"
"7","0.016987","192.168.11.16","192.168.11.17","TCP","66","0.009809000","0.002583000","Jan  8, 2024 10:29:13.496840000 JST","","6000  >  37612 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1090135816 TSecr=194158087"
"8","0.017036","192.168.11.17","192.168.11.16","TCP","66","0.000049000","0.000049000","Jan  8, 2024 10:29:13.496889000 JST","","37612  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=194158097 TSecr=1090135816"
"9","0.049457","192.168.11.17","255.255.255.255","UDP","209","","0.032421000","Jan  8, 2024 10:29:13.529310000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022727272222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","54743  >  7000 Len=167"
"10","0.060466","192.168.11.19","192.168.11.17","TCP","74","","0.011009000","Jan  8, 2024 10:29:13.540319000 JST","","47492  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2816141285 TSecr=0 WS=128"
