"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.19","192.168.11.17","TCP","74","","0.000000000","Jan  8, 2024 10:29:13.539707000 JST","","47492  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2816141285 TSecr=0 WS=128"
"2","0.008640","192.168.11.17","192.168.11.19","TCP","74","0.008640000","0.008640000","Jan  8, 2024 10:29:13.548347000 JST","","6000  >  47492 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2350600261 TSecr=2816141285 WS=128"
"3","0.008775","192.168.11.19","192.168.11.17","TCP","66","0.000135000","0.000135000","Jan  8, 2024 10:29:13.548482000 JST","","47492  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2816141297 TSecr=2350600261"
"4","0.008950","192.168.11.19","192.168.11.17","TCP","93","","0.000175000","Jan  8, 2024 10:29:13.548657000 JST","","47492  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2816141298 TSecr=2350600261 [TCP segment of a reassembled PDU]"
"5","0.009107","192.168.11.19","192.168.11.17","TCP","66","","0.000157000","Jan  8, 2024 10:29:13.548814000 JST","","47492  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2816141298 TSecr=2350600261"
"6","0.016369","192.168.11.17","192.168.11.19","TCP","66","0.007419000","0.007262000","Jan  8, 2024 10:29:13.556076000 JST","","6000  >  47492 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2350600271 TSecr=2816141298"
"7","0.016609","192.168.11.17","192.168.11.19","TCP","66","0.007502000","0.000240000","Jan  8, 2024 10:29:13.556316000 JST","","6000  >  47492 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2350600273 TSecr=2816141298"
"8","0.016664","192.168.11.19","192.168.11.17","TCP","66","0.000055000","0.000055000","Jan  8, 2024 10:29:13.556371000 JST","","47492  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2816141305 TSecr=2350600273"
"9","0.049261","192.168.11.19","255.255.255.255","UDP","209","","0.032597000","Jan  8, 2024 10:29:13.588968000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022737373222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","49944  >  7000 Len=167"
"10","0.060571","192.168.11.20","192.168.11.19","TCP","74","","0.011310000","Jan  8, 2024 10:29:13.600278000 JST","","34428  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3824849509 TSecr=0 WS=128"
