"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.12","192.168.11.20","TCP","74","","0.000000000","Jan  8, 2024 10:29:13.655634000 JST","","33788  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=915386832 TSecr=0 WS=128"
"2","0.009108","192.168.11.20","192.168.11.12","TCP","74","0.009108000","0.009108000","Jan  8, 2024 10:29:13.664742000 JST","","6000  >  33788 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=920879508 TSecr=915386832 WS=128"
"3","0.009245","192.168.11.12","192.168.11.20","TCP","66","0.000137000","0.000137000","Jan  8, 2024 10:29:13.664879000 JST","","33788  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=915386845 TSecr=920879508"
"4","0.009502","192.168.11.12","192.168.11.20","TCP","93","","0.000257000","Jan  8, 2024 10:29:13.665136000 JST","","33788  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=915386845 TSecr=920879508 [TCP segment of a reassembled PDU]"
"5","0.009675","192.168.11.12","192.168.11.20","TCP","66","","0.000173000","Jan  8, 2024 10:29:13.665309000 JST","","33788  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=915386846 TSecr=920879508"
"6","0.025107","192.168.11.20","192.168.11.12","TCP","66","0.015605000","0.015432000","Jan  8, 2024 10:29:13.680741000 JST","","6000  >  33788 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=920879521 TSecr=915386845"
"7","0.025203","192.168.11.20","192.168.11.12","TCP","66","0.015528000","0.000096000","Jan  8, 2024 10:29:13.680837000 JST","","6000  >  33788 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=920879525 TSecr=915386846"
"8","0.025265","192.168.11.12","192.168.11.20","TCP","66","0.000062000","0.000062000","Jan  8, 2024 10:29:13.680899000 JST","","33788  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=915386861 TSecr=920879525"
"9","6.117779","192.168.11.12","192.168.11.20","TCP","74","","6.092514000","Jan  8, 2024 10:29:19.773413000 JST","","50238  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=915392954 TSecr=0 WS=128"
"10","6.124838","192.168.11.20","192.168.11.12","TCP","74","0.007059000","0.007059000","Jan  8, 2024 10:29:19.780472000 JST","","6000  >  50238 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=920885624 TSecr=915392954 WS=128"
"11","6.124951","192.168.11.12","192.168.11.20","TCP","66","0.000113000","0.000113000","Jan  8, 2024 10:29:19.780585000 JST","","50238  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=915392961 TSecr=920885624"
"12","6.125129","192.168.11.12","192.168.11.20","TCP","93","","0.000178000","Jan  8, 2024 10:29:19.780763000 JST","","50238  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=915392961 TSecr=920885624 [TCP segment of a reassembled PDU]"
"13","6.125264","192.168.11.12","192.168.11.20","TCP","66","","0.000135000","Jan  8, 2024 10:29:19.780898000 JST","","50238  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=915392961 TSecr=920885624"
"14","6.145060","192.168.11.20","192.168.11.12","TCP","66","0.019931000","0.019796000","Jan  8, 2024 10:29:19.800694000 JST","","6000  >  50238 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=920885644 TSecr=915392961"
"15","6.145442","192.168.11.20","192.168.11.12","TCP","66","0.020178000","0.000382000","Jan  8, 2024 10:29:19.801076000 JST","","6000  >  50238 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=920885645 TSecr=915392961"
"16","6.145498","192.168.11.12","192.168.11.20","TCP","66","0.000056000","0.000056000","Jan  8, 2024 10:29:19.801132000 JST","","50238  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=915392981 TSecr=920885645"
"17","12.244075","192.168.11.12","192.168.11.20","TCP","74","","6.098577000","Jan  8, 2024 10:29:25.899709000 JST","","50244  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=915399080 TSecr=0 WS=128"
"18","12.254850","192.168.11.20","192.168.11.12","TCP","74","0.010775000","0.010775000","Jan  8, 2024 10:29:25.910484000 JST","","6000  >  50244 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=920891752 TSecr=915399080 WS=128"
"19","12.254957","192.168.11.12","192.168.11.20","TCP","66","0.000107000","0.000107000","Jan  8, 2024 10:29:25.910591000 JST","","50244  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=915399091 TSecr=920891752"
"20","12.255184","192.168.11.12","192.168.11.20","TCP","93","","0.000227000","Jan  8, 2024 10:29:25.910818000 JST","","50244  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=915399091 TSecr=920891752 [TCP segment of a reassembled PDU]"
