No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,XXX,Time delta from previous captured frame,Arrival Time,Data,Info
9,0.046285,192.168.11.17,255.255.255.255,UDP,209,,Ÿ,0.030853,"Jan  5, 2024 21:25:08.724196000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022343434222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,42544  >  7000 Len=167
10,0.057806,192.168.11.14,192.168.11.17,TCP,74,,œ,0.011521,"Jan  5, 2024 21:25:08.735717000 JST",,57348  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2612148038 TSecr=0 WS=128
11,0.05797,192.168.11.17,192.168.11.14,TCP,74,0.000164,,0.000164,"Jan  5, 2024 21:25:08.735881000 JST",,"6000  >  57348 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=281286147 TSecr=2612148038 WS=128"
12,0.064782,192.168.11.14,192.168.11.17,TCP,66,0.006812,,0.006812,"Jan  5, 2024 21:25:08.742693000 JST",,57348  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2612148048 TSecr=281286147
13,0.065477,192.168.11.14,192.168.11.17,TCP,93,,,0.000695,"Jan  5, 2024 21:25:08.743388000 JST",,"57348  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2612148048 TSecr=281286147 [TCP segment of a reassembled PDU]"
14,0.065578,192.168.11.17,192.168.11.14,TCP,66,0.000101,,0.000101,"Jan  5, 2024 21:25:08.743489000 JST",,6000  >  57348 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=281286154 TSecr=2612148048
15,0.06568,192.168.11.14,192.168.11.17,TCP,66,,,0.000102,"Jan  5, 2024 21:25:08.743591000 JST",,"57348  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2612148048 TSecr=281286147"
16,0.068568,192.168.11.17,192.168.11.14,TCP,66,0.002888,,0.002888,"Jan  5, 2024 21:25:08.746479000 JST",,"6000  >  57348 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=281286157 TSecr=2612148048"
17,0.076002,192.168.11.14,192.168.11.17,TCP,66,0.007434,,0.007434,"Jan  5, 2024 21:25:08.753913000 JST",,57348  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2612148059 TSecr=281286157
18,7.709458,192.168.11.17,192.168.11.4,TCP,74,,,7.633456,"Jan  5, 2024 21:25:16.387369000 JST",,51074  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1610863033 TSecr=0 WS=128
19,7.716306,192.168.11.4,192.168.11.17,TCP,74,0.006848,,0.006848,"Jan  5, 2024 21:25:16.394217000 JST",,"6000  >  51074 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2677265238 TSecr=1610863033 WS=128"
20,7.716404,192.168.11.17,192.168.11.4,TCP,66,0.000098,,0.000098,"Jan  5, 2024 21:25:16.394315000 JST",,51074  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1610863040 TSecr=2677265238
21,7.716676,192.168.11.17,192.168.11.4,TCP,93,,,0.000272,"Jan  5, 2024 21:25:16.394587000 JST",,"51074  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1610863041 TSecr=2677265238 [TCP segment of a reassembled PDU]"
22,7.716834,192.168.11.17,192.168.11.4,TCP,66,,,0.000158,"Jan  5, 2024 21:25:16.394745000 JST",,"51074  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1610863041 TSecr=2677265238"
