"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.15","192.168.11.31","TCP","74","","0.000000000","Jan  8, 2024 13:40:13.915774000 JST","","57634  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2835976075 TSecr=0 WS=128"
"2","0.007001","192.168.11.31","192.168.11.15","TCP","74","0.007001000","0.007001000","Jan  8, 2024 13:40:13.922775000 JST","","6000  >  57634 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=710141155 TSecr=2835976075 WS=128"
"3","0.007104","192.168.11.15","192.168.11.31","TCP","66","0.000103000","0.000103000","Jan  8, 2024 13:40:13.922878000 JST","","57634  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2835976084 TSecr=710141155"
"4","0.007294","192.168.11.15","192.168.11.31","TCP","93","","0.000190000","Jan  8, 2024 13:40:13.923068000 JST","","57634  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2835976085 TSecr=710141155 [TCP segment of a reassembled PDU]"
"5","0.007420","192.168.11.15","192.168.11.31","TCP","66","","0.000126000","Jan  8, 2024 13:40:13.923194000 JST","","57634  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2835976085 TSecr=710141155"
"6","0.014227","192.168.11.31","192.168.11.15","TCP","66","0.006933000","0.006807000","Jan  8, 2024 13:40:13.930001000 JST","","6000  >  57634 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=710141162 TSecr=2835976085"
"7","0.014593","192.168.11.31","192.168.11.15","TCP","66","0.007173000","0.000366000","Jan  8, 2024 13:40:13.930367000 JST","","6000  >  57634 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=710141163 TSecr=2835976085"
"8","0.014653","192.168.11.15","192.168.11.31","TCP","66","0.000060000","0.000060000","Jan  8, 2024 13:40:13.930427000 JST","","57634  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2835976092 TSecr=710141163"
"9","6.844469","192.168.11.15","192.168.11.31","TCP","74","","6.829816000","Jan  8, 2024 13:40:20.760243000 JST","","47822  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2835982922 TSecr=0 WS=128"
"10","6.852745","192.168.11.31","192.168.11.15","TCP","74","0.008276000","0.008276000","Jan  8, 2024 13:40:20.768519000 JST","","6000  >  47822 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=710148000 TSecr=2835982922 WS=128"
