"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.27","192.168.11.42","TCP","74","","0.000000000","Jan  8, 2024 13:40:12.255085000 JST","","54718  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=538433072 TSecr=0 WS=128"
"2","0.007365","192.168.11.42","192.168.11.27","TCP","74","0.007365000","0.007365000","Jan  8, 2024 13:40:12.262450000 JST","","6000  >  54718 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1753402754 TSecr=538433072 WS=128"
"3","0.007484","192.168.11.27","192.168.11.42","TCP","66","0.000119000","0.000119000","Jan  8, 2024 13:40:12.262569000 JST","","54718  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=538433080 TSecr=1753402754"
"4","0.007756","192.168.11.27","192.168.11.42","TCP","93","","0.000272000","Jan  8, 2024 13:40:12.262841000 JST","","54718  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=538433080 TSecr=1753402754 [TCP segment of a reassembled PDU]"
"5","0.007873","192.168.11.27","192.168.11.42","TCP","66","","0.000117000","Jan  8, 2024 13:40:12.262958000 JST","","54718  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=538433080 TSecr=1753402754"
"6","0.013979","192.168.11.42","192.168.11.27","TCP","66","0.006223000","0.006106000","Jan  8, 2024 13:40:12.269064000 JST","","6000  >  54718 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1753402761 TSecr=538433080"
"7","0.041687","192.168.11.27","255.255.255.255","UDP","209","","0.027708000","Jan  8, 2024 13:40:12.296772000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022626262222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","41520  >  7000 Len=167"
"8","0.047705","192.168.11.13","192.168.11.27","TCP","74","","0.006018000","Jan  8, 2024 13:40:12.302790000 JST","","35714  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=675294876 TSecr=0 WS=128"
"9","0.047860","192.168.11.27","192.168.11.13","TCP","74","0.000155000","0.000155000","Jan  8, 2024 13:40:12.302945000 JST","","6000  >  35714 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=510853602 TSecr=675294876 WS=128"
"10","0.054606","192.168.11.13","192.168.11.27","TCP","66","0.006746000","0.006746000","Jan  8, 2024 13:40:12.309691000 JST","","35714  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=675294883 TSecr=510853602"
