"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.13","192.168.11.27","TCP","74","","0.000000000","Jan  8, 2024 13:35:57.834649000 JST","","58156  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=675040420 TSecr=0 WS=128"
"2","0.006672","192.168.11.27","192.168.11.13","TCP","74","0.006672000","0.006672000","Jan  8, 2024 13:35:57.841321000 JST","","6000  >  58156 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=510599147 TSecr=675040420 WS=128"
"3","0.006812","192.168.11.13","192.168.11.27","TCP","66","0.000140000","0.000140000","Jan  8, 2024 13:35:57.841461000 JST","","58156  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=675040427 TSecr=510599147"
"4","0.007015","192.168.11.13","192.168.11.27","TCP","93","","0.000203000","Jan  8, 2024 13:35:57.841664000 JST","","58156  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=675040427 TSecr=510599147 [TCP segment of a reassembled PDU]"
"5","0.007129","192.168.11.13","192.168.11.27","TCP","66","","0.000114000","Jan  8, 2024 13:35:57.841778000 JST","","58156  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=675040427 TSecr=510599147"
"6","0.014883","192.168.11.27","192.168.11.13","TCP","66","0.007868000","0.007754000","Jan  8, 2024 13:35:57.849532000 JST","","6000  >  58156 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=510599155 TSecr=675040427"
"7","0.015119","192.168.11.27","192.168.11.13","TCP","66","0.007990000","0.000236000","Jan  8, 2024 13:35:57.849768000 JST","","6000  >  58156 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=510599157 TSecr=675040427"
"8","0.015174","192.168.11.13","192.168.11.27","TCP","66","0.000055000","0.000055000","Jan  8, 2024 13:35:57.849823000 JST","","58156  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=675040435 TSecr=510599157"
"9","0.046753","192.168.11.13","255.255.255.255","UDP","209","","0.031579000","Jan  8, 2024 13:35:57.881402000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022636363222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","35874  >  7000 Len=167"
"10","0.053713","192.168.11.8","192.168.11.13","TCP","74","","0.006960000","Jan  8, 2024 13:35:57.888362000 JST","","57732  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1459960029 TSecr=0 WS=128"
"11","0.053873","192.168.11.13","192.168.11.8","TCP","74","0.000160000","0.000160000","Jan  8, 2024 13:35:57.888522000 JST","","6000  >  57732 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=650633470 TSecr=1459960029 WS=128"
"12","0.060759","192.168.11.8","192.168.11.13","TCP","66","0.006886000","0.006886000","Jan  8, 2024 13:35:57.895408000 JST","","57732  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1459960037 TSecr=650633470"
"13","0.061371","192.168.11.8","192.168.11.13","TCP","93","","0.000612000","Jan  8, 2024 13:35:57.896020000 JST","","57732  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1459960037 TSecr=650633470 [TCP segment of a reassembled PDU]"
"14","0.061486","192.168.11.13","192.168.11.8","TCP","66","0.000115000","0.000115000","Jan  8, 2024 13:35:57.896135000 JST","","6000  >  57732 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=650633478 TSecr=1459960037"
"15","0.061579","192.168.11.8","192.168.11.13","TCP","66","","0.000093000","Jan  8, 2024 13:35:57.896228000 JST","","57732  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1459960037 TSecr=650633470"
"16","0.063059","192.168.11.13","192.168.11.8","TCP","66","0.001480000","0.001480000","Jan  8, 2024 13:35:57.897708000 JST","","6000  >  57732 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=650633479 TSecr=1459960037"
"17","0.071029","192.168.11.8","192.168.11.13","TCP","66","0.007970000","0.007970000","Jan  8, 2024 13:35:57.905678000 JST","","57732  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1459960047 TSecr=650633479"
