No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Arrival Time,Data,Info
9,0.047922,192.168.11.13,255.255.255.255,UDP,209,0.032931,Ÿ,"Jan  5, 2024 21:25:07.217866000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022636363222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,47419  >  7000 Len=167
10,0.056175,192.168.11.31,192.168.11.13,TCP,74,0.008253,œ,"Jan  5, 2024 21:25:07.226119000 JST",,42782  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1072367682 TSecr=0 WS=128
26,6.951862,192.168.11.13,255.255.255.255,UDP,209,0.03076,Ÿ,"Jan  5, 2024 21:25:14.121806000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022636363222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,56663  >  7000 Len=167
27,6.959294,192.168.11.31,192.168.11.13,TCP,74,0.007432,œ,"Jan  5, 2024 21:25:14.129238000 JST",,48090  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1072374585 TSecr=0 WS=128
43,14.671845,192.168.11.13,255.255.255.255,UDP,209,0.03053,Ÿ,"Jan  5, 2024 21:25:21.841789000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022636363222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,37742  >  7000 Len=167
44,14.680382,192.168.11.31,192.168.11.13,TCP,74,0.008537,œ,"Jan  5, 2024 21:25:21.850326000 JST",,48094  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1072382306 TSecr=0 WS=128
62,22.322211,192.168.11.13,255.255.255.255,UDP,209,0.029508,Ÿ,"Jan  5, 2024 21:25:29.492155000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022636363222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,55242  >  7000 Len=167
63,22.330217,192.168.11.31,192.168.11.13,TCP,74,0.008006,œ,"Jan  5, 2024 21:25:29.500161000 JST",,39760  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1072389955 TSecr=0 WS=128
79,28.95245,192.168.11.13,255.255.255.255,UDP,209,0.032161,Ÿ,"Jan  5, 2024 21:25:36.122394000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022636363222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,57641  >  7000 Len=167
80,28.963532,192.168.11.31,192.168.11.13,TCP,74,0.011082,œ,"Jan  5, 2024 21:25:36.133476000 JST",,41794  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1072396586 TSecr=0 WS=128
