No.,Time,Source,Destination,Protocol,Length,The RTT to ACK the segment was,Time delta from previous captured frame,Arrival Time,Data,Info
1,0,192.168.11.8,192.168.11.13,TCP,74,,0,"Jan  8, 2024 13:40:12.360212000 JST",,43848  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1460214489 TSecr=0 WS=128
2,0.007806,192.168.11.13,192.168.11.8,TCP,74,0.007806,0.007806,"Jan  8, 2024 13:40:12.368018000 JST",,"6000  >  43848 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=650887930 TSecr=1460214489 WS=128"
3,0.007919,192.168.11.8,192.168.11.13,TCP,66,0.000113,0.000113,"Jan  8, 2024 13:40:12.368131000 JST",,43848  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1460214497 TSecr=650887930
4,0.008109,192.168.11.8,192.168.11.13,TCP,93,,0.00019,"Jan  8, 2024 13:40:12.368321000 JST",,"43848  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1460214497 TSecr=650887930 [TCP segment of a reassembled PDU]"
5,0.008227,192.168.11.8,192.168.11.13,TCP,66,,0.000118,"Jan  8, 2024 13:40:12.368439000 JST",,"43848  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1460214497 TSecr=650887930"
6,0.025054,192.168.11.13,192.168.11.8,TCP,66,0.016945,0.016827,"Jan  8, 2024 13:40:12.385266000 JST",,6000  >  43848 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=650887947 TSecr=1460214497
7,0.025443,192.168.11.13,192.168.11.8,TCP,66,0.017216,0.000389,"Jan  8, 2024 13:40:12.385655000 JST",,"6000  >  43848 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=650887948 TSecr=1460214497"
8,0.025498,192.168.11.8,192.168.11.13,TCP,66,0.000055,0.000055,"Jan  8, 2024 13:40:12.385710000 JST",,43848  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1460214515 TSecr=650887948
9,0.055061,192.168.11.8,255.255.255.255,UDP,209,,0.029563,"Jan  8, 2024 13:40:12.415273000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022646464222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,38273  >  7000 Len=167
10,0.060889,192.168.11.23,192.168.11.8,TCP,74,,0.005828,"Jan  8, 2024 13:40:12.421101000 JST",,59592  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2533415050 TSecr=0 WS=128
11,0.061036,192.168.11.8,192.168.11.23,TCP,74,0.000147,0.000147,"Jan  8, 2024 13:40:12.421248000 JST",,"6000  >  59592 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3529671154 TSecr=2533415050 WS=128"
12,0.067632,192.168.11.23,192.168.11.8,TCP,66,0.006596,0.006596,"Jan  8, 2024 13:40:12.427844000 JST",,59592  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2533415057 TSecr=3529671154
13,0.068141,192.168.11.23,192.168.11.8,TCP,93,,0.000509,"Jan  8, 2024 13:40:12.428353000 JST",,"59592  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2533415057 TSecr=3529671154 [TCP segment of a reassembled PDU]"
14,0.06822,192.168.11.8,192.168.11.23,TCP,66,0.000079,0.000079,"Jan  8, 2024 13:40:12.428432000 JST",,6000  >  59592 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3529671161 TSecr=2533415057
15,0.068284,192.168.11.23,192.168.11.8,TCP,66,,0.000064,"Jan  8, 2024 13:40:12.428496000 JST",,"59592  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2533415057 TSecr=3529671154"
16,0.069562,192.168.11.8,192.168.11.23,TCP,66,0.001278,0.001278,"Jan  8, 2024 13:40:12.429774000 JST",,"6000  >  59592 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3529671163 TSecr=2533415057"
17,0.075084,192.168.11.23,192.168.11.8,TCP,66,0.005522,0.005522,"Jan  8, 2024 13:40:12.435296000 JST",,59592  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2533415064 TSecr=3529671163
18,6.862492,192.168.11.8,192.168.11.13,TCP,74,,6.787408,"Jan  8, 2024 13:40:19.222704000 JST",,43850  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1460221352 TSecr=0 WS=128
19,6.869935,192.168.11.13,192.168.11.8,TCP,74,0.007443,0.007443,"Jan  8, 2024 13:40:19.230147000 JST",,"6000  >  43850 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=650894791 TSecr=1460221352 WS=128"
20,6.870055,192.168.11.8,192.168.11.13,TCP,66,0.00012,0.00012,"Jan  8, 2024 13:40:19.230267000 JST",,43850  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1460221359 TSecr=650894791
21,6.870235,192.168.11.8,192.168.11.13,TCP,93,,0.00018,"Jan  8, 2024 13:40:19.230447000 JST",,"43850  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1460221359 TSecr=650894791 [TCP segment of a reassembled PDU]"
22,6.870413,192.168.11.8,192.168.11.13,TCP,66,,0.000178,"Jan  8, 2024 13:40:19.230625000 JST",,"43850  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1460221360 TSecr=650894791"
23,6.877725,192.168.11.13,192.168.11.8,TCP,66,0.00749,0.007312,"Jan  8, 2024 13:40:19.237937000 JST",,6000  >  43850 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=650894800 TSecr=1460221359
24,6.878123,192.168.11.13,192.168.11.8,TCP,66,0.00771,0.000398,"Jan  8, 2024 13:40:19.238335000 JST",,"6000  >  43850 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=650894801 TSecr=1460221360"
25,6.87819,192.168.11.8,192.168.11.13,TCP,66,0.000067,0.000067,"Jan  8, 2024 13:40:19.238402000 JST",,43850  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1460221367 TSecr=650894801
26,6.908211,192.168.11.8,255.255.255.255,UDP,209,,0.030021,"Jan  8, 2024 13:40:19.268423000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022646464222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,38787  >  7000 Len=167
27,6.914006,192.168.11.23,192.168.11.8,TCP,74,,0.005795,"Jan  8, 2024 13:40:19.274218000 JST",,59604  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2533421903 TSecr=0 WS=128
28,6.914166,192.168.11.8,192.168.11.23,TCP,74,0.00016,0.00016,"Jan  8, 2024 13:40:19.274378000 JST",,"6000  >  59604 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3529678007 TSecr=2533421903 WS=128"
29,6.922568,192.168.11.23,192.168.11.8,TCP,66,0.008402,0.008402,"Jan  8, 2024 13:40:19.282780000 JST",,59604  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2533421912 TSecr=3529678007
30,6.923254,192.168.11.23,192.168.11.8,TCP,93,,0.000686,"Jan  8, 2024 13:40:19.283466000 JST",,"59604  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2533421912 TSecr=3529678007 [TCP segment of a reassembled PDU]"
31,6.923392,192.168.11.8,192.168.11.23,TCP,66,0.000138,0.000138,"Jan  8, 2024 13:40:19.283604000 JST",,6000  >  59604 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3529678017 TSecr=2533421912
