"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.42","255.255.255.255","UDP","212","","0.000000000","Jan  8, 2024 13:40:12.239935000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944303031222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022616161222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","39267  >  7000 Len=170"
"2","0.007207","192.168.11.27","192.168.11.42","TCP","74","","0.007207000","Jan  8, 2024 13:40:12.247142000 JST","","54718  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=538433072 TSecr=0 WS=128"
"3","0.007314","192.168.11.42","192.168.11.27","TCP","74","0.000107000","0.000107000","Jan  8, 2024 13:40:12.247249000 JST","","6000  >  54718 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1753402754 TSecr=538433072 WS=128"
"4","0.013626","192.168.11.27","192.168.11.42","TCP","66","0.006312000","0.006312000","Jan  8, 2024 13:40:12.253561000 JST","","54718  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=538433080 TSecr=1753402754"
"5","0.013946","192.168.11.27","192.168.11.42","TCP","93","","0.000320000","Jan  8, 2024 13:40:12.253881000 JST","","54718  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=538433080 TSecr=1753402754 [TCP segment of a reassembled PDU]"
"6","0.014007","192.168.11.42","192.168.11.27","TCP","66","0.000061000","0.000061000","Jan  8, 2024 13:40:12.253942000 JST","","6000  >  54718 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1753402761 TSecr=538433080"
"7","0.014040","192.168.11.27","192.168.11.42","TCP","66","","0.000033000","Jan  8, 2024 13:40:12.253975000 JST","","54718  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=538433080 TSecr=1753402754"
"8","0.057576","192.168.11.42","192.168.11.27","TCP","66","0.043536000","0.043536000","Jan  8, 2024 13:40:12.297511000 JST","","6000  >  54718 [ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1753402805 TSecr=538433080"
"9","6.866410","192.168.11.42","255.255.255.255","UDP","212","","6.808834000","Jan  8, 2024 13:40:19.106345000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944303031222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022616161222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","59865  >  7000 Len=170"
"10","6.874172","192.168.11.27","192.168.11.42","TCP","74","","0.007762000","Jan  8, 2024 13:40:19.114107000 JST","","54734  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=538439939 TSecr=0 WS=128"
