"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.23","192.168.11.8","TCP","74","","0.000000000","Jan  8, 2024 13:40:12.498886000 JST","","59592  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2533415050 TSecr=0 WS=128"
"2","0.006617","192.168.11.8","192.168.11.23","TCP","74","0.006617000","0.006617000","Jan  8, 2024 13:40:12.505503000 JST","","6000  >  59592 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3529671154 TSecr=2533415050 WS=128"
"3","0.006727","192.168.11.23","192.168.11.8","TCP","66","0.000110000","0.000110000","Jan  8, 2024 13:40:12.505613000 JST","","59592  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2533415057 TSecr=3529671154"
"4","0.006934","192.168.11.23","192.168.11.8","TCP","93","","0.000207000","Jan  8, 2024 13:40:12.505820000 JST","","59592  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2533415057 TSecr=3529671154 [TCP segment of a reassembled PDU]"
"5","0.007051","192.168.11.23","192.168.11.8","TCP","66","","0.000117000","Jan  8, 2024 13:40:12.505937000 JST","","59592  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2533415057 TSecr=3529671154"
"6","0.013879","192.168.11.8","192.168.11.23","TCP","66","0.006945000","0.006828000","Jan  8, 2024 13:40:12.512765000 JST","","6000  >  59592 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3529671161 TSecr=2533415057"
"7","0.014089","192.168.11.8","192.168.11.23","TCP","66","0.007038000","0.000210000","Jan  8, 2024 13:40:12.512975000 JST","","6000  >  59592 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3529671163 TSecr=2533415057"
"8","0.014134","192.168.11.23","192.168.11.8","TCP","66","0.000045000","0.000045000","Jan  8, 2024 13:40:12.513020000 JST","","59592  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2533415064 TSecr=3529671163"
"9","0.050940","192.168.11.23","255.255.255.255","UDP","209","","0.036806000","Jan  8, 2024 13:40:12.549826000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022656565222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","45595  >  7000 Len=167"
"10","0.057243","192.168.11.9","192.168.11.23","TCP","74","","0.006303000","Jan  8, 2024 13:40:12.556129000 JST","","51712  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2557068039 TSecr=0 WS=128"
"11","0.057412","192.168.11.23","192.168.11.9","TCP","74","0.000169000","0.000169000","Jan  8, 2024 13:40:12.556298000 JST","","6000  >  51712 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4294462720 TSecr=2557068039 WS=128"
"12","0.065100","192.168.11.9","192.168.11.23","TCP","66","0.007688000","0.007688000","Jan  8, 2024 13:40:12.563986000 JST","","51712  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2557068047 TSecr=4294462720"
"13","0.065565","192.168.11.9","192.168.11.23","TCP","93","","0.000465000","Jan  8, 2024 13:40:12.564451000 JST","","51712  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2557068047 TSecr=4294462720 [TCP segment of a reassembled PDU]"
"14","0.065640","192.168.11.23","192.168.11.9","TCP","66","0.000075000","0.000075000","Jan  8, 2024 13:40:12.564526000 JST","","6000  >  51712 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4294462729 TSecr=2557068047"
"15","0.065697","192.168.11.9","192.168.11.23","TCP","66","","0.000057000","Jan  8, 2024 13:40:12.564583000 JST","","51712  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2557068047 TSecr=4294462720"
"16","0.066974","192.168.11.23","192.168.11.9","TCP","66","0.001277000","0.001277000","Jan  8, 2024 13:40:12.565860000 JST","","6000  >  51712 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4294462730 TSecr=2557068047"
"17","0.072833","192.168.11.9","192.168.11.23","TCP","66","0.005859000","0.005859000","Jan  8, 2024 13:40:12.571719000 JST","","51712  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2557068054 TSecr=4294462730"
"18","6.853176","192.168.11.23","192.168.11.8","TCP","74","","6.780343000","Jan  8, 2024 13:40:19.352062000 JST","","59604  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2533421903 TSecr=0 WS=128"
"19","6.861332","192.168.11.8","192.168.11.23","TCP","74","0.008156000","0.008156000","Jan  8, 2024 13:40:19.360218000 JST","","6000  >  59604 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3529678007 TSecr=2533421903 WS=128"
"20","6.861460","192.168.11.23","192.168.11.8","TCP","66","0.000128000","0.000128000","Jan  8, 2024 13:40:19.360346000 JST","","59604  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2533421912 TSecr=3529678007"
"21","6.861700","192.168.11.23","192.168.11.8","TCP","93","","0.000240000","Jan  8, 2024 13:40:19.360586000 JST","","59604  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2533421912 TSecr=3529678007 [TCP segment of a reassembled PDU]"
"22","6.861850","192.168.11.23","192.168.11.8","TCP","66","","0.000150000","Jan  8, 2024 13:40:19.360736000 JST","","59604  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2533421912 TSecr=3529678007"
"23","6.869224","192.168.11.8","192.168.11.23","TCP","66","0.007524000","0.007374000","Jan  8, 2024 13:40:19.368110000 JST","","6000  >  59604 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3529678017 TSecr=2533421912"
"24","6.869710","192.168.11.8","192.168.11.23","TCP","66","0.007860000","0.000486000","Jan  8, 2024 13:40:19.368596000 JST","","6000  >  59604 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3529678018 TSecr=2533421912"
"25","6.869768","192.168.11.23","192.168.11.8","TCP","66","0.000058000","0.000058000","Jan  8, 2024 13:40:19.368654000 JST","","59604  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2533421920 TSecr=3529678018"
"26","6.898255","192.168.11.23","255.255.255.255","UDP","209","","0.028487000","Jan  8, 2024 13:40:19.397141000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022656565222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","44008  >  7000 Len=167"
"27","6.904070","192.168.11.9","192.168.11.23","TCP","74","","0.005815000","Jan  8, 2024 13:40:19.402956000 JST","","56984  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2557074886 TSecr=0 WS=128"
"28","6.904200","192.168.11.23","192.168.11.9","TCP","74","0.000130000","0.000130000","Jan  8, 2024 13:40:19.403086000 JST","","6000  >  56984 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4294469567 TSecr=2557074886 WS=128"
"29","6.910880","192.168.11.9","192.168.11.23","TCP","66","0.006680000","0.006680000","Jan  8, 2024 13:40:19.409766000 JST","","56984  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2557074893 TSecr=4294469567"
"30","6.911460","192.168.11.9","192.168.11.23","TCP","93","","0.000580000","Jan  8, 2024 13:40:19.410346000 JST","","56984  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2557074893 TSecr=4294469567 [TCP segment of a reassembled PDU]"
"31","6.911586","192.168.11.23","192.168.11.9","TCP","66","0.000126000","0.000126000","Jan  8, 2024 13:40:19.410472000 JST","","6000  >  56984 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4294469575 TSecr=2557074893"
"32","6.911662","192.168.11.9","192.168.11.23","TCP","66","","0.000076000","Jan  8, 2024 13:40:19.410548000 JST","","56984  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2557074893 TSecr=4294469567"
"33","6.912889","192.168.11.23","192.168.11.9","TCP","66","0.001227000","0.001227000","Jan  8, 2024 13:40:19.411775000 JST","","6000  >  56984 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4294469576 TSecr=2557074893"
"34","6.919305","192.168.11.9","192.168.11.23","TCP","66","0.006416000","0.006416000","Jan  8, 2024 13:40:19.418191000 JST","","56984  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2557074901 TSecr=4294469576"
"35","13.726181","192.168.11.23","192.168.11.8","TCP","74","","6.806876000","Jan  8, 2024 13:40:26.225067000 JST","","55004  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2533428776 TSecr=0 WS=128"
"36","13.735169","192.168.11.8","192.168.11.23","TCP","74","0.008988000","0.008988000","Jan  8, 2024 13:40:26.234055000 JST","","6000  >  55004 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3529684882 TSecr=2533428776 WS=128"
"37","13.735287","192.168.11.23","192.168.11.8","TCP","66","0.000118000","0.000118000","Jan  8, 2024 13:40:26.234173000 JST","","55004  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2533428785 TSecr=3529684882"
"38","13.735453","192.168.11.23","192.168.11.8","TCP","93","","0.000166000","Jan  8, 2024 13:40:26.234339000 JST","","55004  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2533428786 TSecr=3529684882 [TCP segment of a reassembled PDU]"
"39","13.735556","192.168.11.23","192.168.11.8","TCP","66","","0.000103000","Jan  8, 2024 13:40:26.234442000 JST","","55004  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2533428786 TSecr=3529684882"
"40","13.742870","192.168.11.8","192.168.11.23","TCP","66","0.007417000","0.007314000","Jan  8, 2024 13:40:26.241756000 JST","","6000  >  55004 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3529684890 TSecr=2533428786"
"41","13.743087","192.168.11.8","192.168.11.23","TCP","66","0.007531000","0.000217000","Jan  8, 2024 13:40:26.241973000 JST","","6000  >  55004 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3529684891 TSecr=2533428786"
"42","13.743130","192.168.11.23","192.168.11.8","TCP","66","0.000043000","0.000043000","Jan  8, 2024 13:40:26.242016000 JST","","55004  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2533428793 TSecr=3529684891"
"43","13.772481","192.168.11.23","255.255.255.255","UDP","209","","0.029351000","Jan  8, 2024 13:40:26.271367000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022656565222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","58241  >  7000 Len=167"
"44","13.778198","192.168.11.9","192.168.11.23","TCP","74","","0.005717000","Jan  8, 2024 13:40:26.277084000 JST","","47542  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2557081760 TSecr=0 WS=128"
"45","13.778323","192.168.11.23","192.168.11.9","TCP","74","0.000125000","0.000125000","Jan  8, 2024 13:40:26.277209000 JST","","6000  >  47542 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4294476441 TSecr=2557081760 WS=128"
"46","13.785204","192.168.11.9","192.168.11.23","TCP","66","0.006881000","0.006881000","Jan  8, 2024 13:40:26.284090000 JST","","47542  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2557081767 TSecr=4294476441"
"47","13.785856","192.168.11.9","192.168.11.23","TCP","93","","0.000652000","Jan  8, 2024 13:40:26.284742000 JST","","47542  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2557081767 TSecr=4294476441 [TCP segment of a reassembled PDU]"
"48","13.785974","192.168.11.23","192.168.11.9","TCP","66","0.000118000","0.000118000","Jan  8, 2024 13:40:26.284860000 JST","","6000  >  47542 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4294476449 TSecr=2557081767"
"49","13.786057","192.168.11.9","192.168.11.23","TCP","66","","0.000083000","Jan  8, 2024 13:40:26.284943000 JST","","47542  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2557081767 TSecr=4294476441"
"50","13.787514","192.168.11.23","192.168.11.9","TCP","66","0.001457000","0.001457000","Jan  8, 2024 13:40:26.286400000 JST","","6000  >  47542 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4294476451 TSecr=2557081767"
