"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.9","192.168.11.23","TCP","74","","0.000000000","Jan  8, 2024 13:40:12.450499000 JST","","51712  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2557068039 TSecr=0 WS=128"
"2","0.007970","192.168.11.23","192.168.11.9","TCP","74","0.007970000","0.007970000","Jan  8, 2024 13:40:12.458469000 JST","","6000  >  51712 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4294462720 TSecr=2557068039 WS=128"
"3","0.008105","192.168.11.9","192.168.11.23","TCP","66","0.000135000","0.000135000","Jan  8, 2024 13:40:12.458604000 JST","","51712  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2557068047 TSecr=4294462720"
"4","0.008274","192.168.11.9","192.168.11.23","TCP","93","","0.000169000","Jan  8, 2024 13:40:12.458773000 JST","","51712  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2557068047 TSecr=4294462720 [TCP segment of a reassembled PDU]"
"5","0.008411","192.168.11.9","192.168.11.23","TCP","66","","0.000137000","Jan  8, 2024 13:40:12.458910000 JST","","51712  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2557068047 TSecr=4294462720"
"6","0.015167","192.168.11.23","192.168.11.9","TCP","66","0.006893000","0.006756000","Jan  8, 2024 13:40:12.465666000 JST","","6000  >  51712 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4294462729 TSecr=2557068047"
"7","0.015544","192.168.11.23","192.168.11.9","TCP","66","0.007133000","0.000377000","Jan  8, 2024 13:40:12.466043000 JST","","6000  >  51712 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4294462730 TSecr=2557068047"
"8","0.015599","192.168.11.9","192.168.11.23","TCP","66","0.000055000","0.000055000","Jan  8, 2024 13:40:12.466098000 JST","","51712  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2557068054 TSecr=4294462730"
"9","0.046626","192.168.11.9","255.255.255.255","UDP","209","","0.031027000","Jan  8, 2024 13:40:12.497125000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022666666222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","46524  >  7000 Len=167"
"10","0.052664","192.168.11.10","192.168.11.9","TCP","74","","0.006038000","Jan  8, 2024 13:40:12.503163000 JST","","44438  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1289094514 TSecr=0 WS=128"
"11","0.052821","192.168.11.9","192.168.11.10","TCP","74","0.000157000","0.000157000","Jan  8, 2024 13:40:12.503320000 JST","","6000  >  44438 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=780761739 TSecr=1289094514 WS=128"
"12","0.060827","192.168.11.10","192.168.11.9","TCP","66","0.008006000","0.008006000","Jan  8, 2024 13:40:12.511326000 JST","","44438  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1289094522 TSecr=780761739"
"13","0.061323","192.168.11.10","192.168.11.9","TCP","93","","0.000496000","Jan  8, 2024 13:40:12.511822000 JST","","44438  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1289094522 TSecr=780761739 [TCP segment of a reassembled PDU]"
"14","0.061416","192.168.11.9","192.168.11.10","TCP","66","0.000093000","0.000093000","Jan  8, 2024 13:40:12.511915000 JST","","6000  >  44438 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=780761747 TSecr=1289094522"
"15","0.061487","192.168.11.10","192.168.11.9","TCP","66","","0.000071000","Jan  8, 2024 13:40:12.511986000 JST","","44438  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1289094523 TSecr=780761739"
"16","0.063136","192.168.11.9","192.168.11.10","TCP","66","0.001649000","0.001649000","Jan  8, 2024 13:40:12.513635000 JST","","6000  >  44438 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=780761749 TSecr=1289094523"
"17","0.067660","192.168.11.10","192.168.11.9","TCP","66","0.004524000","0.004524000","Jan  8, 2024 13:40:12.518159000 JST","","44438  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1289094530 TSecr=780761749"
"18","6.847030","192.168.11.9","192.168.11.23","TCP","74","","6.779370000","Jan  8, 2024 13:40:19.297529000 JST","","56984  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2557074886 TSecr=0 WS=128"
"19","6.853666","192.168.11.23","192.168.11.9","TCP","74","0.006636000","0.006636000","Jan  8, 2024 13:40:19.304165000 JST","","6000  >  56984 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4294469567 TSecr=2557074886 WS=128"
"20","6.853782","192.168.11.9","192.168.11.23","TCP","66","0.000116000","0.000116000","Jan  8, 2024 13:40:19.304281000 JST","","56984  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2557074893 TSecr=4294469567"
