"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.10","192.168.11.9","TCP","74","","0.000000000","Jan  8, 2024 13:40:12.503540000 JST","","44438  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1289094514 TSecr=0 WS=128"
"2","0.007984","192.168.11.9","192.168.11.10","TCP","74","0.007984000","0.007984000","Jan  8, 2024 13:40:12.511524000 JST","","6000  >  44438 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=780761739 TSecr=1289094514 WS=128"
"3","0.008104","192.168.11.10","192.168.11.9","TCP","66","0.000120000","0.000120000","Jan  8, 2024 13:40:12.511644000 JST","","44438  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1289094522 TSecr=780761739"
"4","0.008265","192.168.11.10","192.168.11.9","TCP","93","","0.000161000","Jan  8, 2024 13:40:12.511805000 JST","","44438  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1289094522 TSecr=780761739 [TCP segment of a reassembled PDU]"
"5","0.008379","192.168.11.10","192.168.11.9","TCP","66","","0.000114000","Jan  8, 2024 13:40:12.511919000 JST","","44438  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1289094523 TSecr=780761739"
"6","0.015431","192.168.11.9","192.168.11.10","TCP","66","0.007166000","0.007052000","Jan  8, 2024 13:40:12.518971000 JST","","6000  >  44438 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=780761747 TSecr=1289094522"
"7","0.015660","192.168.11.9","192.168.11.10","TCP","66","0.007281000","0.000229000","Jan  8, 2024 13:40:12.519200000 JST","","6000  >  44438 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=780761749 TSecr=1289094523"
"8","0.015713","192.168.11.10","192.168.11.9","TCP","66","0.000053000","0.000053000","Jan  8, 2024 13:40:12.519253000 JST","","44438  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1289094530 TSecr=780761749"
"9","0.049300","192.168.11.10","255.255.255.255","UDP","209","","0.033587000","Jan  8, 2024 13:40:12.552840000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022676767222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","38600  >  7000 Len=167"
"10","0.059024","192.168.11.30","192.168.11.10","TCP","74","","0.009724000","Jan  8, 2024 13:40:12.562564000 JST","","60372  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3581875796 TSecr=0 WS=128"
