"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.30","192.168.11.10","TCP","74","","0.000000000","Jan  8, 2024 13:40:12.537969000 JST","","60372  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3581875796 TSecr=0 WS=128"
"2","0.008634","192.168.11.10","192.168.11.30","TCP","74","0.008634000","0.008634000","Jan  8, 2024 13:40:12.546603000 JST","","6000  >  60372 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2289219051 TSecr=3581875796 WS=128"
"3","0.008750","192.168.11.30","192.168.11.10","TCP","66","0.000116000","0.000116000","Jan  8, 2024 13:40:12.546719000 JST","","60372  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3581875805 TSecr=2289219051"
"4","0.009074","192.168.11.30","192.168.11.10","TCP","93","","0.000324000","Jan  8, 2024 13:40:12.547043000 JST","","60372  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3581875806 TSecr=2289219051 [TCP segment of a reassembled PDU]"
"5","0.009195","192.168.11.30","192.168.11.10","TCP","66","","0.000121000","Jan  8, 2024 13:40:12.547164000 JST","","60372  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3581875806 TSecr=2289219051"
"6","0.020566","192.168.11.10","192.168.11.30","TCP","66","0.011492000","0.011371000","Jan  8, 2024 13:40:12.558535000 JST","","6000  >  60372 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2289219063 TSecr=3581875806"
"7","0.020818","192.168.11.10","192.168.11.30","TCP","66","0.011623000","0.000252000","Jan  8, 2024 13:40:12.558787000 JST","","6000  >  60372 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2289219065 TSecr=3581875806"
"8","0.020866","192.168.11.30","192.168.11.10","TCP","66","0.000048000","0.000048000","Jan  8, 2024 13:40:12.558835000 JST","","60372  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3581875817 TSecr=2289219065"
"9","0.053542","192.168.11.30","255.255.255.255","UDP","209","","0.032676000","Jan  8, 2024 13:40:12.591511000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022686868222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","39903  >  7000 Len=167"
"10","0.061506","192.168.11.21","192.168.11.30","TCP","74","","0.007964000","Jan  8, 2024 13:40:12.599475000 JST","","34200  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2376848688 TSecr=0 WS=128"
"11","0.061681","192.168.11.30","192.168.11.21","TCP","74","0.000175000","0.000175000","Jan  8, 2024 13:40:12.599650000 JST","","6000  >  34200 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1536960872 TSecr=2376848688 WS=128"
"12","0.078758","192.168.11.21","192.168.11.30","TCP","66","0.017077000","0.017077000","Jan  8, 2024 13:40:12.616727000 JST","","34200  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2376848695 TSecr=1536960872"
"13","0.079334","192.168.11.21","192.168.11.30","TCP","93","","0.000576000","Jan  8, 2024 13:40:12.617303000 JST","","34200  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2376848695 TSecr=1536960872 [TCP segment of a reassembled PDU]"
"14","0.079421","192.168.11.30","192.168.11.21","TCP","66","0.000087000","0.000087000","Jan  8, 2024 13:40:12.617390000 JST","","6000  >  34200 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1536960890 TSecr=2376848695"
"15","0.079507","192.168.11.21","192.168.11.30","TCP","66","","0.000086000","Jan  8, 2024 13:40:12.617476000 JST","","34200  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2376848696 TSecr=1536960872"
"16","0.081245","192.168.11.30","192.168.11.21","TCP","66","0.001738000","0.001738000","Jan  8, 2024 13:40:12.619214000 JST","","6000  >  34200 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1536960892 TSecr=2376848696"
"17","0.088806","192.168.11.21","192.168.11.30","TCP","66","0.007561000","0.007561000","Jan  8, 2024 13:40:12.626775000 JST","","34200  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2376848715 TSecr=1536960892"
"18","6.844412","192.168.11.30","192.168.11.10","TCP","74","","6.755606000","Jan  8, 2024 13:40:19.382381000 JST","","58482  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3581882641 TSecr=0 WS=128"
"19","6.852988","192.168.11.10","192.168.11.30","TCP","74","0.008576000","0.008576000","Jan  8, 2024 13:40:19.390957000 JST","","6000  >  58482 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2289225896 TSecr=3581882641 WS=128"
"20","6.853107","192.168.11.30","192.168.11.10","TCP","66","0.000119000","0.000119000","Jan  8, 2024 13:40:19.391076000 JST","","58482  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3581882650 TSecr=2289225896"
"21","6.853286","192.168.11.30","192.168.11.10","TCP","93","","0.000179000","Jan  8, 2024 13:40:19.391255000 JST","","58482  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3581882650 TSecr=2289225896 [TCP segment of a reassembled PDU]"
"22","6.853413","192.168.11.30","192.168.11.10","TCP","66","","0.000127000","Jan  8, 2024 13:40:19.391382000 JST","","58482  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3581882650 TSecr=2289225896"
"23","6.863670","192.168.11.10","192.168.11.30","TCP","66","0.010384000","0.010257000","Jan  8, 2024 13:40:19.401639000 JST","","6000  >  58482 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2289225904 TSecr=3581882650"
"24","6.864059","192.168.11.10","192.168.11.30","TCP","66","0.010646000","0.000389000","Jan  8, 2024 13:40:19.402028000 JST","","6000  >  58482 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2289225906 TSecr=3581882650"
"25","6.864105","192.168.11.30","192.168.11.10","TCP","66","0.000046000","0.000046000","Jan  8, 2024 13:40:19.402074000 JST","","58482  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3581882661 TSecr=2289225906"
"26","6.898338","192.168.11.30","255.255.255.255","UDP","209","","0.034233000","Jan  8, 2024 13:40:19.436307000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022686868222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","47497  >  7000 Len=167"
"27","6.919640","192.168.11.21","192.168.11.30","TCP","74","","0.021302000","Jan  8, 2024 13:40:19.457609000 JST","","58552  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2376855536 TSecr=0 WS=128"
"28","6.919827","192.168.11.30","192.168.11.21","TCP","74","0.000187000","0.000187000","Jan  8, 2024 13:40:19.457796000 JST","","6000  >  58552 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1536967730 TSecr=2376855536 WS=128"
"29","6.942054","192.168.11.21","192.168.11.30","TCP","66","0.022227000","0.022227000","Jan  8, 2024 13:40:19.480023000 JST","","58552  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2376855569 TSecr=1536967730"
"30","6.942548","192.168.11.21","192.168.11.30","TCP","93","","0.000494000","Jan  8, 2024 13:40:19.480517000 JST","","58552  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2376855569 TSecr=1536967730 [TCP segment of a reassembled PDU]"
"31","6.942621","192.168.11.30","192.168.11.21","TCP","66","0.000073000","0.000073000","Jan  8, 2024 13:40:19.480590000 JST","","6000  >  58552 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1536967753 TSecr=2376855569"
"32","6.942685","192.168.11.21","192.168.11.30","TCP","66","","0.000064000","Jan  8, 2024 13:40:19.480654000 JST","","58552  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2376855569 TSecr=1536967730"
"33","6.943634","192.168.11.30","192.168.11.21","TCP","66","0.000949000","0.000949000","Jan  8, 2024 13:40:19.481603000 JST","","6000  >  58552 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1536967754 TSecr=2376855569"
"34","6.954395","192.168.11.21","192.168.11.30","TCP","66","0.010761000","0.010761000","Jan  8, 2024 13:40:19.492364000 JST","","58552  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2376855578 TSecr=1536967754"
