"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.21","192.168.11.30","TCP","74","","0.000000000","Jan  8, 2024 13:40:12.610033000 JST","","34200  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2376848688 TSecr=0 WS=128"
"2","0.007127","192.168.11.30","192.168.11.21","TCP","74","0.007127000","0.007127000","Jan  8, 2024 13:40:12.617160000 JST","","6000  >  34200 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1536960872 TSecr=2376848688 WS=128"
"3","0.007256","192.168.11.21","192.168.11.30","TCP","66","0.000129000","0.000129000","Jan  8, 2024 13:40:12.617289000 JST","","34200  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2376848695 TSecr=1536960872"
"4","0.007504","192.168.11.21","192.168.11.30","TCP","93","","0.000248000","Jan  8, 2024 13:40:12.617537000 JST","","34200  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2376848695 TSecr=1536960872 [TCP segment of a reassembled PDU]"
"5","0.007650","192.168.11.21","192.168.11.30","TCP","66","","0.000146000","Jan  8, 2024 13:40:12.617683000 JST","","34200  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2376848696 TSecr=1536960872"
"6","0.024570","192.168.11.30","192.168.11.21","TCP","66","0.017066000","0.016920000","Jan  8, 2024 13:40:12.634603000 JST","","6000  >  34200 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1536960890 TSecr=2376848695"
"7","0.027106","192.168.11.30","192.168.11.21","TCP","66","0.019456000","0.002536000","Jan  8, 2024 13:40:12.637139000 JST","","6000  >  34200 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1536960892 TSecr=2376848696"
"8","0.027158","192.168.11.21","192.168.11.30","TCP","66","0.000052000","0.000052000","Jan  8, 2024 13:40:12.637191000 JST","","34200  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2376848715 TSecr=1536960892"
"9","0.055943","192.168.11.21","255.255.255.255","UDP","209","","0.028785000","Jan  8, 2024 13:40:12.665976000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022696969222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","39073  >  7000 Len=167"
"10","0.063725","192.168.11.28","192.168.11.21","TCP","74","","0.007782000","Jan  8, 2024 13:40:12.673758000 JST","","33766  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3514438792 TSecr=0 WS=128"
"11","0.063906","192.168.11.21","192.168.11.28","TCP","74","0.000181000","0.000181000","Jan  8, 2024 13:40:12.673939000 JST","","6000  >  33766 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4214081628 TSecr=3514438792 WS=128"
