"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.28","192.168.11.21","TCP","74","","0.000000000","Jan  8, 2024 13:40:12.676864000 JST","","33766  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3514438792 TSecr=0 WS=128"
"2","0.006745","192.168.11.21","192.168.11.28","TCP","74","0.006745000","0.006745000","Jan  8, 2024 13:40:12.683609000 JST","","6000  >  33766 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4214081628 TSecr=3514438792 WS=128"
"3","0.006857","192.168.11.28","192.168.11.21","TCP","66","0.000112000","0.000112000","Jan  8, 2024 13:40:12.683721000 JST","","33766  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3514438799 TSecr=4214081628"
"4","0.007156","192.168.11.28","192.168.11.21","TCP","93","","0.000299000","Jan  8, 2024 13:40:12.684020000 JST","","33766  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3514438799 TSecr=4214081628 [TCP segment of a reassembled PDU]"
"5","0.007303","192.168.11.28","192.168.11.21","TCP","66","","0.000147000","Jan  8, 2024 13:40:12.684167000 JST","","33766  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3514438800 TSecr=4214081628"
"6","0.014725","192.168.11.21","192.168.11.28","TCP","66","0.007569000","0.007422000","Jan  8, 2024 13:40:12.691589000 JST","","6000  >  33766 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4214081636 TSecr=3514438799"
"7","0.015108","192.168.11.21","192.168.11.28","TCP","66","0.007805000","0.000383000","Jan  8, 2024 13:40:12.691972000 JST","","6000  >  33766 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4214081637 TSecr=3514438800"
"8","0.015156","192.168.11.28","192.168.11.21","TCP","66","0.000048000","0.000048000","Jan  8, 2024 13:40:12.692020000 JST","","33766  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3514438807 TSecr=4214081637"
"9","0.043734","192.168.11.28","255.255.255.255","UDP","209","","0.028578000","Jan  8, 2024 13:40:12.720598000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226a6a6a222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","39429  >  7000 Len=167"
"10","0.051240","192.168.11.7","192.168.11.28","TCP","74","","0.007506000","Jan  8, 2024 13:40:12.728104000 JST","","60084  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=624196798 TSecr=0 WS=128"
"11","0.051398","192.168.11.28","192.168.11.7","TCP","74","0.000158000","0.000158000","Jan  8, 2024 13:40:12.728262000 JST","","6000  >  60084 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2670740583 TSecr=624196798 WS=128"
"12","0.060648","192.168.11.7","192.168.11.28","TCP","93","0.009250000","0.009250000","Jan  8, 2024 13:40:12.737512000 JST","","60084  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=624196809 TSecr=2670740583 [TCP segment of a reassembled PDU]"
"13","0.060849","192.168.11.28","192.168.11.7","TCP","66","0.000201000","0.000201000","Jan  8, 2024 13:40:12.737713000 JST","","6000  >  60084 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2670740592 TSecr=624196809"
"14","0.061205","192.168.11.7","192.168.11.28","TCP","66","","0.000356000","Jan  8, 2024 13:40:12.738069000 JST","","60084  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=624196808 TSecr=2670740583"
"15","0.061244","192.168.11.28","192.168.11.7","TCP","66","","0.000039000","Jan  8, 2024 13:40:12.738108000 JST","","[TCP Dup ACK 13#1] 6000  >  60084 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2670740592 TSecr=624196809"
