"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.7","192.168.11.28","TCP","74","","0.000000000","Jan  8, 2024 13:40:12.532275000 JST","","60084  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=624196798 TSecr=0 WS=128"
"2","0.010117","192.168.11.28","192.168.11.7","TCP","74","0.010117000","0.010117000","Jan  8, 2024 13:40:12.542392000 JST","","6000  >  60084 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2670740583 TSecr=624196798 WS=128"
"3","0.010229","192.168.11.7","192.168.11.28","TCP","66","0.000112000","0.000112000","Jan  8, 2024 13:40:12.542504000 JST","","60084  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=624196808 TSecr=2670740583"
"4","0.010469","192.168.11.7","192.168.11.28","TCP","93","","0.000240000","Jan  8, 2024 13:40:12.542744000 JST","","60084  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=624196809 TSecr=2670740583 [TCP segment of a reassembled PDU]"
"5","0.010580","192.168.11.7","192.168.11.28","TCP","66","","0.000111000","Jan  8, 2024 13:40:12.542855000 JST","","60084  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=624196809 TSecr=2670740583"
"6","0.018541","192.168.11.28","192.168.11.7","TCP","66","0.008072000","0.007961000","Jan  8, 2024 13:40:12.550816000 JST","","6000  >  60084 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2670740592 TSecr=624196809"
"7","0.018918","192.168.11.28","192.168.11.7","TCP","66","","0.000377000","Jan  8, 2024 13:40:12.551193000 JST","","[TCP Dup ACK 6#1] 6000  >  60084 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2670740592 TSecr=624196809"
"8","0.018969","192.168.11.28","192.168.11.7","TCP","66","0.008389000","0.000051000","Jan  8, 2024 13:40:12.551244000 JST","","6000  >  60084 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2670740594 TSecr=624196809"
"9","0.019013","192.168.11.7","192.168.11.28","TCP","66","0.000044000","0.000044000","Jan  8, 2024 13:40:12.551288000 JST","","60084  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=624196817 TSecr=2670740594"
"10","0.051348","192.168.11.7","255.255.255.255","UDP","209","","0.032335000","Jan  8, 2024 13:40:12.583623000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226b6b6b222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","48370  >  7000 Len=167"
"11","0.070098","192.168.11.26","192.168.11.7","TCP","74","","0.018750000","Jan  8, 2024 13:40:12.602373000 JST","","52260  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=141349137 TSecr=0 WS=128"
"12","0.070314","192.168.11.7","192.168.11.26","TCP","74","0.000216000","0.000216000","Jan  8, 2024 13:40:12.602589000 JST","","6000  >  52260 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=987788160 TSecr=141349137 WS=128"
"13","0.087802","192.168.11.26","192.168.11.7","TCP","66","0.017488000","0.017488000","Jan  8, 2024 13:40:12.620077000 JST","","52260  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=141349158 TSecr=987788160"
"14","0.088270","192.168.11.26","192.168.11.7","TCP","93","","0.000468000","Jan  8, 2024 13:40:12.620545000 JST","","52260  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=141349158 TSecr=987788160 [TCP segment of a reassembled PDU]"
"15","0.088355","192.168.11.7","192.168.11.26","TCP","66","0.000085000","0.000085000","Jan  8, 2024 13:40:12.620630000 JST","","6000  >  52260 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=987788178 TSecr=141349158"
"16","0.088414","192.168.11.26","192.168.11.7","TCP","66","","0.000059000","Jan  8, 2024 13:40:12.620689000 JST","","52260  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=141349159 TSecr=987788160"
"17","0.089561","192.168.11.7","192.168.11.26","TCP","66","0.001147000","0.001147000","Jan  8, 2024 13:40:12.621836000 JST","","6000  >  52260 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=987788179 TSecr=141349159"
"18","0.097595","192.168.11.26","192.168.11.7","TCP","66","0.008034000","0.008034000","Jan  8, 2024 13:40:12.629870000 JST","","52260  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=141349173 TSecr=987788179"
