"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.26","192.168.11.7","TCP","74","","0.000000000","Jan  8, 2024 13:40:12.786713000 JST","","52260  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=141349137 TSecr=0 WS=128"
"2","0.017140","192.168.11.7","192.168.11.26","TCP","74","0.017140000","0.017140000","Jan  8, 2024 13:40:12.803853000 JST","","6000  >  52260 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=987788160 TSecr=141349137 WS=128"
"3","0.017278","192.168.11.26","192.168.11.7","TCP","66","0.000138000","0.000138000","Jan  8, 2024 13:40:12.803991000 JST","","52260  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=141349158 TSecr=987788160"
"4","0.017572","192.168.11.26","192.168.11.7","TCP","93","","0.000294000","Jan  8, 2024 13:40:12.804285000 JST","","52260  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=141349158 TSecr=987788160 [TCP segment of a reassembled PDU]"
"5","0.017770","192.168.11.26","192.168.11.7","TCP","66","","0.000198000","Jan  8, 2024 13:40:12.804483000 JST","","52260  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=141349159 TSecr=987788160"
"6","0.032059","192.168.11.7","192.168.11.26","TCP","66","0.014487000","0.014289000","Jan  8, 2024 13:40:12.818772000 JST","","6000  >  52260 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=987788178 TSecr=141349158"
"7","0.032437","192.168.11.7","192.168.11.26","TCP","66","0.014667000","0.000378000","Jan  8, 2024 13:40:12.819150000 JST","","6000  >  52260 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=987788179 TSecr=141349159"
"8","0.032488","192.168.11.26","192.168.11.7","TCP","66","0.000051000","0.000051000","Jan  8, 2024 13:40:12.819201000 JST","","52260  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=141349173 TSecr=987788179"
"9","0.063764","192.168.11.26","255.255.255.255","UDP","209","","0.031276000","Jan  8, 2024 13:40:12.850477000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226c6c6c222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","56016  >  7000 Len=167"
"10","0.076298","192.168.11.25","192.168.11.26","TCP","74","","0.012534000","Jan  8, 2024 13:40:12.863011000 JST","","45514  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=472775825 TSecr=0 WS=128"
"11","0.076479","192.168.11.26","192.168.11.25","TCP","74","0.000181000","0.000181000","Jan  8, 2024 13:40:12.863192000 JST","","6000  >  45514 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=667842305 TSecr=472775825 WS=128"
"12","0.088323","192.168.11.25","192.168.11.26","TCP","66","0.011844000","0.011844000","Jan  8, 2024 13:40:12.875036000 JST","","45514  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=472775842 TSecr=667842305"
"13","0.089066","192.168.11.25","192.168.11.26","TCP","93","","0.000743000","Jan  8, 2024 13:40:12.875779000 JST","","45514  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=472775842 TSecr=667842305 [TCP segment of a reassembled PDU]"
