"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.25","192.168.11.26","TCP","74","","0.000000000","Jan  8, 2024 13:40:12.861587000 JST","","45514  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=472775825 TSecr=0 WS=128"
"2","0.010893","192.168.11.26","192.168.11.25","TCP","74","0.010893000","0.010893000","Jan  8, 2024 13:40:12.872480000 JST","","6000  >  45514 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=667842305 TSecr=472775825 WS=128"
"3","0.011000","192.168.11.25","192.168.11.26","TCP","66","0.000107000","0.000107000","Jan  8, 2024 13:40:12.872587000 JST","","45514  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=472775842 TSecr=667842305"
"4","0.011293","192.168.11.25","192.168.11.26","TCP","93","","0.000293000","Jan  8, 2024 13:40:12.872880000 JST","","45514  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=472775842 TSecr=667842305 [TCP segment of a reassembled PDU]"
"5","0.011430","192.168.11.25","192.168.11.26","TCP","66","","0.000137000","Jan  8, 2024 13:40:12.873017000 JST","","45514  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=472775842 TSecr=667842305"
"6","0.023703","192.168.11.26","192.168.11.25","TCP","66","0.012410000","0.012273000","Jan  8, 2024 13:40:12.885290000 JST","","6000  >  45514 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=667842318 TSecr=472775842"
"7","0.023914","192.168.11.26","192.168.11.25","TCP","66","0.012484000","0.000211000","Jan  8, 2024 13:40:12.885501000 JST","","6000  >  45514 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=667842320 TSecr=472775842"
"8","0.023959","192.168.11.25","192.168.11.26","TCP","66","0.000045000","0.000045000","Jan  8, 2024 13:40:12.885546000 JST","","45514  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=472775855 TSecr=667842320"
"9","0.051937","192.168.11.25","255.255.255.255","UDP","209","","0.027978000","Jan  8, 2024 13:40:12.913524000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226d6d6d222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","43637  >  7000 Len=167"
"10","0.060178","192.168.11.4","192.168.11.25","TCP","74","","0.008241000","Jan  8, 2024 13:40:12.921765000 JST","","54260  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2896244699 TSecr=0 WS=128"
