"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.4","192.168.11.25","TCP","74","","0.000000000","Jan  8, 2024 13:40:12.908639000 JST","","54260  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2896244699 TSecr=0 WS=128"
"2","0.006576","192.168.11.25","192.168.11.4","TCP","74","0.006576000","0.006576000","Jan  8, 2024 13:40:12.915215000 JST","","6000  >  54260 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2779281942 TSecr=2896244699 WS=128"
"3","0.006676","192.168.11.4","192.168.11.25","TCP","66","0.000100000","0.000100000","Jan  8, 2024 13:40:12.915315000 JST","","54260  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2896244708 TSecr=2779281942"
"4","0.006869","192.168.11.4","192.168.11.25","TCP","93","","0.000193000","Jan  8, 2024 13:40:12.915508000 JST","","54260  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2896244708 TSecr=2779281942 [TCP segment of a reassembled PDU]"
"5","0.006997","192.168.11.4","192.168.11.25","TCP","66","","0.000128000","Jan  8, 2024 13:40:12.915636000 JST","","54260  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2896244709 TSecr=2779281942"
"6","0.015106","192.168.11.25","192.168.11.4","TCP","66","0.008237000","0.008109000","Jan  8, 2024 13:40:12.923745000 JST","","6000  >  54260 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2779281950 TSecr=2896244708"
"7","0.015318","192.168.11.25","192.168.11.4","TCP","66","0.008321000","0.000212000","Jan  8, 2024 13:40:12.923957000 JST","","6000  >  54260 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2779281952 TSecr=2896244709"
"8","0.015363","192.168.11.4","192.168.11.25","TCP","66","0.000045000","0.000045000","Jan  8, 2024 13:40:12.924002000 JST","","54260  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2896244717 TSecr=2779281952"
"9","0.045613","192.168.11.4","255.255.255.255","UDP","209","","0.030250000","Jan  8, 2024 13:40:12.954252000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","39293  >  7000 Len=167"
"10","0.054067","192.168.11.5","192.168.11.4","TCP","74","","0.008454000","Jan  8, 2024 13:40:12.962706000 JST","","34126  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2041439479 TSecr=0 WS=128"
"11","0.054210","192.168.11.4","192.168.11.5","TCP","74","0.000143000","0.000143000","Jan  8, 2024 13:40:12.962849000 JST","","6000  >  34126 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4085164838 TSecr=2041439479 WS=128"
"12","0.060852","192.168.11.5","192.168.11.4","TCP","66","0.006642000","0.006642000","Jan  8, 2024 13:40:12.969491000 JST","","34126  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2041439489 TSecr=4085164838"
"13","0.061277","192.168.11.5","192.168.11.4","TCP","93","","0.000425000","Jan  8, 2024 13:40:12.969916000 JST","","34126  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2041439489 TSecr=4085164838 [TCP segment of a reassembled PDU]"
"14","0.061369","192.168.11.4","192.168.11.5","TCP","66","0.000092000","0.000092000","Jan  8, 2024 13:40:12.970008000 JST","","6000  >  34126 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4085164845 TSecr=2041439489"
"15","0.061699","192.168.11.5","192.168.11.4","TCP","66","","0.000330000","Jan  8, 2024 13:40:12.970338000 JST","","34126  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2041439489 TSecr=4085164838"
"16","0.063118","192.168.11.4","192.168.11.5","TCP","66","0.001419000","0.001419000","Jan  8, 2024 13:40:12.971757000 JST","","6000  >  34126 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4085164847 TSecr=2041439489"
"17","0.069137","192.168.11.5","192.168.11.4","TCP","66","0.006019000","0.006019000","Jan  8, 2024 13:40:12.977776000 JST","","34126  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2041439497 TSecr=4085164847"
"18","6.929733","192.168.11.4","192.168.11.25","TCP","74","","6.860596000","Jan  8, 2024 13:40:19.838372000 JST","","53374  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2896251631 TSecr=0 WS=128"
"19","6.937780","192.168.11.25","192.168.11.4","TCP","74","0.008047000","0.008047000","Jan  8, 2024 13:40:19.846419000 JST","","6000  >  53374 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2779288873 TSecr=2896251631 WS=128"
"20","6.937873","192.168.11.4","192.168.11.25","TCP","66","0.000093000","0.000093000","Jan  8, 2024 13:40:19.846512000 JST","","53374  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2896251639 TSecr=2779288873"
"21","6.938000","192.168.11.4","192.168.11.25","TCP","93","","0.000127000","Jan  8, 2024 13:40:19.846639000 JST","","53374  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2896251640 TSecr=2779288873 [TCP segment of a reassembled PDU]"
"22","6.938117","192.168.11.4","192.168.11.25","TCP","66","","0.000117000","Jan  8, 2024 13:40:19.846756000 JST","","53374  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2896251640 TSecr=2779288873"
"23","6.945132","192.168.11.25","192.168.11.4","TCP","66","0.007132000","0.007015000","Jan  8, 2024 13:40:19.853771000 JST","","6000  >  53374 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2779288880 TSecr=2896251640"
"24","6.945492","192.168.11.25","192.168.11.4","TCP","66","0.007375000","0.000360000","Jan  8, 2024 13:40:19.854131000 JST","","6000  >  53374 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2779288882 TSecr=2896251640"
"25","6.945535","192.168.11.4","192.168.11.25","TCP","66","0.000043000","0.000043000","Jan  8, 2024 13:40:19.854174000 JST","","53374  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2896251647 TSecr=2779288882"
"26","6.971929","192.168.11.4","255.255.255.255","UDP","209","","0.026394000","Jan  8, 2024 13:40:19.880568000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226e6e6e222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","56607  >  7000 Len=167"
"27","6.977425","192.168.11.5","192.168.11.4","TCP","74","","0.005496000","Jan  8, 2024 13:40:19.886064000 JST","","34128  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2041446405 TSecr=0 WS=128"
"28","6.977521","192.168.11.4","192.168.11.5","TCP","74","0.000096000","0.000096000","Jan  8, 2024 13:40:19.886160000 JST","","6000  >  34128 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4085171761 TSecr=2041446405 WS=128"
