"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.5","192.168.11.4","TCP","74","","0.000000000","Jan  8, 2024 13:40:12.953432000 JST","","34126  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2041439479 TSecr=0 WS=128"
"2","0.006547","192.168.11.4","192.168.11.5","TCP","74","0.006547000","0.006547000","Jan  8, 2024 13:40:12.959979000 JST","","6000  >  34126 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4085164838 TSecr=2041439479 WS=128"
"3","0.006659","192.168.11.5","192.168.11.4","TCP","66","0.000112000","0.000112000","Jan  8, 2024 13:40:12.960091000 JST","","34126  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2041439489 TSecr=4085164838"
"4","0.006968","192.168.11.5","192.168.11.4","TCP","93","","0.000309000","Jan  8, 2024 13:40:12.960400000 JST","","34126  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2041439489 TSecr=4085164838 [TCP segment of a reassembled PDU]"
"5","0.007096","192.168.11.5","192.168.11.4","TCP","66","","0.000128000","Jan  8, 2024 13:40:12.960528000 JST","","34126  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2041439489 TSecr=4085164838"
"6","0.014216","192.168.11.4","192.168.11.5","TCP","66","0.007248000","0.007120000","Jan  8, 2024 13:40:12.967648000 JST","","6000  >  34126 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4085164845 TSecr=2041439489"
"7","0.014640","192.168.11.4","192.168.11.5","TCP","66","0.007544000","0.000424000","Jan  8, 2024 13:40:12.968072000 JST","","6000  >  34126 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4085164847 TSecr=2041439489"
"8","0.014686","192.168.11.5","192.168.11.4","TCP","66","0.000046000","0.000046000","Jan  8, 2024 13:40:12.968118000 JST","","34126  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2041439497 TSecr=4085164847"
"9","0.043046","192.168.11.5","255.255.255.255","UDP","209","","0.028360000","Jan  8, 2024 13:40:12.996478000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226f6f6f222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","53759  >  7000 Len=167"
"10","0.051489","192.168.11.11","192.168.11.5","TCP","74","","0.008443000","Jan  8, 2024 13:40:13.004921000 JST","","44454  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1928974027 TSecr=0 WS=128"
"11","0.051639","192.168.11.5","192.168.11.11","TCP","74","0.000150000","0.000150000","Jan  8, 2024 13:40:13.005071000 JST","","6000  >  44454 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2817114934 TSecr=1928974027 WS=128"
"12","0.067218","192.168.11.11","192.168.11.5","TCP","66","0.015579000","0.015579000","Jan  8, 2024 13:40:13.020650000 JST","","44454  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1928974036 TSecr=2817114934"
"13","0.067725","192.168.11.11","192.168.11.5","TCP","93","","0.000507000","Jan  8, 2024 13:40:13.021157000 JST","","44454  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1928974036 TSecr=2817114934 [TCP segment of a reassembled PDU]"
"14","0.067787","192.168.11.5","192.168.11.11","TCP","66","0.000062000","0.000062000","Jan  8, 2024 13:40:13.021219000 JST","","6000  >  44454 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2817114950 TSecr=1928974036"
"15","0.067861","192.168.11.11","192.168.11.5","TCP","66","","0.000074000","Jan  8, 2024 13:40:13.021293000 JST","","44454  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1928974037 TSecr=2817114934"
"16","0.069043","192.168.11.5","192.168.11.11","TCP","66","0.001182000","0.001182000","Jan  8, 2024 13:40:13.022475000 JST","","6000  >  44454 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2817114951 TSecr=1928974037"
"17","0.074917","192.168.11.11","192.168.11.5","TCP","66","0.005874000","0.005874000","Jan  8, 2024 13:40:13.028349000 JST","","44454  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1928974053 TSecr=2817114951"
"18","6.923427","192.168.11.5","192.168.11.4","TCP","74","","6.848510000","Jan  8, 2024 13:40:19.876859000 JST","","34128  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2041446405 TSecr=0 WS=128"
"19","6.929929","192.168.11.4","192.168.11.5","TCP","74","0.006502000","0.006502000","Jan  8, 2024 13:40:19.883361000 JST","","6000  >  34128 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4085171761 TSecr=2041446405 WS=128"
"20","6.930028","192.168.11.5","192.168.11.4","TCP","66","0.000099000","0.000099000","Jan  8, 2024 13:40:19.883460000 JST","","34128  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2041446412 TSecr=4085171761"
"21","6.930186","192.168.11.5","192.168.11.4","TCP","93","","0.000158000","Jan  8, 2024 13:40:19.883618000 JST","","34128  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2041446412 TSecr=4085171761 [TCP segment of a reassembled PDU]"
"22","6.930320","192.168.11.5","192.168.11.4","TCP","66","","0.000134000","Jan  8, 2024 13:40:19.883752000 JST","","34128  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2041446412 TSecr=4085171761"
