"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.11","192.168.11.5","TCP","74","","0.000000000","Jan  8, 2024 13:40:13.004807000 JST","","44454  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1928974027 TSecr=0 WS=128"
"2","0.006812","192.168.11.5","192.168.11.11","TCP","74","0.006812000","0.006812000","Jan  8, 2024 13:40:13.011619000 JST","","6000  >  44454 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2817114934 TSecr=1928974027 WS=128"
"3","0.006919","192.168.11.11","192.168.11.5","TCP","66","0.000107000","0.000107000","Jan  8, 2024 13:40:13.011726000 JST","","44454  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1928974036 TSecr=2817114934"
"4","0.007168","192.168.11.11","192.168.11.5","TCP","93","","0.000249000","Jan  8, 2024 13:40:13.011975000 JST","","44454  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1928974036 TSecr=2817114934 [TCP segment of a reassembled PDU]"
"5","0.007298","192.168.11.11","192.168.11.5","TCP","66","","0.000130000","Jan  8, 2024 13:40:13.012105000 JST","","44454  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1928974037 TSecr=2817114934"
"6","0.022980","192.168.11.5","192.168.11.11","TCP","66","0.015812000","0.015682000","Jan  8, 2024 13:40:13.027787000 JST","","6000  >  44454 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2817114950 TSecr=1928974036"
"7","0.023348","192.168.11.5","192.168.11.11","TCP","66","0.016050000","0.000368000","Jan  8, 2024 13:40:13.028155000 JST","","6000  >  44454 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2817114951 TSecr=1928974037"
"8","0.023392","192.168.11.11","192.168.11.5","TCP","66","0.000044000","0.000044000","Jan  8, 2024 13:40:13.028199000 JST","","44454  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1928974053 TSecr=2817114951"
"9","0.051128","192.168.11.11","255.255.255.255","UDP","209","","0.027736000","Jan  8, 2024 13:40:13.055935000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022707070222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","41705  >  7000 Len=167"
"10","0.060155","192.168.11.16","192.168.11.11","TCP","74","","0.009027000","Jan  8, 2024 13:40:13.064962000 JST","","54504  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1444362337 TSecr=0 WS=128"
"11","0.066703","192.168.11.11","192.168.11.16","TCP","74","0.006548000","0.006548000","Jan  8, 2024 13:40:13.071510000 JST","","6000  >  54504 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4236727262 TSecr=1444362337 WS=128"
"12","0.075709","192.168.11.16","192.168.11.11","TCP","66","0.009006000","0.009006000","Jan  8, 2024 13:40:13.080516000 JST","","54504  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1444362352 TSecr=4236727262"
"13","0.076385","192.168.11.16","192.168.11.11","TCP","93","","0.000676000","Jan  8, 2024 13:40:13.081192000 JST","","54504  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1444362352 TSecr=4236727262 [TCP segment of a reassembled PDU]"
"14","0.076454","192.168.11.11","192.168.11.16","TCP","66","0.000069000","0.000069000","Jan  8, 2024 13:40:13.081261000 JST","","6000  >  54504 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4236727278 TSecr=1444362352"
"15","0.076523","192.168.11.16","192.168.11.11","TCP","66","","0.000069000","Jan  8, 2024 13:40:13.081330000 JST","","54504  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1444362352 TSecr=4236727262"
"16","0.078173","192.168.11.11","192.168.11.16","TCP","66","0.001650000","0.001650000","Jan  8, 2024 13:40:13.082980000 JST","","6000  >  54504 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4236727279 TSecr=1444362352"
"17","0.087147","192.168.11.16","192.168.11.11","TCP","66","0.008974000","0.008974000","Jan  8, 2024 13:40:13.091954000 JST","","54504  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1444362364 TSecr=4236727279"
"18","6.920225","192.168.11.11","192.168.11.5","TCP","74","","6.833078000","Jan  8, 2024 13:40:19.925032000 JST","","44464  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1928980949 TSecr=0 WS=128"
"19","6.927907","192.168.11.5","192.168.11.11","TCP","74","0.007682000","0.007682000","Jan  8, 2024 13:40:19.932714000 JST","","6000  >  44464 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2817121855 TSecr=1928980949 WS=128"
"20","6.927998","192.168.11.11","192.168.11.5","TCP","66","0.000091000","0.000091000","Jan  8, 2024 13:40:19.932805000 JST","","44464  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1928980957 TSecr=2817121855"
"21","6.928204","192.168.11.11","192.168.11.5","TCP","93","","0.000206000","Jan  8, 2024 13:40:19.933011000 JST","","44464  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1928980957 TSecr=2817121855 [TCP segment of a reassembled PDU]"
"22","6.928353","192.168.11.11","192.168.11.5","TCP","66","","0.000149000","Jan  8, 2024 13:40:19.933160000 JST","","44464  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1928980958 TSecr=2817121855"
"23","6.935368","192.168.11.5","192.168.11.11","TCP","66","0.007164000","0.007015000","Jan  8, 2024 13:40:19.940175000 JST","","6000  >  44464 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2817121862 TSecr=1928980957"
"24","6.935614","192.168.11.5","192.168.11.11","TCP","66","0.007261000","0.000246000","Jan  8, 2024 13:40:19.940421000 JST","","6000  >  44464 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2817121864 TSecr=1928980958"
"25","6.935656","192.168.11.11","192.168.11.5","TCP","66","0.000042000","0.000042000","Jan  8, 2024 13:40:19.940463000 JST","","44464  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1928980965 TSecr=2817121864"
"26","6.964749","192.168.11.11","255.255.255.255","UDP","209","","0.029093000","Jan  8, 2024 13:40:19.969556000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022707070222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","39851  >  7000 Len=167"
"27","6.973417","192.168.11.16","192.168.11.11","TCP","74","","0.008668000","Jan  8, 2024 13:40:19.978224000 JST","","37024  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1444369251 TSecr=0 WS=128"
"28","6.973528","192.168.11.11","192.168.11.16","TCP","74","0.000111000","0.000111000","Jan  8, 2024 13:40:19.978335000 JST","","6000  >  37024 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4236734175 TSecr=1444369251 WS=128"
"29","6.980655","192.168.11.16","192.168.11.11","TCP","66","0.007127000","0.007127000","Jan  8, 2024 13:40:19.985462000 JST","","37024  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1444369258 TSecr=4236734175"
"30","6.981176","192.168.11.16","192.168.11.11","TCP","93","","0.000521000","Jan  8, 2024 13:40:19.985983000 JST","","37024  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1444369259 TSecr=4236734175 [TCP segment of a reassembled PDU]"
"31","6.981267","192.168.11.11","192.168.11.16","TCP","66","0.000091000","0.000091000","Jan  8, 2024 13:40:19.986074000 JST","","6000  >  37024 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4236734183 TSecr=1444369259"
"32","6.981329","192.168.11.16","192.168.11.11","TCP","66","","0.000062000","Jan  8, 2024 13:40:19.986136000 JST","","37024  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1444369259 TSecr=4236734175"
"33","6.983053","192.168.11.11","192.168.11.16","TCP","66","0.001724000","0.001724000","Jan  8, 2024 13:40:19.987860000 JST","","6000  >  37024 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4236734184 TSecr=1444369259"
"34","6.993919","192.168.11.16","192.168.11.11","TCP","66","0.010866000","0.010866000","Jan  8, 2024 13:40:19.998726000 JST","","37024  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1444369269 TSecr=4236734184"
"35","13.685311","192.168.11.11","192.168.11.5","TCP","74","","6.691392000","Jan  8, 2024 13:40:26.690118000 JST","","50348  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1928987715 TSecr=0 WS=128"
"36","13.692010","192.168.11.5","192.168.11.11","TCP","74","0.006699000","0.006699000","Jan  8, 2024 13:40:26.696817000 JST","","6000  >  50348 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2817128619 TSecr=1928987715 WS=128"
"37","13.692101","192.168.11.11","192.168.11.5","TCP","66","0.000091000","0.000091000","Jan  8, 2024 13:40:26.696908000 JST","","50348  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1928987721 TSecr=2817128619"
"38","13.692310","192.168.11.11","192.168.11.5","TCP","93","","0.000209000","Jan  8, 2024 13:40:26.697117000 JST","","50348  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1928987722 TSecr=2817128619 [TCP segment of a reassembled PDU]"
"39","13.692440","192.168.11.11","192.168.11.5","TCP","66","","0.000130000","Jan  8, 2024 13:40:26.697247000 JST","","50348  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1928987722 TSecr=2817128619"
"40","13.699619","192.168.11.5","192.168.11.11","TCP","66","0.007309000","0.007179000","Jan  8, 2024 13:40:26.704426000 JST","","6000  >  50348 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2817128626 TSecr=1928987722"
"41","13.703814","192.168.11.5","192.168.11.11","TCP","66","0.011374000","0.004195000","Jan  8, 2024 13:40:26.708621000 JST","","6000  >  50348 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2817128631 TSecr=1928987722"
