"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.16","192.168.11.11","TCP","74","","0.000000000","Jan  8, 2024 13:40:13.122814000 JST","","54504  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1444362337 TSecr=0 WS=128"
"2","0.014353","192.168.11.11","192.168.11.16","TCP","74","0.014353000","0.014353000","Jan  8, 2024 13:40:13.137167000 JST","","6000  >  54504 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4236727262 TSecr=1444362337 WS=128"
"3","0.014465","192.168.11.16","192.168.11.11","TCP","66","0.000112000","0.000112000","Jan  8, 2024 13:40:13.137279000 JST","","54504  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1444362352 TSecr=4236727262"
"4","0.014650","192.168.11.16","192.168.11.11","TCP","93","","0.000185000","Jan  8, 2024 13:40:13.137464000 JST","","54504  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1444362352 TSecr=4236727262 [TCP segment of a reassembled PDU]"
"5","0.014801","192.168.11.16","192.168.11.11","TCP","66","","0.000151000","Jan  8, 2024 13:40:13.137615000 JST","","54504  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1444362352 TSecr=4236727262"
"6","0.023798","192.168.11.11","192.168.11.16","TCP","66","0.009148000","0.008997000","Jan  8, 2024 13:40:13.146612000 JST","","6000  >  54504 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=4236727278 TSecr=1444362352"
"7","0.026027","192.168.11.11","192.168.11.16","TCP","66","0.011226000","0.002229000","Jan  8, 2024 13:40:13.148841000 JST","","6000  >  54504 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=4236727279 TSecr=1444362352"
"8","0.026076","192.168.11.16","192.168.11.11","TCP","66","0.000049000","0.000049000","Jan  8, 2024 13:40:13.148890000 JST","","54504  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1444362364 TSecr=4236727279"
"9","0.056151","192.168.11.16","255.255.255.255","UDP","209","","0.030075000","Jan  8, 2024 13:40:13.178965000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022717171222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","47914  >  7000 Len=167"
"10","0.064084","192.168.11.17","192.168.11.16","TCP","74","","0.007933000","Jan  8, 2024 13:40:13.186898000 JST","","50014  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=205617722 TSecr=0 WS=128"
"11","0.064248","192.168.11.16","192.168.11.17","TCP","74","0.000164000","0.000164000","Jan  8, 2024 13:40:13.187062000 JST","","6000  >  50014 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1101595495 TSecr=205617722 WS=128"
