"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.17","192.168.11.16","TCP","74","","0.000000000","Jan  8, 2024 13:40:13.121929000 JST","","50014  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=205617722 TSecr=0 WS=128"
"2","0.006814","192.168.11.16","192.168.11.17","TCP","74","0.006814000","0.006814000","Jan  8, 2024 13:40:13.128743000 JST","","6000  >  50014 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1101595495 TSecr=205617722 WS=128"
"3","0.006931","192.168.11.17","192.168.11.16","TCP","66","0.000117000","0.000117000","Jan  8, 2024 13:40:13.128860000 JST","","50014  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=205617729 TSecr=1101595495"
"4","0.007258","192.168.11.17","192.168.11.16","TCP","93","","0.000327000","Jan  8, 2024 13:40:13.129187000 JST","","50014  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=205617729 TSecr=1101595495 [TCP segment of a reassembled PDU]"
"5","0.007382","192.168.11.17","192.168.11.16","TCP","66","","0.000124000","Jan  8, 2024 13:40:13.129311000 JST","","50014  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=205617729 TSecr=1101595495"
"6","0.015489","192.168.11.16","192.168.11.17","TCP","66","0.008231000","0.008107000","Jan  8, 2024 13:40:13.137418000 JST","","6000  >  50014 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1101595503 TSecr=205617729"
"7","0.015743","192.168.11.16","192.168.11.17","TCP","66","0.008361000","0.000254000","Jan  8, 2024 13:40:13.137672000 JST","","6000  >  50014 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1101595505 TSecr=205617729"
"8","0.015790","192.168.11.17","192.168.11.16","TCP","66","0.000047000","0.000047000","Jan  8, 2024 13:40:13.137719000 JST","","50014  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=205617738 TSecr=1101595505"
"9","0.044178","192.168.11.17","255.255.255.255","UDP","209","","0.028388000","Jan  8, 2024 13:40:13.166107000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022727272222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","40130  >  7000 Len=167"
"10","0.065466","192.168.11.19","192.168.11.17","TCP","74","","0.021288000","Jan  8, 2024 13:40:13.187395000 JST","","41046  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2827600943 TSecr=0 WS=128"
"11","0.065761","192.168.11.17","192.168.11.19","TCP","74","0.000295000","0.000295000","Jan  8, 2024 13:40:13.187690000 JST","","6000  >  41046 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2362059909 TSecr=2827600943 WS=128"
"12","0.072910","192.168.11.19","192.168.11.17","TCP","66","0.007149000","0.007149000","Jan  8, 2024 13:40:13.194839000 JST","","41046  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2827600954 TSecr=2362059909"
"13","0.073449","192.168.11.19","192.168.11.17","TCP","93","","0.000539000","Jan  8, 2024 13:40:13.195378000 JST","","41046  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2827600954 TSecr=2362059909 [TCP segment of a reassembled PDU]"
