"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.19","192.168.11.17","TCP","74","","0.000000000","Jan  8, 2024 13:40:13.197124000 JST","","41046  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2827600943 TSecr=0 WS=128"
"2","0.007621","192.168.11.17","192.168.11.19","TCP","74","0.007621000","0.007621000","Jan  8, 2024 13:40:13.204745000 JST","","6000  >  41046 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2362059909 TSecr=2827600943 WS=128"
"3","0.007734","192.168.11.19","192.168.11.17","TCP","66","0.000113000","0.000113000","Jan  8, 2024 13:40:13.204858000 JST","","41046  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2827600954 TSecr=2362059909"
"4","0.007908","192.168.11.19","192.168.11.17","TCP","93","","0.000174000","Jan  8, 2024 13:40:13.205032000 JST","","41046  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2827600954 TSecr=2362059909 [TCP segment of a reassembled PDU]"
"5","0.008034","192.168.11.19","192.168.11.17","TCP","66","","0.000126000","Jan  8, 2024 13:40:13.205158000 JST","","41046  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2827600954 TSecr=2362059909"
"6","0.015424","192.168.11.17","192.168.11.19","TCP","66","0.007516000","0.007390000","Jan  8, 2024 13:40:13.212548000 JST","","6000  >  41046 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2362059916 TSecr=2827600954"
"7","0.015794","192.168.11.17","192.168.11.19","TCP","66","0.007760000","0.000370000","Jan  8, 2024 13:40:13.212918000 JST","","6000  >  41046 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2362059918 TSecr=2827600954"
"8","0.015850","192.168.11.19","192.168.11.17","TCP","66","0.000056000","0.000056000","Jan  8, 2024 13:40:13.212974000 JST","","41046  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2827600962 TSecr=2362059918"
"9","0.047099","192.168.11.19","255.255.255.255","UDP","209","","0.031249000","Jan  8, 2024 13:40:13.244223000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022737373222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","53998  >  7000 Len=167"
"10","0.058613","192.168.11.20","192.168.11.19","TCP","74","","0.011514000","Jan  8, 2024 13:40:13.255737000 JST","","49302  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3836309164 TSecr=0 WS=128"
"11","0.073182","192.168.11.19","192.168.11.20","TCP","74","0.014569000","0.014569000","Jan  8, 2024 13:40:13.270306000 JST","","6000  >  49302 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2488414142 TSecr=3836309164 WS=128"
"12","0.079829","192.168.11.20","192.168.11.19","TCP","66","0.006647000","0.006647000","Jan  8, 2024 13:40:13.276953000 JST","","49302  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3836309185 TSecr=2488414142"
"13","0.080246","192.168.11.20","192.168.11.19","TCP","93","","0.000417000","Jan  8, 2024 13:40:13.277370000 JST","","49302  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3836309186 TSecr=2488414142 [TCP segment of a reassembled PDU]"
"14","0.080300","192.168.11.19","192.168.11.20","TCP","66","0.000054000","0.000054000","Jan  8, 2024 13:40:13.277424000 JST","","6000  >  49302 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2488414163 TSecr=3836309186"
"15","0.080350","192.168.11.20","192.168.11.19","TCP","66","","0.000050000","Jan  8, 2024 13:40:13.277474000 JST","","49302  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3836309186 TSecr=2488414142"
"16","0.081749","192.168.11.19","192.168.11.20","TCP","66","0.001399000","0.001399000","Jan  8, 2024 13:40:13.278873000 JST","","6000  >  49302 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2488414165 TSecr=3836309186"
"17","0.086803","192.168.11.20","192.168.11.19","TCP","66","0.005054000","0.005054000","Jan  8, 2024 13:40:13.283927000 JST","","49302  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3836309192 TSecr=2488414165"
"18","6.900906","192.168.11.19","192.168.11.17","TCP","74","","6.814103000","Jan  8, 2024 13:40:20.098030000 JST","","39722  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2827607847 TSecr=0 WS=128"
