"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.20","192.168.11.19","TCP","74","","0.000000000","Jan  8, 2024 13:40:13.247124000 JST","","49302  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3836309164 TSecr=0 WS=128"
"2","0.021361","192.168.11.19","192.168.11.20","TCP","74","0.021361000","0.021361000","Jan  8, 2024 13:40:13.268485000 JST","","6000  >  49302 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2488414142 TSecr=3836309164 WS=128"
"3","0.021475","192.168.11.20","192.168.11.19","TCP","66","0.000114000","0.000114000","Jan  8, 2024 13:40:13.268599000 JST","","49302  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3836309185 TSecr=2488414142"
"4","0.021816","192.168.11.20","192.168.11.19","TCP","93","","0.000341000","Jan  8, 2024 13:40:13.268940000 JST","","49302  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3836309186 TSecr=2488414142 [TCP segment of a reassembled PDU]"
"5","0.021972","192.168.11.20","192.168.11.19","TCP","66","","0.000156000","Jan  8, 2024 13:40:13.269096000 JST","","49302  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3836309186 TSecr=2488414142"
"6","0.028320","192.168.11.19","192.168.11.20","TCP","66","0.006504000","0.006348000","Jan  8, 2024 13:40:13.275444000 JST","","6000  >  49302 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2488414163 TSecr=3836309186"
"7","0.028566","192.168.11.19","192.168.11.20","TCP","66","0.006594000","0.000246000","Jan  8, 2024 13:40:13.275690000 JST","","6000  >  49302 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2488414165 TSecr=3836309186"
"8","0.028611","192.168.11.20","192.168.11.19","TCP","66","0.000045000","0.000045000","Jan  8, 2024 13:40:13.275735000 JST","","49302  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3836309192 TSecr=2488414165"
"9","0.058679","192.168.11.20","255.255.255.255","UDP","209","","0.030068000","Jan  8, 2024 13:40:13.305803000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022747474222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","55108  >  7000 Len=167"
"10","0.067771","192.168.11.12","192.168.11.20","TCP","74","","0.009092000","Jan  8, 2024 13:40:13.314895000 JST","","39002  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=926846487 TSecr=0 WS=128"
"11","0.067903","192.168.11.20","192.168.11.12","TCP","74","0.000132000","0.000132000","Jan  8, 2024 13:40:13.315027000 JST","","6000  >  39002 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=932339161 TSecr=926846487 WS=128"
"12","0.077979","192.168.11.12","192.168.11.20","TCP","66","0.010076000","0.010076000","Jan  8, 2024 13:40:13.325103000 JST","","39002  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=926846497 TSecr=932339161"
"13","0.078548","192.168.11.12","192.168.11.20","TCP","93","","0.000569000","Jan  8, 2024 13:40:13.325672000 JST","","39002  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=926846498 TSecr=932339161 [TCP segment of a reassembled PDU]"
"14","0.078652","192.168.11.20","192.168.11.12","TCP","66","0.000104000","0.000104000","Jan  8, 2024 13:40:13.325776000 JST","","6000  >  39002 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=932339171 TSecr=926846498"
"15","0.078732","192.168.11.12","192.168.11.20","TCP","66","","0.000080000","Jan  8, 2024 13:40:13.325856000 JST","","39002  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=926846498 TSecr=932339161"
"16","0.080239","192.168.11.20","192.168.11.12","TCP","66","0.001507000","0.001507000","Jan  8, 2024 13:40:13.327363000 JST","","6000  >  39002 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=932339173 TSecr=926846498"
"17","0.088221","192.168.11.12","192.168.11.20","TCP","66","0.007982000","0.007982000","Jan  8, 2024 13:40:13.335345000 JST","","39002  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=926846506 TSecr=932339173"
"18","6.919123","192.168.11.20","192.168.11.19","TCP","74","","6.830902000","Jan  8, 2024 13:40:20.166247000 JST","","49318  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3836316083 TSecr=0 WS=128"
"19","6.926172","192.168.11.19","192.168.11.20","TCP","74","0.007049000","0.007049000","Jan  8, 2024 13:40:20.173296000 JST","","6000  >  49318 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2488421061 TSecr=3836316083 WS=128"
"20","6.926279","192.168.11.20","192.168.11.19","TCP","66","0.000107000","0.000107000","Jan  8, 2024 13:40:20.173403000 JST","","49318  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3836316090 TSecr=2488421061"
"21","6.926462","192.168.11.20","192.168.11.19","TCP","93","","0.000183000","Jan  8, 2024 13:40:20.173586000 JST","","49318  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3836316090 TSecr=2488421061 [TCP segment of a reassembled PDU]"
"22","6.926590","192.168.11.20","192.168.11.19","TCP","66","","0.000128000","Jan  8, 2024 13:40:20.173714000 JST","","49318  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3836316090 TSecr=2488421061"
"23","6.939021","192.168.11.19","192.168.11.20","TCP","66","0.012559000","0.012431000","Jan  8, 2024 13:40:20.186145000 JST","","6000  >  49318 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2488421071 TSecr=3836316090"
"24","6.939406","192.168.11.19","192.168.11.20","TCP","66","0.012816000","0.000385000","Jan  8, 2024 13:40:20.186530000 JST","","6000  >  49318 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2488421073 TSecr=3836316090"
"25","6.939451","192.168.11.20","192.168.11.19","TCP","66","0.000045000","0.000045000","Jan  8, 2024 13:40:20.186575000 JST","","49318  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3836316103 TSecr=2488421073"
"26","6.970684","192.168.11.20","255.255.255.255","UDP","209","","0.031233000","Jan  8, 2024 13:40:20.217808000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022747474222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","57836  >  7000 Len=167"
"27","6.978302","192.168.11.12","192.168.11.20","TCP","74","","0.007618000","Jan  8, 2024 13:40:20.225426000 JST","","42106  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=926853399 TSecr=0 WS=128"
"28","6.978447","192.168.11.20","192.168.11.12","TCP","74","0.000145000","0.000145000","Jan  8, 2024 13:40:20.225571000 JST","","6000  >  42106 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=932346071 TSecr=926853399 WS=128"
"29","6.985319","192.168.11.12","192.168.11.20","TCP","66","0.006872000","0.006872000","Jan  8, 2024 13:40:20.232443000 JST","","42106  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=926853406 TSecr=932346071"
