"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.12","192.168.11.20","TCP","74","","0.000000000","Jan  8, 2024 13:40:13.306773000 JST","","39002  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=926846487 TSecr=0 WS=128"
"2","0.010231","192.168.11.20","192.168.11.12","TCP","74","0.010231000","0.010231000","Jan  8, 2024 13:40:13.317004000 JST","","6000  >  39002 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=932339161 TSecr=926846487 WS=128"
"3","0.010344","192.168.11.12","192.168.11.20","TCP","66","0.000113000","0.000113000","Jan  8, 2024 13:40:13.317117000 JST","","39002  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=926846497 TSecr=932339161"
"4","0.010634","192.168.11.12","192.168.11.20","TCP","93","","0.000290000","Jan  8, 2024 13:40:13.317407000 JST","","39002  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=926846498 TSecr=932339161 [TCP segment of a reassembled PDU]"
"5","0.010784","192.168.11.12","192.168.11.20","TCP","66","","0.000150000","Jan  8, 2024 13:40:13.317557000 JST","","39002  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=926846498 TSecr=932339161"
"6","0.018991","192.168.11.20","192.168.11.12","TCP","66","0.008357000","0.008207000","Jan  8, 2024 13:40:13.325764000 JST","","6000  >  39002 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=932339171 TSecr=926846498"
"7","0.019231","192.168.11.20","192.168.11.12","TCP","66","0.008447000","0.000240000","Jan  8, 2024 13:40:13.326004000 JST","","6000  >  39002 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=932339173 TSecr=926846498"
"8","0.019277","192.168.11.12","192.168.11.20","TCP","66","0.000046000","0.000046000","Jan  8, 2024 13:40:13.326050000 JST","","39002  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=926846506 TSecr=932339173"
"9","0.050136","192.168.11.12","255.255.255.255","UDP","209","","0.030859000","Jan  8, 2024 13:40:13.356909000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022757575222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","50869  >  7000 Len=167"
"10","0.064411","192.168.11.32","192.168.11.12","TCP","74","","0.014275000","Jan  8, 2024 13:40:13.371184000 JST","","38538  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1359841518 TSecr=0 WS=128"
"11","0.064581","192.168.11.12","192.168.11.32","TCP","74","0.000170000","0.000170000","Jan  8, 2024 13:40:13.371354000 JST","","6000  >  38538 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3901942484 TSecr=1359841518 WS=128"
"12","0.074253","192.168.11.32","192.168.11.12","TCP","66","0.009672000","0.009672000","Jan  8, 2024 13:40:13.381026000 JST","","38538  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1359841534 TSecr=3901942484"
"13","0.074856","192.168.11.32","192.168.11.12","TCP","93","","0.000603000","Jan  8, 2024 13:40:13.381629000 JST","","38538  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1359841534 TSecr=3901942484 [TCP segment of a reassembled PDU]"
"14","0.074995","192.168.11.12","192.168.11.32","TCP","66","0.000139000","0.000139000","Jan  8, 2024 13:40:13.381768000 JST","","6000  >  38538 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3901942494 TSecr=1359841534"
"15","0.075102","192.168.11.32","192.168.11.12","TCP","66","","0.000107000","Jan  8, 2024 13:40:13.381875000 JST","","38538  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1359841534 TSecr=3901942484"
"16","0.077515","192.168.11.12","192.168.11.32","TCP","66","0.002413000","0.002413000","Jan  8, 2024 13:40:13.384288000 JST","","6000  >  38538 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3901942496 TSecr=1359841534"
"17","0.089003","192.168.11.32","192.168.11.12","TCP","66","0.011488000","0.011488000","Jan  8, 2024 13:40:13.395776000 JST","","38538  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1359841548 TSecr=3901942496"
"18","6.911823","192.168.11.12","192.168.11.20","TCP","74","","6.822820000","Jan  8, 2024 13:40:20.218596000 JST","","42106  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=926853399 TSecr=0 WS=128"
"19","6.918538","192.168.11.20","192.168.11.12","TCP","74","0.006715000","0.006715000","Jan  8, 2024 13:40:20.225311000 JST","","6000  >  42106 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=932346071 TSecr=926853399 WS=128"
"20","6.918662","192.168.11.12","192.168.11.20","TCP","66","0.000124000","0.000124000","Jan  8, 2024 13:40:20.225435000 JST","","42106  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=926853406 TSecr=932346071"
"21","6.918849","192.168.11.12","192.168.11.20","TCP","93","","0.000187000","Jan  8, 2024 13:40:20.225622000 JST","","42106  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=926853406 TSecr=932346071 [TCP segment of a reassembled PDU]"
"22","6.918995","192.168.11.12","192.168.11.20","TCP","66","","0.000146000","Jan  8, 2024 13:40:20.225768000 JST","","42106  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=926853406 TSecr=932346071"
"23","6.926938","192.168.11.20","192.168.11.12","TCP","66","0.008089000","0.007943000","Jan  8, 2024 13:40:20.233711000 JST","","6000  >  42106 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=932346079 TSecr=926853406"
"24","6.927306","192.168.11.20","192.168.11.12","TCP","66","0.008311000","0.000368000","Jan  8, 2024 13:40:20.234079000 JST","","6000  >  42106 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=932346081 TSecr=926853406"
"25","6.927355","192.168.11.12","192.168.11.20","TCP","66","0.000049000","0.000049000","Jan  8, 2024 13:40:20.234128000 JST","","42106  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=926853414 TSecr=932346081"
"26","6.956941","192.168.11.12","255.255.255.255","UDP","209","","0.029586000","Jan  8, 2024 13:40:20.263714000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022757575222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","40945  >  7000 Len=167"
"27","6.964593","192.168.11.32","192.168.11.12","TCP","74","","0.007652000","Jan  8, 2024 13:40:20.271366000 JST","","49972  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1359848424 TSecr=0 WS=128"
"28","6.964747","192.168.11.12","192.168.11.32","TCP","74","0.000154000","0.000154000","Jan  8, 2024 13:40:20.271520000 JST","","6000  >  49972 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3901949384 TSecr=1359848424 WS=128"
"29","6.984241","192.168.11.32","192.168.11.12","TCP","66","0.019494000","0.019494000","Jan  8, 2024 13:40:20.291014000 JST","","49972  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1359848431 TSecr=3901949384"
"30","6.984746","192.168.11.32","192.168.11.12","TCP","93","","0.000505000","Jan  8, 2024 13:40:20.291519000 JST","","49972  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1359848431 TSecr=3901949384 [TCP segment of a reassembled PDU]"
"31","6.984834","192.168.11.12","192.168.11.32","TCP","66","0.000088000","0.000088000","Jan  8, 2024 13:40:20.291607000 JST","","6000  >  49972 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3901949404 TSecr=1359848431"
"32","6.984908","192.168.11.32","192.168.11.12","TCP","66","","0.000074000","Jan  8, 2024 13:40:20.291681000 JST","","49972  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1359848431 TSecr=3901949384"
"33","6.985906","192.168.11.12","192.168.11.32","TCP","66","0.000998000","0.000998000","Jan  8, 2024 13:40:20.292679000 JST","","6000  >  49972 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3901949405 TSecr=1359848431"
"34","6.991039","192.168.11.32","192.168.11.12","TCP","66","","0.005133000","Jan  8, 2024 13:40:20.297812000 JST","","[TCP Retransmission] 49972  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1359848451 TSecr=3901949384"
"35","6.991102","192.168.11.12","192.168.11.32","TCP","78","0.000063000","0.000063000","Jan  8, 2024 13:40:20.297875000 JST","","[TCP Dup ACK 33#1] 6000  >  49972 [ACK] Seq=2 Ack=29 Win=65152 Len=0 TSval=3901949410 TSecr=1359848451 SLE=28 SRE=29"
"36","6.991408","192.168.11.32","192.168.11.12","TCP","66","0.005502000","0.000306000","Jan  8, 2024 13:40:20.298181000 JST","","49972  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1359848452 TSecr=3901949405"
"37","14.654086","192.168.11.12","192.168.11.20","TCP","74","","7.662678000","Jan  8, 2024 13:40:27.960859000 JST","","52020  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=926861141 TSecr=0 WS=128"
"38","14.663845","192.168.11.20","192.168.11.12","TCP","74","0.009759000","0.009759000","Jan  8, 2024 13:40:27.970618000 JST","","6000  >  52020 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=932353816 TSecr=926861141 WS=128"
"39","14.663971","192.168.11.12","192.168.11.20","TCP","66","0.000126000","0.000126000","Jan  8, 2024 13:40:27.970744000 JST","","52020  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=926861151 TSecr=932353816"
"40","14.664157","192.168.11.12","192.168.11.20","TCP","93","","0.000186000","Jan  8, 2024 13:40:27.970930000 JST","","52020  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=926861151 TSecr=932353816 [TCP segment of a reassembled PDU]"
"41","14.664274","192.168.11.12","192.168.11.20","TCP","66","","0.000117000","Jan  8, 2024 13:40:27.971047000 JST","","52020  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=926861151 TSecr=932353816"
"42","14.672790","192.168.11.20","192.168.11.12","TCP","66","0.008633000","0.008516000","Jan  8, 2024 13:40:27.979563000 JST","","6000  >  52020 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=932353825 TSecr=926861151"
"43","14.673001","192.168.11.20","192.168.11.12","TCP","66","0.008727000","0.000211000","Jan  8, 2024 13:40:27.979774000 JST","","6000  >  52020 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=932353827 TSecr=926861151"
"44","14.673047","192.168.11.12","192.168.11.20","TCP","66","0.000046000","0.000046000","Jan  8, 2024 13:40:27.979820000 JST","","52020  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=926861160 TSecr=932353827"
"45","14.708976","192.168.11.12","255.255.255.255","UDP","209","","0.035929000","Jan  8, 2024 13:40:28.015749000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022757575222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","38126  >  7000 Len=167"
"46","14.718006","192.168.11.32","192.168.11.12","TCP","74","","0.009030000","Jan  8, 2024 13:40:28.024779000 JST","","45550  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1359856176 TSecr=0 WS=128"
"47","14.718149","192.168.11.12","192.168.11.32","TCP","74","0.000143000","0.000143000","Jan  8, 2024 13:40:28.024922000 JST","","6000  >  45550 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3901957137 TSecr=1359856176 WS=128"
"48","14.730837","192.168.11.32","192.168.11.12","TCP","66","0.012688000","0.012688000","Jan  8, 2024 13:40:28.037610000 JST","","45550  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1359856190 TSecr=3901957137"
"49","14.731716","192.168.11.32","192.168.11.12","TCP","93","","0.000879000","Jan  8, 2024 13:40:28.038489000 JST","","45550  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1359856190 TSecr=3901957137 [TCP segment of a reassembled PDU]"
"50","14.731926","192.168.11.12","192.168.11.32","TCP","66","0.000210000","0.000210000","Jan  8, 2024 13:40:28.038699000 JST","","6000  >  45550 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3901957151 TSecr=1359856190"
"51","14.732038","192.168.11.32","192.168.11.12","TCP","66","","0.000112000","Jan  8, 2024 13:40:28.038811000 JST","","45550  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1359856190 TSecr=3901957137"
"52","14.733758","192.168.11.12","192.168.11.32","TCP","66","0.001720000","0.001720000","Jan  8, 2024 13:40:28.040531000 JST","","6000  >  45550 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3901957153 TSecr=1359856190"
"53","14.742091","192.168.11.32","192.168.11.12","TCP","66","0.008333000","0.008333000","Jan  8, 2024 13:40:28.048864000 JST","","45550  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1359856201 TSecr=3901957153"
"54","21.334255","192.168.11.12","192.168.11.20","TCP","74","","6.592164000","Jan  8, 2024 13:40:34.641028000 JST","","52030  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=926867821 TSecr=0 WS=128"
"55","21.348664","192.168.11.20","192.168.11.12","TCP","74","0.014409000","0.014409000","Jan  8, 2024 13:40:34.655437000 JST","","6000  >  52030 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=932360496 TSecr=926867821 WS=128"
"56","21.348777","192.168.11.12","192.168.11.20","TCP","66","0.000113000","0.000113000","Jan  8, 2024 13:40:34.655550000 JST","","52030  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=926867836 TSecr=932360496"
"57","21.348958","192.168.11.12","192.168.11.20","TCP","93","","0.000181000","Jan  8, 2024 13:40:34.655731000 JST","","52030  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=926867836 TSecr=932360496 [TCP segment of a reassembled PDU]"
"58","21.349069","192.168.11.12","192.168.11.20","TCP","66","","0.000111000","Jan  8, 2024 13:40:34.655842000 JST","","52030  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=926867836 TSecr=932360496"
"59","21.362396","192.168.11.20","192.168.11.12","TCP","66","0.013438000","0.013327000","Jan  8, 2024 13:40:34.669169000 JST","","6000  >  52030 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=932360514 TSecr=926867836"
"60","21.362774","192.168.11.20","192.168.11.12","TCP","66","0.013705000","0.000378000","Jan  8, 2024 13:40:34.669547000 JST","","6000  >  52030 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=932360515 TSecr=926867836"
"61","21.362819","192.168.11.12","192.168.11.20","TCP","66","0.000045000","0.000045000","Jan  8, 2024 13:40:34.669592000 JST","","52030  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=926867850 TSecr=932360515"
"62","21.391850","192.168.11.12","255.255.255.255","UDP","209","","0.029031000","Jan  8, 2024 13:40:34.698623000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022757575222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","38330  >  7000 Len=167"
"63","21.401604","192.168.11.32","192.168.11.12","TCP","74","","0.009754000","Jan  8, 2024 13:40:34.708377000 JST","","45560  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1359862861 TSecr=0 WS=128"
"64","21.401744","192.168.11.12","192.168.11.32","TCP","74","0.000140000","0.000140000","Jan  8, 2024 13:40:34.708517000 JST","","6000  >  45560 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3901963821 TSecr=1359862861 WS=128"
"65","21.409732","192.168.11.32","192.168.11.12","TCP","66","0.007988000","0.007988000","Jan  8, 2024 13:40:34.716505000 JST","","45560  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1359862868 TSecr=3901963821"
"66","21.410428","192.168.11.32","192.168.11.12","TCP","93","","0.000696000","Jan  8, 2024 13:40:34.717201000 JST","","45560  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1359862868 TSecr=3901963821 [TCP segment of a reassembled PDU]"
"67","21.410526","192.168.11.12","192.168.11.32","TCP","66","0.000098000","0.000098000","Jan  8, 2024 13:40:34.717299000 JST","","6000  >  45560 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3901963830 TSecr=1359862868"
"68","21.410600","192.168.11.32","192.168.11.12","TCP","66","","0.000074000","Jan  8, 2024 13:40:34.717373000 JST","","45560  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1359862868 TSecr=3901963821"
"69","21.412237","192.168.11.12","192.168.11.32","TCP","66","0.001637000","0.001637000","Jan  8, 2024 13:40:34.719010000 JST","","6000  >  45560 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3901963831 TSecr=1359862868"
"70","21.418012","192.168.11.32","192.168.11.12","TCP","66","0.005775000","0.005775000","Jan  8, 2024 13:40:34.724785000 JST","","45560  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1359862877 TSecr=3901963831"
"71","29.105089","192.168.11.12","192.168.11.20","TCP","74","","7.687077000","Jan  8, 2024 13:40:42.411862000 JST","","37204  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=926875592 TSecr=0 WS=128"
"72","29.113286","192.168.11.20","192.168.11.12","TCP","74","0.008197000","0.008197000","Jan  8, 2024 13:40:42.420059000 JST","","6000  >  37204 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=932368266 TSecr=926875592 WS=128"
"73","29.113400","192.168.11.12","192.168.11.20","TCP","66","0.000114000","0.000114000","Jan  8, 2024 13:40:42.420173000 JST","","37204  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=926875600 TSecr=932368266"
"74","29.113601","192.168.11.12","192.168.11.20","TCP","93","","0.000201000","Jan  8, 2024 13:40:42.420374000 JST","","37204  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=926875601 TSecr=932368266 [TCP segment of a reassembled PDU]"
"75","29.113703","192.168.11.12","192.168.11.20","TCP","66","","0.000102000","Jan  8, 2024 13:40:42.420476000 JST","","37204  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=926875601 TSecr=932368266"
"76","29.124628","192.168.11.20","192.168.11.12","TCP","66","0.011027000","0.010925000","Jan  8, 2024 13:40:42.431401000 JST","","6000  >  37204 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=932368277 TSecr=926875601"
"77","29.124878","192.168.11.20","192.168.11.12","TCP","66","0.011175000","0.000250000","Jan  8, 2024 13:40:42.431651000 JST","","6000  >  37204 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=932368279 TSecr=926875601"
"78","29.124925","192.168.11.12","192.168.11.20","TCP","66","0.000047000","0.000047000","Jan  8, 2024 13:40:42.431698000 JST","","37204  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=926875612 TSecr=932368279"
"79","29.157265","192.168.11.12","255.255.255.255","UDP","209","","0.032340000","Jan  8, 2024 13:40:42.464038000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022757575222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","50352  >  7000 Len=167"
"80","29.171004","192.168.11.32","192.168.11.12","TCP","74","","0.013739000","Jan  8, 2024 13:40:42.477777000 JST","","47922  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1359870630 TSecr=0 WS=128"
"81","29.171205","192.168.11.12","192.168.11.32","TCP","74","0.000201000","0.000201000","Jan  8, 2024 13:40:42.477978000 JST","","6000  >  47922 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3901971590 TSecr=1359870630 WS=128"
"82","29.178742","192.168.11.32","192.168.11.12","TCP","66","0.007537000","0.007537000","Jan  8, 2024 13:40:42.485515000 JST","","47922  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1359870638 TSecr=3901971590"
"83","29.179434","192.168.11.32","192.168.11.12","TCP","93","","0.000692000","Jan  8, 2024 13:40:42.486207000 JST","","47922  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1359870638 TSecr=3901971590 [TCP segment of a reassembled PDU]"
"84","29.179522","192.168.11.12","192.168.11.32","TCP","66","0.000088000","0.000088000","Jan  8, 2024 13:40:42.486295000 JST","","6000  >  47922 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3901971599 TSecr=1359870638"
"85","29.179660","192.168.11.32","192.168.11.12","TCP","66","","0.000138000","Jan  8, 2024 13:40:42.486433000 JST","","47922  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1359870638 TSecr=3901971590"
"86","29.180582","192.168.11.12","192.168.11.32","TCP","66","0.000922000","0.000922000","Jan  8, 2024 13:40:42.487355000 JST","","6000  >  47922 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3901971600 TSecr=1359870638"
"87","29.191871","192.168.11.32","192.168.11.12","TCP","66","0.011289000","0.011289000","Jan  8, 2024 13:40:42.498644000 JST","","47922  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1359870651 TSecr=3901971600"
"88","35.816578","192.168.11.12","192.168.11.20","TCP","74","","6.624707000","Jan  8, 2024 13:40:49.123351000 JST","","33106  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=926882304 TSecr=0 WS=128"
"89","35.826076","192.168.11.20","192.168.11.12","TCP","74","0.009498000","0.009498000","Jan  8, 2024 13:40:49.132849000 JST","","6000  >  33106 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=932374979 TSecr=926882304 WS=128"
"90","35.826193","192.168.11.12","192.168.11.20","TCP","66","0.000117000","0.000117000","Jan  8, 2024 13:40:49.132966000 JST","","33106  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=926882313 TSecr=932374979"
"91","35.826369","192.168.11.12","192.168.11.20","TCP","93","","0.000176000","Jan  8, 2024 13:40:49.133142000 JST","","33106  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=926882313 TSecr=932374979 [TCP segment of a reassembled PDU]"
"92","35.826465","192.168.11.12","192.168.11.20","TCP","66","","0.000096000","Jan  8, 2024 13:40:49.133238000 JST","","33106  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=926882314 TSecr=932374979"
"93","35.834353","192.168.11.20","192.168.11.12","TCP","66","0.007984000","0.007888000","Jan  8, 2024 13:40:49.141126000 JST","","6000  >  33106 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=932374986 TSecr=926882313"
