"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.32","192.168.11.12","TCP","74","","0.000000000","Jan  8, 2024 13:40:13.372142000 JST","","38538  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1359841518 TSecr=0 WS=128"
"2","0.010611","192.168.11.12","192.168.11.32","TCP","74","0.010611000","0.010611000","Jan  8, 2024 13:40:13.382753000 JST","","6000  >  38538 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3901942484 TSecr=1359841518 WS=128"
"3","0.010730","192.168.11.32","192.168.11.12","TCP","66","0.000119000","0.000119000","Jan  8, 2024 13:40:13.382872000 JST","","38538  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1359841534 TSecr=3901942484"
"4","0.011042","192.168.11.32","192.168.11.12","TCP","93","","0.000312000","Jan  8, 2024 13:40:13.383184000 JST","","38538  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1359841534 TSecr=3901942484 [TCP segment of a reassembled PDU]"
"5","0.011193","192.168.11.32","192.168.11.12","TCP","66","","0.000151000","Jan  8, 2024 13:40:13.383335000 JST","","38538  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1359841534 TSecr=3901942484"
"6","0.018472","192.168.11.12","192.168.11.32","TCP","66","0.007430000","0.007279000","Jan  8, 2024 13:40:13.390614000 JST","","6000  >  38538 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3901942494 TSecr=1359841534"
"7","0.025218","192.168.11.12","192.168.11.32","TCP","66","0.014025000","0.006746000","Jan  8, 2024 13:40:13.397360000 JST","","6000  >  38538 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3901942496 TSecr=1359841534"
"8","0.025269","192.168.11.32","192.168.11.12","TCP","66","0.000051000","0.000051000","Jan  8, 2024 13:40:13.397411000 JST","","38538  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1359841548 TSecr=3901942496"
"9","0.054200","192.168.11.32","255.255.255.255","UDP","209","","0.028931000","Jan  8, 2024 13:40:13.426342000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022767676222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","42427  >  7000 Len=167"
"10","0.064990","192.168.11.18","192.168.11.32","TCP","74","","0.010790000","Jan  8, 2024 13:40:13.437132000 JST","","37616  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3140802911 TSecr=0 WS=128"
"11","0.065150","192.168.11.32","192.168.11.18","TCP","74","0.000160000","0.000160000","Jan  8, 2024 13:40:13.437292000 JST","","6000  >  37616 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3366301870 TSecr=3140802911 WS=128"
