"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.18","192.168.11.32","TCP","74","","0.000000000","Jan  8, 2024 13:40:13.431464000 JST","","37616  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3140802911 TSecr=0 WS=128"
"2","0.006766","192.168.11.32","192.168.11.18","TCP","74","0.006766000","0.006766000","Jan  8, 2024 13:40:13.438230000 JST","","6000  >  37616 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3366301870 TSecr=3140802911 WS=128"
"3","0.006882","192.168.11.18","192.168.11.32","TCP","66","0.000116000","0.000116000","Jan  8, 2024 13:40:13.438346000 JST","","37616  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3140802921 TSecr=3366301870"
"4","0.007070","192.168.11.18","192.168.11.32","TCP","93","","0.000188000","Jan  8, 2024 13:40:13.438534000 JST","","37616  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3140802921 TSecr=3366301870 [TCP segment of a reassembled PDU]"
"5","0.007206","192.168.11.18","192.168.11.32","TCP","66","","0.000136000","Jan  8, 2024 13:40:13.438670000 JST","","37616  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3140802921 TSecr=3366301870"
"6","0.014501","192.168.11.32","192.168.11.18","TCP","66","0.007431000","0.007295000","Jan  8, 2024 13:40:13.445965000 JST","","6000  >  37616 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3366301878 TSecr=3140802921"
"7","0.014962","192.168.11.32","192.168.11.18","TCP","66","0.007756000","0.000461000","Jan  8, 2024 13:40:13.446426000 JST","","6000  >  37616 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3366301879 TSecr=3140802921"
"8","0.015012","192.168.11.18","192.168.11.32","TCP","66","0.000050000","0.000050000","Jan  8, 2024 13:40:13.446476000 JST","","37616  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3140802929 TSecr=3366301879"
"9","0.045093","192.168.11.18","255.255.255.255","UDP","209","","0.030081000","Jan  8, 2024 13:40:13.476557000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022777777222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","49125  >  7000 Len=167"
"10","0.070898","192.168.11.33","192.168.11.18","TCP","74","","0.025805000","Jan  8, 2024 13:40:13.502362000 JST","","37586  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3907735989 TSecr=0 WS=128"
