"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.33","192.168.11.18","TCP","74","","0.000000000","Jan  8, 2024 13:40:13.497896000 JST","","37586  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3907735989 TSecr=0 WS=128"
"2","0.008854","192.168.11.18","192.168.11.33","TCP","74","0.008854000","0.008854000","Jan  8, 2024 13:40:13.506750000 JST","","6000  >  37586 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2601641542 TSecr=3907735989 WS=128"
"3","0.008963","192.168.11.33","192.168.11.18","TCP","66","0.000109000","0.000109000","Jan  8, 2024 13:40:13.506859000 JST","","37586  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3907736015 TSecr=2601641542"
"4","0.009147","192.168.11.33","192.168.11.18","TCP","93","","0.000184000","Jan  8, 2024 13:40:13.507043000 JST","","37586  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3907736015 TSecr=2601641542 [TCP segment of a reassembled PDU]"
"5","0.009275","192.168.11.33","192.168.11.18","TCP","66","","0.000128000","Jan  8, 2024 13:40:13.507171000 JST","","37586  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3907736015 TSecr=2601641542"
"6","0.016322","192.168.11.18","192.168.11.33","TCP","66","0.007175000","0.007047000","Jan  8, 2024 13:40:13.514218000 JST","","6000  >  37586 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2601641551 TSecr=3907736015"
"7","0.016752","192.168.11.18","192.168.11.33","TCP","66","0.007477000","0.000430000","Jan  8, 2024 13:40:13.514648000 JST","","6000  >  37586 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2601641552 TSecr=3907736015"
"8","0.016796","192.168.11.33","192.168.11.18","TCP","66","0.000044000","0.000044000","Jan  8, 2024 13:40:13.514692000 JST","","37586  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3907736023 TSecr=2601641552"
"9","0.044821","192.168.11.33","255.255.255.255","UDP","209","","0.028025000","Jan  8, 2024 13:40:13.542717000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022787878222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","38763  >  7000 Len=167"
"10","0.059040","192.168.11.22","192.168.11.33","TCP","74","","0.014219000","Jan  8, 2024 13:40:13.556936000 JST","","45086  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=392003362 TSecr=0 WS=128"
"11","0.059192","192.168.11.33","192.168.11.22","TCP","74","0.000152000","0.000152000","Jan  8, 2024 13:40:13.557088000 JST","","6000  >  45086 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1296851134 TSecr=392003362 WS=128"
"12","0.065909","192.168.11.22","192.168.11.33","TCP","66","0.006717000","0.006717000","Jan  8, 2024 13:40:13.563805000 JST","","45086  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=392003376 TSecr=1296851134"
"13","0.066495","192.168.11.22","192.168.11.33","TCP","93","","0.000586000","Jan  8, 2024 13:40:13.564391000 JST","","45086  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=392003376 TSecr=1296851134 [TCP segment of a reassembled PDU]"
"14","0.066603","192.168.11.33","192.168.11.22","TCP","66","0.000108000","0.000108000","Jan  8, 2024 13:40:13.564499000 JST","","6000  >  45086 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1296851141 TSecr=392003376"
"15","0.066690","192.168.11.22","192.168.11.33","TCP","66","","0.000087000","Jan  8, 2024 13:40:13.564586000 JST","","45086  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=392003376 TSecr=1296851134"
"16","0.067993","192.168.11.33","192.168.11.22","TCP","66","0.001303000","0.001303000","Jan  8, 2024 13:40:13.565889000 JST","","6000  >  45086 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1296851143 TSecr=392003376"
"17","0.074476","192.168.11.22","192.168.11.33","TCP","66","0.006483000","0.006483000","Jan  8, 2024 13:40:13.572372000 JST","","45086  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=392003384 TSecr=1296851143"
"18","6.888023","192.168.11.33","192.168.11.18","TCP","74","","6.813547000","Jan  8, 2024 13:40:20.385919000 JST","","56378  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3907742894 TSecr=0 WS=128"
