"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.22","192.168.11.33","TCP","74","","0.000000000","Jan  8, 2024 13:40:13.550805000 JST","","45086  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=392003362 TSecr=0 WS=128"
"2","0.009346","192.168.11.33","192.168.11.22","TCP","74","0.009346000","0.009346000","Jan  8, 2024 13:40:13.560151000 JST","","6000  >  45086 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1296851134 TSecr=392003362 WS=128"
"3","0.009459","192.168.11.22","192.168.11.33","TCP","66","0.000113000","0.000113000","Jan  8, 2024 13:40:13.560264000 JST","","45086  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=392003376 TSecr=1296851134"
"4","0.009685","192.168.11.22","192.168.11.33","TCP","93","","0.000226000","Jan  8, 2024 13:40:13.560490000 JST","","45086  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=392003376 TSecr=1296851134 [TCP segment of a reassembled PDU]"
"5","0.009827","192.168.11.22","192.168.11.33","TCP","66","","0.000142000","Jan  8, 2024 13:40:13.560632000 JST","","45086  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=392003376 TSecr=1296851134"
"6","0.017347","192.168.11.33","192.168.11.22","TCP","66","0.007662000","0.007520000","Jan  8, 2024 13:40:13.568152000 JST","","6000  >  45086 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1296851141 TSecr=392003376"
"7","0.017713","192.168.11.33","192.168.11.22","TCP","66","0.007886000","0.000366000","Jan  8, 2024 13:40:13.568518000 JST","","6000  >  45086 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1296851143 TSecr=392003376"
"8","0.017761","192.168.11.22","192.168.11.33","TCP","66","0.000048000","0.000048000","Jan  8, 2024 13:40:13.568566000 JST","","45086  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=392003384 TSecr=1296851143"
"9","0.050785","192.168.11.22","255.255.255.255","UDP","209","","0.033024000","Jan  8, 2024 13:40:13.601590000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022797979222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","54569  >  7000 Len=167"
"10","0.063824","192.168.11.35","192.168.11.22","TCP","74","","0.013039000","Jan  8, 2024 13:40:13.614629000 JST","","33230  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1815791257 TSecr=0 WS=128"
"11","0.063964","192.168.11.22","192.168.11.35","TCP","74","0.000140000","0.000140000","Jan  8, 2024 13:40:13.614769000 JST","","6000  >  33230 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2999550173 TSecr=1815791257 WS=128"
"12","0.073750","192.168.11.35","192.168.11.22","TCP","66","0.009786000","0.009786000","Jan  8, 2024 13:40:13.624555000 JST","","33230  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1815791271 TSecr=2999550173"
"13","0.074415","192.168.11.35","192.168.11.22","TCP","93","","0.000665000","Jan  8, 2024 13:40:13.625220000 JST","","33230  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1815791271 TSecr=2999550173 [TCP segment of a reassembled PDU]"
"14","0.074552","192.168.11.22","192.168.11.35","TCP","66","0.000137000","0.000137000","Jan  8, 2024 13:40:13.625357000 JST","","6000  >  33230 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2999550184 TSecr=1815791271"
"15","0.074638","192.168.11.35","192.168.11.22","TCP","66","","0.000086000","Jan  8, 2024 13:40:13.625443000 JST","","33230  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1815791271 TSecr=2999550173"
"16","0.076939","192.168.11.22","192.168.11.35","TCP","66","0.002301000","0.002301000","Jan  8, 2024 13:40:13.627744000 JST","","6000  >  33230 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2999550186 TSecr=1815791271"
"17","0.085072","192.168.11.35","192.168.11.22","TCP","66","0.008133000","0.008133000","Jan  8, 2024 13:40:13.635877000 JST","","33230  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1815791283 TSecr=2999550186"
"18","6.885524","192.168.11.22","192.168.11.33","TCP","74","","6.800452000","Jan  8, 2024 13:40:20.436329000 JST","","54600  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=392010252 TSecr=0 WS=128"
"19","6.891958","192.168.11.33","192.168.11.22","TCP","74","0.006434000","0.006434000","Jan  8, 2024 13:40:20.442763000 JST","","6000  >  54600 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1296858017 TSecr=392010252 WS=128"
"20","6.892066","192.168.11.22","192.168.11.33","TCP","66","0.000108000","0.000108000","Jan  8, 2024 13:40:20.442871000 JST","","54600  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=392010258 TSecr=1296858017"
"21","6.892210","192.168.11.22","192.168.11.33","TCP","93","","0.000144000","Jan  8, 2024 13:40:20.443015000 JST","","54600  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=392010258 TSecr=1296858017 [TCP segment of a reassembled PDU]"
