"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.35","192.168.11.22","TCP","74","","0.000000000","Jan  8, 2024 13:40:13.613179000 JST","","33230  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1815791257 TSecr=0 WS=128"
"2","0.008305","192.168.11.22","192.168.11.35","TCP","74","0.008305000","0.008305000","Jan  8, 2024 13:40:13.621484000 JST","","6000  >  33230 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2999550173 TSecr=1815791257 WS=128"
"3","0.008415","192.168.11.35","192.168.11.22","TCP","66","0.000110000","0.000110000","Jan  8, 2024 13:40:13.621594000 JST","","33230  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1815791271 TSecr=2999550173"
"4","0.008628","192.168.11.35","192.168.11.22","TCP","93","","0.000213000","Jan  8, 2024 13:40:13.621807000 JST","","33230  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1815791271 TSecr=2999550173 [TCP segment of a reassembled PDU]"
"5","0.008753","192.168.11.35","192.168.11.22","TCP","66","","0.000125000","Jan  8, 2024 13:40:13.621932000 JST","","33230  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1815791271 TSecr=2999550173"
"6","0.020276","192.168.11.22","192.168.11.35","TCP","66","0.011648000","0.011523000","Jan  8, 2024 13:40:13.633455000 JST","","6000  >  33230 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2999550184 TSecr=1815791271"
"7","0.020666","192.168.11.22","192.168.11.35","TCP","66","0.011913000","0.000390000","Jan  8, 2024 13:40:13.633845000 JST","","6000  >  33230 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2999550186 TSecr=1815791271"
"8","0.020711","192.168.11.35","192.168.11.22","TCP","66","0.000045000","0.000045000","Jan  8, 2024 13:40:13.633890000 JST","","33230  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1815791283 TSecr=2999550186"
"9","0.049078","192.168.11.35","255.255.255.255","UDP","209","","0.028367000","Jan  8, 2024 13:40:13.662257000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20227a7a7a222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","56436  >  7000 Len=167"
"10","0.063278","192.168.11.34","192.168.11.35","TCP","74","","0.014200000","Jan  8, 2024 13:40:13.676457000 JST","","49892  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=310080558 TSecr=0 WS=128"
