"No.","Time","Source","Destination","Protocol","Length","The RTT to ACK the segment was","Time delta from previous captured frame","Arrival Time","Data","Info"
"1","0.000000","192.168.11.34","192.168.11.35","TCP","74","","0.000000000","Jan  8, 2024 13:40:13.670973000 JST","","49892  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=310080558 TSecr=0 WS=128"
"2","0.009271","192.168.11.35","192.168.11.34","TCP","74","0.009271000","0.009271000","Jan  8, 2024 13:40:13.680244000 JST","","6000  >  49892 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=699624315 TSecr=310080558 WS=128"
"3","0.009394","192.168.11.34","192.168.11.35","TCP","66","0.000123000","0.000123000","Jan  8, 2024 13:40:13.680367000 JST","","49892  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=310080572 TSecr=699624315"
"4","0.009681","192.168.11.34","192.168.11.35","TCP","93","","0.000287000","Jan  8, 2024 13:40:13.680654000 JST","","49892  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=310080572 TSecr=699624315 [TCP segment of a reassembled PDU]"
"5","0.009825","192.168.11.34","192.168.11.35","TCP","66","","0.000144000","Jan  8, 2024 13:40:13.680798000 JST","","49892  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=310080572 TSecr=699624315"
"6","0.018745","192.168.11.35","192.168.11.34","TCP","66","0.009064000","0.008920000","Jan  8, 2024 13:40:13.689718000 JST","","6000  >  49892 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=699624324 TSecr=310080572"
"7","0.019005","192.168.11.35","192.168.11.34","TCP","66","0.009180000","0.000260000","Jan  8, 2024 13:40:13.689978000 JST","","6000  >  49892 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=699624325 TSecr=310080572"
"8","0.019062","192.168.11.34","192.168.11.35","TCP","66","0.000057000","0.000057000","Jan  8, 2024 13:40:13.690035000 JST","","49892  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=310080581 TSecr=699624325"
"9","0.056923","192.168.11.34","255.255.255.255","UDP","209","","0.037861000","Jan  8, 2024 13:40:13.727896000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022313131222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","56486  >  7000 Len=167"
"10","0.079084","192.168.11.6","192.168.11.34","TCP","74","","0.022161000","Jan  8, 2024 13:40:13.750057000 JST","","56092  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1078041598 TSecr=0 WS=128"
"11","0.079256","192.168.11.34","192.168.11.6","TCP","74","0.000172000","0.000172000","Jan  8, 2024 13:40:13.750229000 JST","","6000  >  56092 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3693124048 TSecr=1078041598 WS=128"
"12","0.088194","192.168.11.6","192.168.11.34","TCP","66","0.008938000","0.008938000","Jan  8, 2024 13:40:13.759167000 JST","","56092  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1078041621 TSecr=3693124048"
"13","0.088709","192.168.11.6","192.168.11.34","TCP","93","","0.000515000","Jan  8, 2024 13:40:13.759682000 JST","","56092  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1078041622 TSecr=3693124048 [TCP segment of a reassembled PDU]"
"14","0.088777","192.168.11.34","192.168.11.6","TCP","66","0.000068000","0.000068000","Jan  8, 2024 13:40:13.759750000 JST","","6000  >  56092 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3693124058 TSecr=1078041622"
"15","0.088995","192.168.11.6","192.168.11.34","TCP","66","","0.000218000","Jan  8, 2024 13:40:13.759968000 JST","","56092  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1078041622 TSecr=3693124048"
"16","0.090044","192.168.11.34","192.168.11.6","TCP","66","0.001049000","0.001049000","Jan  8, 2024 13:40:13.761017000 JST","","6000  >  56092 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3693124059 TSecr=1078041622"
"17","0.096803","192.168.11.6","192.168.11.34","TCP","66","0.006759000","0.006759000","Jan  8, 2024 13:40:13.767776000 JST","","56092  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1078041630 TSecr=3693124059"
"18","6.871176","192.168.11.34","192.168.11.35","TCP","74","","6.774373000","Jan  8, 2024 13:40:20.542149000 JST","","41044  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=310087433 TSecr=0 WS=128"
"19","6.879813","192.168.11.35","192.168.11.34","TCP","74","0.008637000","0.008637000","Jan  8, 2024 13:40:20.550786000 JST","","6000  >  41044 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=699631186 TSecr=310087433 WS=128"
"20","6.879919","192.168.11.34","192.168.11.35","TCP","66","0.000106000","0.000106000","Jan  8, 2024 13:40:20.550892000 JST","","41044  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=310087442 TSecr=699631186"
"21","6.880104","192.168.11.34","192.168.11.35","TCP","93","","0.000185000","Jan  8, 2024 13:40:20.551077000 JST","","41044  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=310087442 TSecr=699631186 [TCP segment of a reassembled PDU]"
"22","6.880247","192.168.11.34","192.168.11.35","TCP","66","","0.000143000","Jan  8, 2024 13:40:20.551220000 JST","","41044  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=310087442 TSecr=699631186"
"23","6.901293","192.168.11.35","192.168.11.34","TCP","66","0.021189000","0.021046000","Jan  8, 2024 13:40:20.572266000 JST","","6000  >  41044 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=699631207 TSecr=310087442"
"24","6.901699","192.168.11.35","192.168.11.34","TCP","66","0.021452000","0.000406000","Jan  8, 2024 13:40:20.572672000 JST","","6000  >  41044 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=699631208 TSecr=310087442"
"25","6.901750","192.168.11.34","192.168.11.35","TCP","66","0.000051000","0.000051000","Jan  8, 2024 13:40:20.572723000 JST","","41044  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=310087464 TSecr=699631208"
"26","6.936127","192.168.11.34","255.255.255.255","UDP","209","","0.034377000","Jan  8, 2024 13:40:20.607100000 JST","7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022313131222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d","48393  >  7000 Len=167"
