No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.40,192.168.11.39,TCP,74,0,,,50096  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4244672368 TSecr=0 WS=128
2,0.006952,192.168.11.39,192.168.11.40,TCP,74,0.006952,,,"6000  >  50096 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1693645489 TSecr=4244672368 WS=128"
3,0.007055,192.168.11.40,192.168.11.39,TCP,66,0.000103,,,50096  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4244672379 TSecr=1693645489
4,0.007226,192.168.11.40,192.168.11.39,TCP,93,0.000171,,,"50096  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=4244672379 TSecr=1693645489 [TCP segment of a reassembled PDU]"
5,0.007376,192.168.11.40,192.168.11.39,TCP,66,0.00015,,,"50096  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=4244672379 TSecr=1693645489"
6,0.014053,192.168.11.39,192.168.11.40,TCP,66,0.006677,,,6000  >  50096 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1693645496 TSecr=4244672379
7,0.014301,192.168.11.39,192.168.11.40,TCP,66,0.000248,,,"6000  >  50096 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1693645498 TSecr=4244672379"
8,0.014342,192.168.11.40,192.168.11.39,TCP,66,0.000041,,,50096  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=4244672386 TSecr=1693645498
9,0.044727,192.168.11.40,255.255.255.255,UDP,209,0.030385,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022393939222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,53279  >  7000 Len=167
10,0.05569,192.168.11.41,192.168.11.40,TCP,74,0.010963,œ,,40908  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=47489423 TSecr=0 WS=128
11,0.05582,192.168.11.40,192.168.11.41,TCP,74,0.00013,,,"6000  >  40908 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2498580965 TSecr=47489423 WS=128"
12,0.062289,192.168.11.41,192.168.11.40,TCP,66,0.006469,,,40908  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=47489433 TSecr=2498580965
13,0.062727,192.168.11.41,192.168.11.40,TCP,93,0.000438,,,"40908  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=47489433 TSecr=2498580965 [TCP segment of a reassembled PDU]"
14,0.062789,192.168.11.40,192.168.11.41,TCP,66,0.000062,,,6000  >  40908 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2498580972 TSecr=47489433
15,0.062842,192.168.11.41,192.168.11.40,TCP,66,0.000053,,,"40908  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=47489433 TSecr=2498580965"
16,0.064349,192.168.11.40,192.168.11.41,TCP,66,0.001507,,,"6000  >  40908 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2498580974 TSecr=47489433"
17,0.068992,192.168.11.41,192.168.11.40,TCP,66,0.004643,,,40908  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=47489440 TSecr=2498580974
18,7.268508,192.168.11.40,192.168.11.39,TCP,74,7.199516,,,35036  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4244679640 TSecr=0 WS=128
19,7.275217,192.168.11.39,192.168.11.40,TCP,74,0.006709,,,"6000  >  35036 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1693652757 TSecr=4244679640 WS=128"
