No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Arrival Time,Data,Info
1,0,192.168.11.27,192.168.11.42,TCP,74,0,,"Jan 11, 2024 16:06:20.146142000 JST",,33232  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=806400957 TSecr=0 WS=128
2,0.008694,192.168.11.42,192.168.11.27,TCP,74,0.008694,,"Jan 11, 2024 16:06:20.154836000 JST",,"6000  >  33232 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=418427997 TSecr=806400957 WS=128"
3,0.008811,192.168.11.27,192.168.11.42,TCP,66,0.000117,,"Jan 11, 2024 16:06:20.154953000 JST",,33232  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=806400972 TSecr=418427997
4,0.00898,192.168.11.27,192.168.11.42,TCP,93,0.000169,,"Jan 11, 2024 16:06:20.155122000 JST",,"33232  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=806400972 TSecr=418427997 [TCP segment of a reassembled PDU]"
5,0.009118,192.168.11.27,192.168.11.42,TCP,66,0.000138,,"Jan 11, 2024 16:06:20.155260000 JST",,"33232  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=806400973 TSecr=418427997"
6,0.017847,192.168.11.42,192.168.11.27,TCP,66,0.008729,,"Jan 11, 2024 16:06:20.163989000 JST",,6000  >  33232 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=418428007 TSecr=806400972
7,0.046718,192.168.11.27,255.255.255.255,UDP,209,0.028871,Ÿ,"Jan 11, 2024 16:06:20.192860000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022626262222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,52989  >  7000 Len=167
8,0.056475,192.168.11.13,192.168.11.27,TCP,74,0.009757,œ,"Jan 11, 2024 16:06:20.202617000 JST",,35222  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=943262901 TSecr=0 WS=128
9,0.05662,192.168.11.27,192.168.11.13,TCP,74,0.000145,,"Jan 11, 2024 16:06:20.202762000 JST",,"6000  >  35222 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=778821502 TSecr=943262901 WS=128"
10,0.056871,192.168.11.42,192.168.11.27,TCP,66,0.000251,,"Jan 11, 2024 16:06:20.203013000 JST",,6000  >  33232 [ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=418428048 TSecr=806400973
11,0.063698,192.168.11.13,192.168.11.27,TCP,66,0.006827,,"Jan 11, 2024 16:06:20.209840000 JST",,35222  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=943262912 TSecr=778821502
