No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.13,192.168.11.27,TCP,74,0,,,35222  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=943262901 TSecr=0 WS=128
2,0.007073,192.168.11.27,192.168.11.13,TCP,74,0.007073,,,"6000  >  35222 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=778821502 TSecr=943262901 WS=128"
3,0.007213,192.168.11.13,192.168.11.27,TCP,66,0.00014,,,35222  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=943262912 TSecr=778821502
4,0.007513,192.168.11.13,192.168.11.27,TCP,93,0.0003,,,"35222  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=943262912 TSecr=778821502 [TCP segment of a reassembled PDU]"
5,0.007728,192.168.11.13,192.168.11.27,TCP,66,0.000215,,,"35222  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=943262912 TSecr=778821502"
6,0.014731,192.168.11.27,192.168.11.13,TCP,66,0.007003,,,6000  >  35222 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=778821510 TSecr=943262912
7,0.014952,192.168.11.27,192.168.11.13,TCP,66,0.000221,,,"6000  >  35222 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=778821512 TSecr=943262912"
8,0.015003,192.168.11.13,192.168.11.27,TCP,66,0.000051,,,35222  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=943262920 TSecr=778821512
9,0.046344,192.168.11.13,255.255.255.255,UDP,209,0.031341,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022636363222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,53447  >  7000 Len=167
10,0.055841,192.168.11.8,192.168.11.13,TCP,74,0.009497,œ,,51146  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1728182267 TSecr=0 WS=128
11,0.056015,192.168.11.13,192.168.11.8,TCP,74,0.000174,,,"6000  >  51146 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=918855957 TSecr=1728182267 WS=128"
12,0.070438,192.168.11.8,192.168.11.13,TCP,66,0.014423,,,51146  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1728182278 TSecr=918855957
13,0.071064,192.168.11.8,192.168.11.13,TCP,93,0.000626,,,"51146  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1728182278 TSecr=918855957 [TCP segment of a reassembled PDU]"
14,0.071187,192.168.11.13,192.168.11.8,TCP,66,0.000123,,,6000  >  51146 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=918855972 TSecr=1728182278
15,0.071253,192.168.11.8,192.168.11.13,TCP,66,0.000066,,,"51146  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1728182278 TSecr=918855957"
