No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Arrival Time,Data,Info
1,0,192.168.11.42,255.255.255.255,UDP,212,0,Ÿ,"Jan 11, 2024 16:04:49.545478000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944303031222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022616161222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,35725  >  7000 Len=170
2,0.013982,192.168.11.27,192.168.11.42,TCP,74,0.013982,œ,"Jan 11, 2024 16:04:49.559460000 JST",,33232  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=806400957 TSecr=0 WS=128
3,0.014137,192.168.11.42,192.168.11.27,TCP,74,0.000155,,"Jan 11, 2024 16:04:49.559615000 JST",,"6000  >  33232 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=418427997 TSecr=806400957 WS=128"
4,0.023286,192.168.11.27,192.168.11.42,TCP,66,0.009149,,"Jan 11, 2024 16:04:49.568764000 JST",,33232  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=806400972 TSecr=418427997
5,0.023619,192.168.11.27,192.168.11.42,TCP,93,0.000333,,"Jan 11, 2024 16:04:49.569097000 JST",,"33232  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=806400972 TSecr=418427997 [TCP segment of a reassembled PDU]"
6,0.023682,192.168.11.42,192.168.11.27,TCP,66,0.000063,,"Jan 11, 2024 16:04:49.569160000 JST",,6000  >  33232 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=418428007 TSecr=806400972
7,0.023721,192.168.11.27,192.168.11.42,TCP,66,0.000039,,"Jan 11, 2024 16:04:49.569199000 JST",,"33232  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=806400973 TSecr=418427997"
8,0.064362,192.168.11.42,192.168.11.27,TCP,66,0.040641,,"Jan 11, 2024 16:04:49.609840000 JST",,6000  >  33232 [ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=418428048 TSecr=806400973
9,7.361189,192.168.11.42,255.255.255.255,UDP,212,7.296827,Ÿ,"Jan 11, 2024 16:04:56.906667000 JST",7b2273656d616e74696373223a207b22656e74697479223a2022504944303031222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022616161222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,53571  >  7000 Len=170
10,7.369556,192.168.11.27,192.168.11.42,TCP,74,0.008367,œ,"Jan 11, 2024 16:04:56.915034000 JST",,50440  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=806408318 TSecr=0 WS=128
11,7.369689,192.168.11.42,192.168.11.27,TCP,74,0.000133,,"Jan 11, 2024 16:04:56.915167000 JST",,"6000  >  50440 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=418435353 TSecr=806408318 WS=128"
12,7.379323,192.168.11.27,192.168.11.42,TCP,66,0.009634,,"Jan 11, 2024 16:04:56.924801000 JST",,50440  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=806408329 TSecr=418435353
13,7.379896,192.168.11.27,192.168.11.42,TCP,93,0.000573,,"Jan 11, 2024 16:04:56.925374000 JST",,"50440  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=806408329 TSecr=418435353 [TCP segment of a reassembled PDU]"
14,7.379991,192.168.11.42,192.168.11.27,TCP,66,0.000095,,"Jan 11, 2024 16:04:56.925469000 JST",,6000  >  50440 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=418435363 TSecr=806408329
15,7.38007,192.168.11.27,192.168.11.42,TCP,66,0.000079,,"Jan 11, 2024 16:04:56.925548000 JST",,"50440  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=806408329 TSecr=418435353"
16,7.381012,192.168.11.42,192.168.11.27,TCP,66,0.000942,,"Jan 11, 2024 16:04:56.926490000 JST",,"6000  >  33232 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=418435364 TSecr=806400973"
17,7.387312,192.168.11.27,192.168.11.42,TCP,66,0.0063,,"Jan 11, 2024 16:04:56.932790000 JST",,33232  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=806408337 TSecr=418435364
