No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.23,192.168.11.8,TCP,74,0,,,59358  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2801384558 TSecr=0 WS=128
2,0.006565,192.168.11.8,192.168.11.23,TCP,74,0.006565,,,"6000  >  59358 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3797638933 TSecr=2801384558 WS=128"
3,0.006663,192.168.11.23,192.168.11.8,TCP,66,0.000098,,,59358  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2801384567 TSecr=3797638933
4,0.006821,192.168.11.23,192.168.11.8,TCP,93,0.000158,,,"59358  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2801384567 TSecr=3797638933 [TCP segment of a reassembled PDU]"
5,0.006943,192.168.11.23,192.168.11.8,TCP,66,0.000122,,,"59358  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2801384567 TSecr=3797638933"
6,0.014013,192.168.11.8,192.168.11.23,TCP,66,0.00707,,,6000  >  59358 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=3797638940 TSecr=2801384567
7,0.01426,192.168.11.8,192.168.11.23,TCP,66,0.000247,,,"6000  >  59358 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=3797638942 TSecr=2801384567"
8,0.014303,192.168.11.23,192.168.11.8,TCP,66,0.000043,,,59358  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2801384575 TSecr=3797638942
9,0.048117,192.168.11.23,255.255.255.255,UDP,209,0.033814,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022656565222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,37456  >  7000 Len=167
10,0.05748,192.168.11.9,192.168.11.23,TCP,74,0.009363,œ,,34392  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2825036088 TSecr=0 WS=128
11,0.057618,192.168.11.23,192.168.11.9,TCP,74,0.000138,,,"6000  >  34392 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=267464935 TSecr=2825036088 WS=128"
12,0.064193,192.168.11.9,192.168.11.23,TCP,66,0.006575,,,34392  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2825036098 TSecr=267464935
13,0.064657,192.168.11.9,192.168.11.23,TCP,93,0.000464,,,"34392  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2825036098 TSecr=267464935 [TCP segment of a reassembled PDU]"
14,0.064731,192.168.11.23,192.168.11.9,TCP,66,0.000074,,,6000  >  34392 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=267464942 TSecr=2825036098
15,0.064787,192.168.11.9,192.168.11.23,TCP,66,0.000056,,,"34392  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2825036098 TSecr=267464935"
