No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.9,192.168.11.23,TCP,74,0,,,34392  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2825036088 TSecr=0 WS=128
2,0.006738,192.168.11.23,192.168.11.9,TCP,74,0.006738,,,"6000  >  34392 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=267464935 TSecr=2825036088 WS=128"
3,0.006848,192.168.11.9,192.168.11.23,TCP,66,0.00011,,,34392  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2825036098 TSecr=267464935
4,0.007118,192.168.11.9,192.168.11.23,TCP,93,0.00027,,,"34392  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2825036098 TSecr=267464935 [TCP segment of a reassembled PDU]"
5,0.00725,192.168.11.9,192.168.11.23,TCP,66,0.000132,,,"34392  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2825036098 TSecr=267464935"
6,0.013783,192.168.11.23,192.168.11.9,TCP,66,0.006533,,,6000  >  34392 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=267464942 TSecr=2825036098
7,0.014141,192.168.11.23,192.168.11.9,TCP,66,0.000358,,,"6000  >  34392 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=267464943 TSecr=2825036098"
8,0.014196,192.168.11.9,192.168.11.23,TCP,66,0.000055,,,34392  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2825036105 TSecr=267464943
9,0.041243,192.168.11.9,255.255.255.255,UDP,209,0.027047,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022666666222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,45608  >  7000 Len=167
10,0.049537,192.168.11.10,192.168.11.9,TCP,74,0.008294,œ,,46684  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1557062531 TSecr=0 WS=128
11,0.049674,192.168.11.9,192.168.11.10,TCP,74,0.000137,,,"6000  >  46684 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1048729788 TSecr=1557062531 WS=128"
12,0.056255,192.168.11.10,192.168.11.9,TCP,66,0.006581,,,46684  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1557062540 TSecr=1048729788
13,0.056714,192.168.11.10,192.168.11.9,TCP,93,0.000459,,,"46684  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1557062541 TSecr=1048729788 [TCP segment of a reassembled PDU]"
