No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.10,192.168.11.9,TCP,74,0,,,46684  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1557062531 TSecr=0 WS=128
2,0.006713,192.168.11.9,192.168.11.10,TCP,74,0.006713,,,"6000  >  46684 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1048729788 TSecr=1557062531 WS=128"
3,0.006817,192.168.11.10,192.168.11.9,TCP,66,0.000104,,,46684  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1557062540 TSecr=1048729788
4,0.006985,192.168.11.10,192.168.11.9,TCP,93,0.000168,,,"46684  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=1557062541 TSecr=1048729788 [TCP segment of a reassembled PDU]"
5,0.007127,192.168.11.10,192.168.11.9,TCP,66,0.000142,,,"46684  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=1557062541 TSecr=1048729788"
6,0.013871,192.168.11.9,192.168.11.10,TCP,66,0.006744,,,6000  >  46684 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1048729795 TSecr=1557062541
7,0.014235,192.168.11.9,192.168.11.10,TCP,66,0.000364,,,"6000  >  46684 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1048729796 TSecr=1557062541"
8,0.014279,192.168.11.10,192.168.11.9,TCP,66,0.000044,,,46684  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=1557062548 TSecr=1048729796
9,0.041345,192.168.11.10,255.255.255.255,UDP,209,0.027066,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022676767222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,59228  >  7000 Len=167
10,0.050674,192.168.11.30,192.168.11.10,TCP,74,0.009329,œ,,45054  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3849843874 TSecr=0 WS=128
