No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.30,192.168.11.10,TCP,74,0,,,45054  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3849843874 TSecr=0 WS=128
2,0.007265,192.168.11.10,192.168.11.30,TCP,74,0.007265,,,"6000  >  45054 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2557187062 TSecr=3849843874 WS=128"
3,0.007377,192.168.11.30,192.168.11.10,TCP,66,0.000112,,,45054  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3849843885 TSecr=2557187062
4,0.007628,192.168.11.30,192.168.11.10,TCP,93,0.000251,,,"45054  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3849843885 TSecr=2557187062 [TCP segment of a reassembled PDU]"
5,0.007768,192.168.11.30,192.168.11.10,TCP,66,0.00014,,,"45054  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3849843885 TSecr=2557187062"
6,0.021512,192.168.11.10,192.168.11.30,TCP,66,0.013744,,,6000  >  45054 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2557187077 TSecr=3849843885
7,0.021767,192.168.11.10,192.168.11.30,TCP,66,0.000255,,,"6000  >  45054 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2557187078 TSecr=3849843885"
8,0.021813,192.168.11.30,192.168.11.10,TCP,66,0.000046,,,45054  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3849843899 TSecr=2557187078
9,0.05194,192.168.11.30,255.255.255.255,UDP,209,0.030127,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022686868222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,55410  >  7000 Len=167
10,0.060064,192.168.11.21,192.168.11.30,TCP,74,0.008124,œ,,57786  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2644816841 TSecr=0 WS=128
11,0.060209,192.168.11.30,192.168.11.21,TCP,74,0.000145,,,"6000  >  57786 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1804928951 TSecr=2644816841 WS=128"
12,0.067443,192.168.11.21,192.168.11.30,TCP,66,0.007234,,,57786  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2644816850 TSecr=1804928951
13,0.068612,192.168.11.21,192.168.11.30,TCP,93,0.001169,,,"57786  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2644816851 TSecr=1804928951 [TCP segment of a reassembled PDU]"
14,0.068725,192.168.11.30,192.168.11.21,TCP,66,0.000113,,,6000  >  57786 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1804928960 TSecr=2644816851
15,0.068793,192.168.11.21,192.168.11.30,TCP,66,0.000068,,,"57786  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2644816851 TSecr=1804928951"
16,0.070278,192.168.11.30,192.168.11.21,TCP,66,0.001485,,,"6000  >  57786 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1804928962 TSecr=2644816851"
17,0.076187,192.168.11.21,192.168.11.30,TCP,66,0.005909,,,57786  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2644816859 TSecr=1804928962
18,7.343494,192.168.11.30,192.168.11.10,TCP,74,7.267307,,,43750  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3849851221 TSecr=0 WS=128
19,7.350988,192.168.11.10,192.168.11.30,TCP,74,0.007494,,,"6000  >  43750 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2557194406 TSecr=3849851221 WS=128"
20,7.35108,192.168.11.30,192.168.11.10,TCP,66,0.000092,,,43750  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3849851228 TSecr=2557194406
21,7.351254,192.168.11.30,192.168.11.10,TCP,93,0.000174,,,"43750  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3849851229 TSecr=2557194406 [TCP segment of a reassembled PDU]"
22,7.351387,192.168.11.30,192.168.11.10,TCP,66,0.000133,,,"43750  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3849851229 TSecr=2557194406"
23,7.358299,192.168.11.10,192.168.11.30,TCP,66,0.006912,,,6000  >  43750 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2557194414 TSecr=3849851229
24,7.358674,192.168.11.10,192.168.11.30,TCP,66,0.000375,,,"6000  >  43750 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2557194415 TSecr=3849851229"
25,7.358723,192.168.11.30,192.168.11.10,TCP,66,0.000049,,,43750  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3849851236 TSecr=2557194415
26,7.388898,192.168.11.30,255.255.255.255,UDP,209,0.030175,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022686868222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,45720  >  7000 Len=167
27,7.394492,192.168.11.21,192.168.11.30,TCP,74,0.005594,œ,,50502  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2644824178 TSecr=0 WS=128
28,7.394621,192.168.11.30,192.168.11.21,TCP,74,0.000129,,,"6000  >  50502 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1804936286 TSecr=2644824178 WS=128"
29,7.401368,192.168.11.21,192.168.11.30,TCP,66,0.006747,,,50502  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2644824184 TSecr=1804936286
30,7.402608,192.168.11.21,192.168.11.30,TCP,93,0.00124,,,"50502  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2644824185 TSecr=1804936286 [TCP segment of a reassembled PDU]"
