No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.21,192.168.11.30,TCP,74,0,,,57786  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2644816841 TSecr=0 WS=128
2,0.007104,192.168.11.30,192.168.11.21,TCP,74,0.007104,,,"6000  >  57786 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1804928951 TSecr=2644816841 WS=128"
3,0.007214,192.168.11.21,192.168.11.30,TCP,66,0.00011,,,57786  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2644816850 TSecr=1804928951
4,0.007437,192.168.11.21,192.168.11.30,TCP,93,0.000223,,,"57786  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=2644816851 TSecr=1804928951 [TCP segment of a reassembled PDU]"
5,0.00758,192.168.11.21,192.168.11.30,TCP,66,0.000143,,,"57786  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=2644816851 TSecr=1804928951"
6,0.015458,192.168.11.30,192.168.11.21,TCP,66,0.007878,,,6000  >  57786 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=1804928960 TSecr=2644816851
7,0.01569,192.168.11.30,192.168.11.21,TCP,66,0.000232,,,"6000  >  57786 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=1804928962 TSecr=2644816851"
8,0.015734,192.168.11.21,192.168.11.30,TCP,66,0.000044,,,57786  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=2644816859 TSecr=1804928962
9,0.043353,192.168.11.21,255.255.255.255,UDP,209,0.027619,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a2022696969222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,54735  >  7000 Len=167
10,0.052652,192.168.11.28,192.168.11.21,TCP,74,0.009299,œ,,40386  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3782406754 TSecr=0 WS=128
11,0.052784,192.168.11.21,192.168.11.28,TCP,74,0.000132,,,"6000  >  40386 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=187082476 TSecr=3782406754 WS=128"
12,0.062382,192.168.11.28,192.168.11.21,TCP,66,0.009598,,,40386  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3782406764 TSecr=187082476
13,0.063684,192.168.11.28,192.168.11.21,TCP,93,0.001302,,,"40386  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3782406764 TSecr=187082476 [TCP segment of a reassembled PDU]"
14,0.063793,192.168.11.21,192.168.11.28,TCP,66,0.000109,,,6000  >  40386 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=187082487 TSecr=3782406764
15,0.063895,192.168.11.28,192.168.11.21,TCP,66,0.000102,,,"40386  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3782406764 TSecr=187082476"
16,0.064815,192.168.11.21,192.168.11.28,TCP,66,0.00092,,,"6000  >  40386 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=187082488 TSecr=3782406764"
17,0.070853,192.168.11.28,192.168.11.21,TCP,66,0.006038,,,40386  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3782406775 TSecr=187082488
