No.,Time,Source,Destination,Protocol,Length,Time delta from previous captured frame,XXX,Data,Info
1,0,192.168.11.28,192.168.11.21,TCP,74,0,,,40386  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3782406754 TSecr=0 WS=128
2,0.006642,192.168.11.21,192.168.11.28,TCP,74,0.006642,,,"6000  >  40386 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=187082476 TSecr=3782406754 WS=128"
3,0.006742,192.168.11.28,192.168.11.21,TCP,66,0.0001,,,40386  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3782406764 TSecr=187082476
4,0.006898,192.168.11.28,192.168.11.21,TCP,93,0.000156,,,"40386  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3782406764 TSecr=187082476 [TCP segment of a reassembled PDU]"
5,0.007041,192.168.11.28,192.168.11.21,TCP,66,0.000143,,,"40386  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3782406764 TSecr=187082476"
6,0.01776,192.168.11.21,192.168.11.28,TCP,66,0.010719,,,6000  >  40386 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=187082487 TSecr=3782406764
7,0.018147,192.168.11.21,192.168.11.28,TCP,66,0.000387,,,"6000  >  40386 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=187082488 TSecr=3782406764"
8,0.01819,192.168.11.28,192.168.11.21,TCP,66,0.000043,,,40386  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3782406775 TSecr=187082488
9,0.04581,192.168.11.28,255.255.255.255,UDP,209,0.02762,Ÿ,7b2273656d616e74696373223a207b22656e74697479223a2022504944222c202262617365656e74697479223a2022616e79222c2022726f6c65223a20226a6a6a222c20227370617469616c223a2022616e79222c202274656d706f72616c223a2022616e79227d2c20226461746170726f7065727479223a207b22666f726d6174223a2022696e616f6b615f70726f6772616d5f73616d706c655f73656d616e746963227d7d,58311  >  7000 Len=167
10,0.054464,192.168.11.7,192.168.11.28,TCP,74,0.008654,œ,,53788  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=892164689 TSecr=0 WS=128
11,0.054611,192.168.11.28,192.168.11.7,TCP,74,0.000147,,,"6000  >  53788 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2938708551 TSecr=892164689 WS=128"
12,0.061378,192.168.11.7,192.168.11.28,TCP,66,0.006767,,,53788  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=892164698 TSecr=2938708551
13,0.061894,192.168.11.7,192.168.11.28,TCP,93,0.000516,,,"53788  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=892164698 TSecr=2938708551 [TCP segment of a reassembled PDU]"
14,0.062006,192.168.11.28,192.168.11.7,TCP,66,0.000112,,,6000  >  53788 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=2938708558 TSecr=892164698
15,0.062089,192.168.11.7,192.168.11.28,TCP,66,0.000083,,,"53788  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=892164698 TSecr=2938708551"
16,0.063423,192.168.11.28,192.168.11.7,TCP,66,0.001334,,,"6000  >  53788 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=2938708560 TSecr=892164698"
17,0.069574,192.168.11.7,192.168.11.28,TCP,66,0.006151,,,53788  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=892164706 TSecr=2938708560
18,7.331386,192.168.11.28,192.168.11.21,TCP,74,7.261812,,,53718  >  6000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3782414089 TSecr=0 WS=128
19,7.346155,192.168.11.21,192.168.11.28,TCP,74,0.014769,,,"6000  >  53718 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=187089816 TSecr=3782414089 WS=128"
20,7.346249,192.168.11.28,192.168.11.21,TCP,66,0.000094,,,53718  >  6000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3782414103 TSecr=187089816
21,7.346391,192.168.11.28,192.168.11.21,TCP,93,0.000142,,,"53718  >  6000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=27 TSval=3782414104 TSecr=187089816 [TCP segment of a reassembled PDU]"
22,7.346508,192.168.11.28,192.168.11.21,TCP,66,0.000117,,,"53718  >  6000 [FIN, ACK] Seq=28 Ack=1 Win=64256 Len=0 TSval=3782414104 TSecr=187089816"
23,7.3542,192.168.11.21,192.168.11.28,TCP,66,0.007692,,,6000  >  53718 [ACK] Seq=1 Ack=28 Win=65152 Len=0 TSval=187089823 TSecr=3782414104
24,7.354412,192.168.11.21,192.168.11.28,TCP,66,0.000212,,,"6000  >  53718 [FIN, ACK] Seq=1 Ack=29 Win=65152 Len=0 TSval=187089825 TSecr=3782414104"
25,7.354459,192.168.11.28,192.168.11.21,TCP,66,0.000047,,,53718  >  6000 [ACK] Seq=29 Ack=2 Win=64256 Len=0 TSval=3782414112 TSecr=187089825
